code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ARM,Armenia,CAIT,Total excluding LUCF,All GHG,24.31044313,24.93556222,14.82072006,8.63427939,6.107404815,6.714756376,5.648107077,6.257996378,6.180228779,5.671027579,6.02255958,6.135642903,5.805310425,6.231103048,6.624879371,7.345504794,7.773456398,8.441060768,8.991371939,7.89756441,7.747591781,8.378526431,9.363825981,9.300703531,9.26222378,9.25620643,9.505325032,9.282772733,9.359051435
ARM,Armenia,CAIT,Total including LUCF,All GHG,24.44254239,25.06766149,14.95227345,8.76583278,6.238958206,6.846309766,5.778699177,6.388588478,6.312972645,5.801619679,6.15315168,6.258824703,5.928492225,6.354284848,6.748061171,7.468686594,7.899751254,8.564242568,9.114553739,8.02074621,7.875077114,8.300316731,9.286577571,9.222493831,9.18401408,9.17799673,9.541391832,9.318839533,9.397270001
ARM,Armenia,CAIT,Energy ,All GHG,21.96108,22.65616219,12.47324438,6.585326563,4.19240875,4.734490938,3.621522074,4.225553211,4.202584348,3.702615484,4.043646621,4.104334169,3.576021718,3.967709266,4.182396814,4.870084363,4.943383758,5.657921487,6.200459216,5.263996945,5.110534674,5.748958895,6.528383116,6.345807337,6.351231559,6.23065578,6.034177594,6.280699408,6.502221223
ARM,Armenia,CAIT,Industrial Processes ,All GHG,0.0,0.003348526,0.242297053,0.128745579,0.075404105,0.165126967,0.212347146,0.237467324,0.257987502,0.264907681,0.239227859,0.257688167,0.339348475,0.361908782,0.45376909,0.500329398,0.52440364,0.609977881,0.632352123,0.478426365,0.542400607,0.519615525,0.534430443,0.516545362,0.50256028,0.500875198,0.399228079,0.383580961,0.367933843
ARM,Armenia,CAIT,Agriculture ,All GHG,1.560685351,1.504535443,1.3542938,1.179325,1.1087123,1.0942614,1.1018502,1.0910776,1.0242481,1.016585,1.0287951,1.0569039,1.1673969,1.173115,1.2545168,1.2350677,1.559819,1.4253114,1.4087106,1.4032911,1.3408065,1.3575709,1.5501002,1.6889075,1.6604575,1.7781699,2.3262868,1.8737328,1.7450098
ARM,Armenia,CAIT,Waste ,All GHG,0.770890014,0.760887425,0.750884837,0.740882248,0.73087966,0.720877071,0.712387657,0.703898243,0.695408829,0.686919414,0.71089,0.716716667,0.722543333,0.72837,0.734196667,0.740023333,0.74585,0.74785,0.74985,0.75185,0.75385,0.752381111,0.750912221,0.749443332,0.747974442,0.746505553,0.745632558,0.744759564,0.743886569
ARM,Armenia,CAIT,Land-Use Change and Forestry ,All GHG,0.132099266,0.132099266,0.13155339,0.13155339,0.13155339,0.13155339,0.1305921,0.1305921,0.132743867,0.1305921,0.1305921,0.1231818,0.1231818,0.1231818,0.1231818,0.1231818,0.126294857,0.1231818,0.1231818,0.1231818,0.127485333,-0.0782097,-0.07724841,-0.0782097,-0.0782097,-0.0782097,0.0360668,0.0360668,0.038218567
ARM,Armenia,CAIT,Bunker Fuels ,All GHG,0.596,0.67,0.461,0.2,0.148,0.105,0.058,0.061,0.065,0.065,0.188,0.178,0.157,0.08,0.117,0.135,0.12,0.172,0.172,0.089,0.132,0.135,0.145,0.141,0.129,0.095,0.135,0.167,0.19
ARM,Armenia,CAIT,Electricity/Heat ,All GHG,6.1,7.8,4.866,0.813,0.821,1.392,1.537,1.801,1.786,1.456,1.601,1.539,0.917,0.878,0.767,0.949,0.903,1.082,1.04,0.645,0.633,0.945,1.432,1.321,1.147,1.286,1.186,1.255,1.496
ARM,Armenia,CAIT,Manufacturing/Construction ,All GHG,3.807,3.991,1.377,2.0,0.636,0.505,0.447,0.851,0.973,1.028,0.723,0.8,0.799,0.988,1.097,1.359,1.437,1.17,1.344,0.962,0.516,0.597,0.666,0.658,0.572,0.41,0.399,0.451,0.459
