code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BGR,Bulgaria,CAIT,Total excluding LUCF,All GHG,98.34254894,81.12029347,75.25478866,73.77068824,69.87947799,71.10225621,71.62660325,69.11398358,65.26179788,58.33144653,57.69841084,60.15629301,57.50842308,62.2995462,60.98601358,60.95337577,61.03142915,65.20843927,62.76214846,55.35455751,57.03932415,62.84271567,57.15279156,52.06379641,54.66280819,57.31372748,54.26787221,56.44908718,53.32582946
BGR,Bulgaria,CAIT,Total including LUCF,All GHG,76.59085354,59.36859807,53.50309326,52.01899284,48.12767909,49.35403351,49.87963549,47.36286215,43.51284389,36.57546441,35.97151143,36.61239781,33.96322288,38.7530327,37.43757308,37.41069356,37.48287992,41.67945441,39.20935861,31.79683491,33.49115268,50.74355213,45.04355345,39.95597594,42.55024685,45.20294481,20.46776567,22.64929344,19.51979256
BGR,Bulgaria,CAIT,Energy ,All GHG,74.67034087,60.00487556,56.87707604,57.360535,54.71891448,55.41737041,55.80789122,54.21217848,51.67859306,45.06242535,44.08882889,46.82335725,44.34009055,48.68185117,47.38480754,47.97211185,49.04605809,52.41679636,49.89911112,43.62956915,45.79495882,50.9413148,46.04853171,40.63280885,43.03029639,45.39610705,42.20390929,44.45247783,41.52904637
BGR,Bulgaria,CAIT,Industrial Processes ,All GHG,3.822924235,2.438734511,2.094923891,2.041205702,2.403181001,3.393694536,3.40489996,2.682845665,1.825862395,1.706074818,2.0890689,2.121059236,1.98185124,2.095959069,2.426823011,2.734131271,2.362705586,2.983446758,3.106451919,1.929101925,1.783653294,1.816978827,1.981818843,2.025322671,2.182247058,2.491944528,2.751206122,2.694599861,2.599993599
BGR,Bulgaria,CAIT,Agriculture ,All GHG,11.8936443,11.0306118,8.6572402,6.9538454,6.2244646,5.3145915,5.4101787,5.2583051,5.0692236,5.0985041,5.2074497,5.2198343,5.4723748,5.668564,5.4625084,4.9260649,4.4665829,4.7643821,4.8895395,5.0752303,4.8706268,5.5185397,4.7228643,4.9809039,5.1421135,5.2540749,5.2753182,5.3136626,5.2575343
BGR,Bulgaria,CAIT,Waste ,All GHG,7.955639539,7.646071596,7.62554853,7.415102138,6.532917908,6.976599758,7.003633368,6.96065433,6.688118824,6.464442263,6.31306335,5.992042219,5.714106494,5.853171963,5.711874624,5.321067746,5.156082573,5.043814052,4.867045914,4.720656132,4.590085236,4.565882348,4.399576704,4.424760986,4.308151239,4.171601009,4.037438592,3.988346889,3.939255186
BGR,Bulgaria,CAIT,Land-Use Change and Forestry ,All GHG,-21.7516954,-21.7516954,-21.7516954,-21.7516954,-21.7517989,-21.7482227,-21.74696776,-21.75112142,-21.74895399,-21.75598212,-21.72689941,-23.5438952,-23.5452002,-23.5465135,-23.5484405,-23.54268221,-23.54854923,-23.52898486,-23.55278984,-23.5577226,-23.54817148,-12.09916354,-12.10923811,-12.10782047,-12.11256133,-12.11078268,-33.80010653,-33.79979374,-33.8060369
BGR,Bulgaria,CAIT,Bunker Fuels ,All GHG,0.896,1.637,1.787,2.039,1.826,1.845,1.416,0.468,0.608,0.234,0.442,0.614,0.703,0.909,0.821,0.91,0.873,0.708,1.017,1.105,0.808,0.745,0.69,0.762,0.764,0.802,0.881,0.965,1.023
BGR,Bulgaria,CAIT,Electricity/Heat ,All GHG,45.287,39.459,37.519,37.914,34.859,35.425,35.699,29.996,29.17,26.823,26.503,29.447,26.695,29.586,28.784,28.678,28.969,32.222,31.87,28.873,30.778,35.308,30.682,26.669,28.381,29.379,26.127,27.543,24.185
BGR,Bulgaria,CAIT,Manufacturing/Construction ,All GHG,12.088,8.893,7.379,6.397,7.909,9.046,8.734,14.113,11.368,7.847,7.979,7.866,7.486,8.087,8.021,7.86,7.984,8.428,6.125,3.509,3.724,3.619,3.281,3.293,3.351,3.665,3.728,4.388,4.789
