IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,India +,BTN,Bhutan,1.A.1.a,Main Activity Electricity and Heat Production,bio,CH4,MtCO2,4.850973e-06,4.8147867e-06,4.7762568e-06,4.7691981e-06,4.8328659e-06,5.5417212000000005e-06,5.6019852e-06,5.671651499999999e-06,6.859493999999999e-06,3.1012523999999994e-05,3.1787307e-05,3.193545599999999e-05,3.3706548e-05,3.5051607e-05,3.6277533e-05,3.9024009e-05,3.8971557e-05,3.8341575e-05,3.9065859e-05,3.966822e-05,3.9766986e-05,3.9856545e-05,3.9896163e-05,3.979460699999999e-05,3.9669057e-05,6.5699199e-05,6.563809800000001e-05,4.8258072e-05,4.8904236e-05,,,,,,,,,,,,,5.163648299999999e-08,1.1226681e-07,1.6944450642000003e-05,1.7043614217e-05,1.2068787537e-05,1.7203845591000003e-05,1.7738652879e-05,1.7738652879e-05
Non-Annex_I,India +,BTN,Bhutan,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,1.137507831e-06,1.137507831e-06,2.266688907e-06,3.12886224e-06,3.7785249e-06,3.8099960999999993e-06,4.50863721e-06,8.23061997e-06,5.19355152e-06,5.58217062e-06,5.70867201e-06,5.897834009999999e-06,6.05937501e-06,6.10960059e-06,5.45295735e-06,6.747520139999999e-06,6.86496519e-06,8.84786283e-06,8.56369854e-06,7.233766919999999e-06,1.5771663539999996e-05,1.5489134189999997e-05,1.6643337659999997e-05,1.789628481e-05,1.557253845e-05,2.269590507e-05,2.328967845e-05,2.695495725e-05,3.4537689e-05,3.2379361740000004e-05,3.9376525500000005e-05,5.18005908e-05,6.01932177e-05,6.701270588999999e-05,6.936831962999999e-05,8.327181869999999e-05,7.58681073e-05,7.293405123000001e-05,6.35644026e-05,6.28394211e-05,7.509137409e-05,6.72101235e-05,6.994457459999999e-05,8.032150557899999e-05,8.809843527899999e-05,0.0001071443019239,0.0001110656734289,9.3135460824e-05,9.585824805e-05
Non-Annex_I,India +,BTN,Bhutan,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,,,,,,,,,,5.1847407e-06,,2.13562224e-05,3.6041499e-05,9.6180507e-05,9.8619525e-05,9.3726423e-05,3.5314425e-05,7.375978799999999e-05,4.250286e-05,9.5274036e-05,0.00062845866,0.00064974636,0.0006341251499999,0.0006280792199999,0.0006466857299999,0.00109511406,0.00108369738,0.00110761884,0.00113164911,0.00118632195,0.0011663343899999,0.0012138174,0.00126106605,0.00125733303,0.00124677009,0.00124549785,0.00120851919,0.0012185715599999,0.00122768649,0.00123655869,0.00127108494,0.002874816,0.0027008148599999,0.0031284827999999,0.0034541037,0.003615561,0.0031815765,0.0032541164999999,0.0032541164999999
Non-Annex_I,India +,BTN,Bhutan,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,1.1687198121e-06,1.1687198121e-06,9.693019953e-07,9.745769422799998e-07,1.1288922272999998e-06,1.1201827456799998e-06,1.12111711668e-06,1.77128008785e-06,1.7208823648499998e-06,2.11887112185e-06,1.86704516385e-06,3.2326141932e-06,2.0316460266e-06,2.00663633826e-06,1.91751879717e-06,6.614357039099999e-06,8.0430853212e-06,9.88909120386e-05,0.0001064854430333,8.99270456958e-05,9.68411606976e-05,9.71215131501e-05,0.0001012737063491,3.448237167e-05,7.4668097331e-05,0.0001115326025279,0.000183813891687,0.0002349889569539,0.00016763109291,0.000312290481996,0.000219759442308,0.000218076938946,0.0003060519393239,0.0001896155859239,6.0640008021e-05,0.000354541090284,0.0003489958804679,0.0001473946032509,0.0003972107685689,0.000383954734755,0.000519918654438,0.00037895380623,0.0004644051394499,0.0003100133554199,0.0003554289558899,0.0001694455415099,0.000126908379855,0.000108471973644,0.000111722187771
Non-Annex_I,India +,BTN,Bhutan,1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,1.727295417e-07,1.727295417e-07,3.01095405e-07,1.7449544429999998e-07,1.394981028e-07,1.908032175e-07,5.878138005e-08,2.090415033e-07,1.3033786319999998e-07,3.061067751e-07,1.174807062e-07,6.150204017999999e-07,2.077356996e-07,3.128835735e-07,3.7558494540000006e-07,5.749861617000001e-07,3.410966394e-07,5.463356796e-07,5.58859878e-07,4.365639387e-07,1.0093247685e-06,1.0967899014e-06,1.3132771335e-06,1.2997844144999998e-06,1.512844578e-06,2.169590769e-06,2.723355828e-06,2.0095791075e-06,2.613093912e-06,2.1558655035e-06,2.1761030475e-06,2.354516712e-06,1.3401872415e-06,1.3342099455e-06,1.47880323e-06,1.4965349355e-06,1.4233356585e-06,1.3555301489999998e-06,1.3886897175e-06,1.5448446225e-06,1.349669475e-06,1.7544817629e-06,1.9297768211999995e-06,2.3118070014e-06,2.2902540003e-06,2.604652209e-06,2.485939941e-06,1.9773266796e-06,2.0344293305999994e-06
Non-Annex_I,India +,BTN,Bhutan,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,0.0001287236766456,0.0001287236766456,0.0001334394043817,0.0001307409574477,0.0001320272536044,0.0001345095027688,0.0001318282522286,0.0001429640985513,0.0001569203520462,0.000164567833999,0.0001681131322807,0.0001649069599581,0.0001714708028196,0.000160338170044,0.0001426292863646,0.0001141170908768,9.7416730332e-05,0.0001363206206808,0.000136004480424,0.0001344272951817,0.0003075560650683,0.0003069774411092,0.0003202527367484,0.0003128242637636,0.0003959548797545,0.0005451332505894,0.0005027473450458,0.000508229809101,0.0005188129042841,0.0004799266741889,0.000471717670302,0.0005152552838279,0.000494180377686,0.000556951653873,0.0005065214003099,0.00060551457048,0.00061445408481,0.000583111425132,0.0008782536793499,0.00117810801144,0.00168169222251,0.00276269822622,0.00259511988942,0.00244186400367,0.00197129779092,0.00238801306419,0.00207517629573,0.0016505356815,0.00169820327511
Non-Annex_I,India +,BTN,Bhutan,1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,4.7961774e-07,4.7961774e-07,5.55527781e-07,5.296505309999999e-07,6.30288621e-07,1.7861998499999998e-06,1.287027e-06,1.6671561299999998e-06,1.5923952899999998e-06,1.69246143e-06,1.54179027e-06,1.84754358e-06,1.82912121e-06,1.72517697e-06,2.1021952500000003e-06,2.66371344e-06,2.4819309900000003e-06,2.80991223e-06,3.15811818e-06,2.06335566e-06,3.64077144e-06,3.6513288e-06,3.35179719e-06,2.7213102e-06,3.36537333e-06,4.50045414e-06,4.80790935e-06,5.150610629999999e-06,5.25306501e-06,4.07012175e-06,7.752935699999999e-06,9.4810896e-06,1.052872344e-05,1.31733198e-05,1.390612725e-05,1.495953639e-05,1.381869981e-05,8.2547172e-06,7.18764543e-06,6.72458634e-06,8.362651139999999e-06,3.1101525e-05,3.5948117700000003e-05,3.3082843500000003e-05,3.171840237e-05,3.588101541e-05,3.86989461e-05,3.077600175e-05,3.166481205e-05
Non-Annex_I,India +,BTN,Bhutan,1.A.3.e,Other Transportation,fossil,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,8.928647279999998e-07,1.164879684e-06,1.879085925e-06,1.96797393e-06,2.20740894e-06,2.56657401e-06,2.66718699e-06,2.99176443e-06,3.4369340400000003e-06,3.476995929e-06,3.739403241e-06,3.691843506e-06,4.0105413e-06,3.658879935e-06,4.254050826e-06,3.935058687e-06,3.912523578e-06,6.01742457e-06,8.92197081e-06,1.0478723292e-05,1.214150526e-05,1.041299424e-05,1.129700853e-05,1.226609271e-05,9.75754791e-06,1.003937139e-05
Non-Annex_I,India +,BTN,Bhutan,1.A.4,Other Sectors,fossil,CH4,MtCO2,1.513367424e-06,1.513367424e-06,1.418795352e-06,1.487362113e-06,1.758471993e-06,2.642042115e-06,2.4322645259999994e-06,2.758163589e-06,2.537705601e-06,2.789918811e-06,3.39267348e-06,2.628756972e-06,2.574718578e-06,2.315868795e-06,2.219025384e-06,3.09533481e-06,4.105963206e-06,4.830775910999999e-06,4.810450761e-06,4.737840453e-06,2.030118111e-05,1.5813029753999997e-05,1.666305738e-05,1.631966139e-05,2.033887959e-05,1.7461898549999998e-05,1.771564905e-05,2.72485071e-05,2.17258416e-05,2.70602379e-05,2.096748054e-05,2.314493883e-05,2.154326121e-05,2.307286755e-05,2.640985542e-05,2.610408258e-05,2.765507706e-05,2.909694906e-05,2.431230273e-05,3.28403646e-05,3.1410771390000005e-05,5.2343708382e-05,5.1216920568e-05,5.9367075822e-05,4.6564547022e-05,4.7997691902e-05,5.1973393077e-05,4.0682515014e-05,4.185755252999999e-05
Non-Annex_I,India +,BTN,Bhutan,1.A.4,Other Sectors,bio,CH4,MtCO2,0.086032719,0.085391577,0.085992543,0.087433857,0.0898536239999999,0.0897381179999999,0.0922650209999999,0.0944972999999999,0.101709729,0.1058311169999999,0.1099131659999999,0.110897478,0.113852925,0.118850652,0.119321883,0.130018743,0.131901156,0.131103495,0.1342079279999999,0.136498797,0.1401514649999999,0.141300666,0.142006257,0.143340435,0.144099594,0.2402541539999999,0.28339425,0.28655532,0.2929221,0.2995232399999999,0.30440574,0.3086493299999999,0.3144887999999999,0.31869891,0.3229173899999999,0.3271302899999999,0.3308521499999999,0.3345935399999999,0.33836283,0.34200936,0.34604091,0.3152228259545999,0.3163388807780999,0.3174577287821999,0.3214446963678,0.3254840962281,0.3268261521836999,0.3361755063816,0.3361755063816
Non-Annex_I,India +,BTN,Bhutan,1.A.5,Non-Specified,fossil,CH4,MtCO2,3.1485256857e-05,3.1485256857e-05,2.764245789e-05,3.616093332e-05,5.094910790999999e-05,2.962366758e-05,2.767929705e-05,1.2787128e-05,2.1130546275e-05,2.3326097715e-05,2.861610093e-05,2.34483788115e-05,2.29688617905e-05,2.7267002428500003e-05,1.5614949798e-05,3.5785695339e-05,3.5762807853e-05,0.0004107661738469,0.000387283238235,0.0003413161155869,0.000433022031468,0.000408977899632,4.2374056581e-05,3.196864026e-05,7.6217534433e-05,7.025343597e-05,5.808560148e-05,8.174016729e-05,8.529778277999999e-05,8.973299277e-05,1.7564528700000002e-05,1.6510042619999997e-05,1.881796689e-05,1.356243831e-05,1.225462023e-05,7.04104209e-06,1.920943737e-05,3.737098143e-05,3.527847306e-05,3.344889708e-05,5.38018857e-05,0.0008739030582539,0.001362954614373,0.001670529903462,0.0019272103350749,0.0009154901702249,0.00049561784595,0.00043966606158,0.00045310257324
Non-Annex_I,India +,BTN,Bhutan,1.A.5,Non-Specified,bio,CH4,MtCO2,,,,,,,,,,,,,,,,,,0.000102319065,0.000104252535,0.000105859575,0.0001166183729999,0.000128569896,0.00012869712,0.000149376042,0.000159374007,0.0002639521349999,0.0002637068939999,0.00028182627,0.00028560114,0.0004340543058,0.0004369394447999,0.0004435859502,0.0004471391825999,0.0004506234462,0.000484943292,0.0004798133189999,0.0004988262204,0.0005247402984,0.0005491155239999,0.0006230486268,0.0003488699142,0.0002048756706,0.0002061103013999,0.0002088712296,0.00023241537,0.0002176609014,0.00021679695,0.0002213299187999,0.0002213299187999
Non-Annex_I,India +,BTN,Bhutan,1.B.1,Solid Fuels,fossil,CH4,MtCO2,1.70994357e-05,1.70994357e-05,1.51649055e-05,1.78432497e-05,1.90742814e-05,2.27855394e-05,2.51876178e-05,2.99307852e-05,3.4820678700000005e-05,3.4650656099999995e-05,3.5497755900000006e-05,4.114834289999999e-05,3.79638927e-05,3.800959289999999e-05,4.16058471e-05,0.0002683025819999,0.000268662213,0.00061212879,0.00066437154,0.0006781541399999,0.00067613697,0.0006609705299999,0.0194314014,0.0141628211999999,0.0196184151,0.0263102301,0.0283991309999999,0.0189764082,0.0128220476399999,0.01763158077,0.01567419768,0.02388401541,0.02909475054,0.01815385203,0.0091507926599999,0.02606618322,0.02977611876,0.0334435374899999,0.0318367653299999,0.0234753069149999,0.017095511844,0.0266028796169999,0.026703798381,0.0181768910129999,0.0286825924889999,0.0089209259270999,0.0079046112042,0.0068269865660999,0.0028516331618099
Non-Annex_I,India +,BTN,Bhutan,1.B.1,Solid Fuels,bio,CH4,MtCO2,0.0049858136999999,0.0048183021,0.0048001671,0.0048384459,0.0051610536,0.0048790125,0.0049138874999999,0.0050733080999999,0.0054456894,0.0056992167,0.0057148685999999,0.005679045,0.0055335186,0.0054707157,0.0054722780999999,0.0058682348999999,0.0057812427,0.0055588239,0.0056531816999999,0.0057054105,0.0057679064999999,0.0057933512999999,0.0057402855,0.0058211676,0.0058199678999999,0.0083050767,0.0083565521999999,0.0085105602,0.0085365351,0.0085940091,0.0098109792,0.0100087065,0.0114904476,0.0118007792999999,0.0121022108999999,0.01239876,0.0126034901999999,0.0129132917999999,0.0124817067,0.0127256922,0.0124135749,0.0216828756,0.0219984804,0.0197372691,0.0180277245,0.0184266945,0.0180712206,0.0181817604,0.0185578245
Non-Annex_I,India +,BTN,Bhutan,2.C,Metal Industry,fossil,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,6.138e-05,0.00036828,0.00036828,0.00046035,0.00055242,0.00055242,0.00046035,0.00049104,0.00064449,0.00064449,0.00064900143,0.0006137999999999,0.0006137999999999,0.00064449,0.00094598856,0.00278659062,0.0029931399,0.0029680578,0.0025196489999999,0.002525787,0.0024393946499999,0.0032042313,0.0032542559999999,0.0036726444,0.0034842914999999
Non-Annex_I,India +,BTN,Bhutan,3.A.1,Enteric Fermentation,fossil,CH4,MtCO2,0.22976766,0.2352876749999999,0.240993225,0.24613659,0.2514905999999999,0.2577792599999999,0.26500536,0.2711628899999999,0.27800955,0.2838811049999999,0.289603674,0.2981502809999999,0.311784174,0.3263089698,0.3421314225,0.3590399106,0.3580072199999999,0.3729523293,0.3752911584,0.3761024625,0.3885993747,0.3727133099999999,0.3475894716,0.347792751,0.3483384191999999,0.3826316484,0.3690115938,0.369547497,0.3690288359999999,0.3921397731,0.3660864183,0.3327314381999999,0.3390987204,0.3394857213,0.3438280494,0.384222897,0.3668796710999999,0.3704180327999999,0.3316158288,0.3504073995,0.3513138426,0.340997706,0.3420876474,0.3499055901,0.3153844457999999,0.3059766773999999,0.3047373593999999,0.3048707214,0.3009413133
Non-Annex_I,India +,BTN,Bhutan,3.A.2,Manure Management,fossil,CH4,MtCO2,0.0243353397599999,0.024859231173,0.02542177971,0.02588278536,0.0264007692269999,0.027026789427,0.027802290573,0.0284067588599999,0.029104976727,0.029607906312,0.0301147840259999,0.031208583438,0.032313047346,0.0334652258339999,0.034712901279,0.036019858923,0.0378136255319999,0.037673732979,0.037448917011,0.0378285643079999,0.039521325663,0.038612777508,0.036243148482,0.0362007848429999,0.036217192833,0.0396540897659999,0.039019968522,0.03830911335,0.0384833385269999,0.0407996777159999,0.037760381172,0.0345657457979999,0.035731132425,0.03504852126,0.035287259328,0.0389173584599999,0.0372362146649999,0.037552510827,0.033432910659,0.035010846774,0.034915869594,0.034100917011,0.034850672874,0.0344917697849999,0.0318979058922,0.030701878425,0.0307223268929999,0.0309495344489999,0.0306705617909999
Non-Annex_I,India +,BTN,Bhutan,3.C.1,Emissions from biomass burning,bio,CH4,MtCO2,0.002380768659,0.002437083972,0.002494367136,0.0025497076229999,0.002604714147,0.002659984326,0.0027179234189999,0.00277289451,0.0028303579079999,0.0028930402799999,0.0029913926346,0.003063211308,0.0031293140246999,0.003263405526,0.0033586084728,0.0032728513778999,0.0033124452722999,0.0031742518292999,0.0023020481394,0.0023074979859,0.0025592979411,0.0024733774359,0.002440402677,0.0025879959368999,0.0027071112762,0.0029364446168999,0.003016915164,0.0030180495222,0.0029540654198999,0.0027364669586999,0.0024164523404999,0.0024675218397,0.0020266158798,0.0022286030912999,0.0026642767130999,0.0032474107070999,0.0032549418099,0.0034028576495999,0.002868006726,0.00273007759365,0.00264280646898,0.00326050644258,0.00300012702534,0.00286476460371,0.00292544597934,0.00299911642317,0.0030807636349139,0.0032083103385899,0.0032576655418199
