code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,85.33221,2389.30188,2303.96967
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,2.2123148,586.263422,603.9619404
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,8235.4,230591.2,222355.8
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,207.403789,54962.004085,56621.234397
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,872.2344,24422.5632,23550.328800000003
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,4.32842883,1147.03363995,1181.66107059
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,8293.04,232205.12,223912.08
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Buildings,Residential,CO2,1,1.0,404.08928,404.08928,404.08928
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Buildings,Residential,CH4,28,27.0,3083.66317941,86342.56902348,83258.90584407
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Buildings,Residential,N2O,265,273.0,41.1178235074,10896.223229460998,11225.1658175202
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Energy systems,Coal mining fugitive emissions,CO2,1,1.0,0.236348,0.236348,0.236348
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Energy systems,Coal mining fugitive emissions,CH4,30,29.8,0.612883,18.38649,18.2639134
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Energy systems,Electricity & heat,CO2,1,1.0,1458.563,1458.563,1458.563
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Energy systems,Electricity & heat,CH4,28,27.0,0.21464089,6.00994492,5.79530403
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Energy systems,Electricity & heat,N2O,265,273.0,0.03279819,8.69152035,8.95390587
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Energy systems,Other (energy systems),CO2,1,1.0,8293.9279,8293.9279,8293.9279
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Energy systems,Other (energy systems),CH4,28,27.0,179.83150383,5035.28210724,4855.45060341
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Energy systems,Other (energy systems),N2O,265,273.0,20.8990300306,5538.242958109,5705.4351983538
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Industry,Cement,CO2,1,1.0,31467.8,31467.8,31467.8
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Industry,Chemicals,CO2,1,1.0,2578.8509,2578.8509,2578.8509
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Industry,Chemicals,N2O,265,273.0,0.08988851,23.82045515,24.53956323
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Industry,Other (industry),CO2,1,1.0,1065.47638,1065.47638,1065.47638
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Industry,Other (industry),CH4,28,27.0,0.041889599,1.172908772,1.131019173
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Industry,Other (industry),N2O,265,273.0,0.0124095501,3.2885307765,3.3878071773
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Industry,Waste,CH4,28,27.0,1339.0869112,37494.4335136,36155.3466024
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Domestic Aviation,CO2,1,1.0,872.4529,872.4529,872.4529
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Domestic Aviation,CH4,28,27.0,0.006191023,0.173348644,0.167157621
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Domestic Aviation,N2O,265,273.0,0.024764074,6.5624796100000005,6.760592202
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Inland Shipping,CO2,1,1.0,176.915,176.915,176.915
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Inland Shipping,CH4,28,27.0,0.0171906,0.4813368,0.4641462
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Inland Shipping,N2O,265,273.0,0.0049116,1.301574,1.3408668
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Other (transport),CO2,1,1.0,18.9829,18.9829,18.9829
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Other (transport),CH4,28,27.0,0.00106315,0.0297681999999999,0.0287050499999999
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Other (transport),N2O,265,273.0,0.00732675,1.94158875,2.00020275
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Road,CO2,1,1.0,4936.428528,4936.428528,4936.428528
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Road,CH4,28,27.0,4.6137518511,129.1850518308,124.5712999797
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1970,Transport,Road,N2O,265,273.0,0.113756359,30.145435135,31.055486007
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1971,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,87.35068,2445.81904,2358.46836
BTN,Bhutan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,ldc,1971,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,2.264649,600.131985,618.249177
