IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,3.50090316e-07,3.50090316e-07,4.24074978e-07,4.24074978e-07,3.91906278e-07,5.386011299999999e-07,6.31196487e-06,6.176524319999999e-06,6.983403479999999e-06,7.49492487e-06,1.045173339e-05,1.643582583e-05,1.7647586999999998e-05,2.073252627e-05,2.071370493e-05,2.033639649e-05,2.7730702800000004e-05,2.584772622e-05,2.413292805e-05,1.804269564e-05,2.824125048e-05,3.692958948e-05,2.949770745e-05,3.227641353e-05,3.297922848e-05,3.144379662e-05,3.515815989e-05,3.4225183889999994e-05,3.73211604e-05,3.656368656e-05,4.687028694e-05,5.105444994e-05,5.259320748e-05,4.884039801e-05,5.006126573999999e-05,4.996859868e-05,5.651376849e-05,5.41039311e-05,5.605496136e-05,5.6152884780000005e-05,5.63610411e-05,7.5218601438e-05,6.828766893e-05,6.4203895431e-05,6.4318981257e-05,6.3699456456e-05,6.790756490999999e-05,6.7571847e-05,7.104060098999999e-05
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.1.a,Main Activity Electricity and Heat Production,bio,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98100044e-08,2.812041e-08,2.9802500999999995e-08,0.0001716356385,0.0001753110729,0.0001803287205,0.0001977392969999,0.0001881062639999,0.000167122674,0.000170765856,0.000170765856
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,3.2556242997e-05,3.2556242997e-05,3.2002634456999995e-05,3.2386440807e-05,3.7108893573e-05,3.6701228817e-05,2.6422098219e-05,2.4889368753e-05,2.46237916662e-05,2.9868465528e-05,3.5391332186999994e-05,3.401725914e-05,2.612063286e-05,2.7686182491e-05,2.0503473966e-05,2.6056737675e-05,3.8971928349e-05,6.9271803207e-05,5.1206946876e-05,4.3242790599e-05,1.9378075014e-05,2.4100579395e-05,1.9791797697e-05,2.0899160135999995e-05,2.4774296598e-05,2.5899912891e-05,2.7876137967000003e-05,2.9647761740999995e-05,2.9097687294e-05,2.9264768676e-05,3.691556080199999e-05,3.8484678006e-05,3.9089072358e-05,3.5951030180999994e-05,3.5447000777999994e-05,3.906833596199999e-05,4.5268143111e-05,5.0169865374e-05,4.6558684116e-05,5.0957668187999993e-05,5.9773716927e-05,6.77504569689e-05,6.96260435922e-05,6.61602886011e-05,6.87409819362e-05,7.586228415149999e-05,7.73908709139e-05,7.70081703246e-05,8.096165333459999e-05
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,0.00071211123,0.0007167119399999,0.0007549070399999,0.00076757643,0.0007971253199999,0.00082052784,0.00059639877,0.00062528364,0.0006785391599999,0.00069559722,0.00075604815,0.00078826428,0.0008217749699999,0.0008160471,0.0007173062099999,0.0007050357899999,0.0009531839699999,0.0009693129599999,0.00100568061,0.00095541876,0.0008195122799999,0.00083292102,0.00083152044,0.00078300513,0.00074919033,0.00075539529,0.0006581330999999,0.00069928002,0.00068242284,0.0004002980399999,0.00051510096,0.0005332248,0.00057477069,0.00052414056,0.0005210241299999,0.00058298445,0.00057458934,0.00067536693,0.00071029494,0.0007160004899999,0.00072070164,0.00069010092,0.0007350645599999,0.0007817775299999,0.00079826643,0.0008019352799999,0.00081907425,0.00083438577,0.00083438577
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,1.485639567e-06,1.485639567e-06,1.4577108299999995e-06,1.5522204059999998e-06,1.6244039835e-06,1.7243939564999998e-06,1.5019723664999998e-06,1.7191613115e-06,1.5968518964999998e-06,1.813665726e-06,1.891589589e-06,2.444976045e-06,2.501640945e-06,2.881546038e-06,2.749637628e-06,2.492508438e-06,3.336049593e-06,3.224981088e-06,3.176221653e-06,3.642324075e-06,3.922487784e-06,5.038523217e-06,4.292588259e-06,4.7827296e-06,5.159626793999999e-06,5.549639778e-06,6.262890444e-06,6.766356825e-06,6.41389752e-06,6.600380003999999e-06,8.142967935e-06,8.07533694e-06,7.716743541e-06,7.057599903e-06,7.409814246e-06,6.891120045e-06,7.159080294e-06,7.17323229e-06,7.493726286e-06,7.334928135e-06,7.635971367e-06,6.771049605e-07,6.925669173e-07,6.711022197e-07,6.269530644000001e-07,6.746003774999999e-07,6.746104215e-07,6.714006381e-07,7.058653686e-07
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,8.143935529599001e-05,8.143935529599001e-05,8.686084980761999e-05,9.549931637187e-05,9.549931637187e-05,0.0001150751311153,0.0001929290242465,0.0002297286535679,0.0002348108588106,0.0002351099119077,0.0002520175019066,0.0003304304284986,0.0003400430190291,0.0003578672388645,0.0003539903356629,0.0003365118776817,0.000439562845781,0.0004080567484332,0.0005237749758096,0.0004785795281573,0.0005308851058047,0.0006831639756,0.0005734597351229,0.000628894644651,0.00065933235081,0.0006885455973929,0.000783058885488,0.000839035425528,0.000864643775886,0.0009542150142209,0.0011724146091,0.001194103775313,0.0012011264474849,0.0011328172962008,0.0011026348809583,0.0011095401991819,0.0011682704041694,0.0011264470017006,0.001128822670368,0.001182752528904,0.001196583851232,0.0013489235252549,0.001449148183848,0.0015551858956049,0.001551820028724,0.00162654168708,0.001727713798425,0.001719174726099,0.0018074286000899
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.3.c,Railways,fossil,CH4,MtCO2,,,,,4.4496873e-08,4.4496873e-08,4.4496873e-08,,4.4496873e-08,4.4496873e-08,4.4496873e-08,6.0539094e-08,6.6684348e-08,7.1562384e-08,6.5440566e-08,6.388346699999999e-08,8.3894742e-08,7.541090999999999e-08,6.901623e-08,6.5258379e-08,6.895206e-08,8.5023576e-08,7.0652286e-08,7.576021800000002e-08,7.7581251e-08,7.6677849e-08,8.003505599999999e-08,7.7331546e-08,7.468829999999999e-08,,,,,,,,,,,,1.74080376e-06,1.76837175e-06,1.90819539e-06,2.01703329e-06,3.2297877e-06,3.1692447e-06,1.8541224e-06,1.84380777e-06,1.93846131e-06
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,,,,,,,,,7.5055185e-08,7.5055185e-08,1.5185579399999997e-07,2.0660396400000002e-07,2.2757527800000003e-07,2.4422265e-07,2.23329456e-07,2.18017296e-07,1.41509358e-07,1.2719916899999998e-07,,,,,,,,,,,,,,,,,,,,,,,6.7800906e-07,7.4641428e-07,7.432029900000001e-07,6.091434899999999e-07,5.689005300000001e-07,5.4666144e-07,5.403281399999999e-07,5.3670951e-07,5.6426355e-07
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.4,Other Sectors,fossil,CH4,MtCO2,3.277487772e-06,3.277487772e-06,3.554282835e-06,3.773688435e-06,3.708483345e-06,8.361141750000001e-06,1.745042328e-05,2.19220316658e-05,2.32469747658e-05,2.46483136458e-05,2.7753854499e-05,3.9019933368e-05,4.6029294729e-05,4.7700769221e-05,4.2963351453e-05,4.6666931094e-05,5.7031745940000005e-05,5.4406904454e-05,4.7067881994e-05,4.053601323e-05,5.5593880659e-05,7.016138940600001e-05,6.2534830662e-05,6.754151746799999e-05,6.6872999709e-05,6.835371074099999e-05,7.466881212899999e-05,7.4204485542e-05,7.1811335979e-05,6.9873517764e-05,9.1533084309e-05,9.7966931445e-05,0.0001028777580359,9.5901923547e-05,8.8727847561e-05,8.3479428738e-05,8.7529217805e-05,9.0852279111e-05,8.5697077536e-05,8.419238952299999e-05,8.2158392754e-05,9.4555697211e-05,8.794435724999999e-05,8.342525781899999e-05,7.733162858399999e-05,7.409134127699999e-05,8.5535110782e-05,8.478602703e-05,8.9138461347e-05
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.4,Other Sectors,bio,CH4,MtCO2,0.155865607668,0.15687030285,0.16167075732,0.169396249464,0.176462741376,0.181492849116,0.1891177171199999,0.1965841705979999,0.201362252616,0.204987718116,0.20880921627,0.2140943026679999,0.221427940428,0.2275380861839999,0.242108224506,0.2485016741159999,0.252976864806,0.259723017846,0.260678242422,0.2618736307559999,0.293137361334,0.2805681401459999,0.286016905242,0.271468914498,0.29006425278,0.296163345114,0.25233197193,0.252743566122,0.251484119946,0.19369085913,0.2021034702419999,0.2019740332139999,0.202085322408,0.20281525839,0.203498499816,0.2030944475519999,0.20334880683,0.20524935204,0.20575010682,0.2071554856199999,0.20787170094,0.20759620518,0.21192411456,0.21047123322,0.2069537741999999,0.2076554870999999,0.21002604966,0.21349585548,0.21349585548
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.A.5,Non-Specified,fossil,CH4,MtCO2,0.0001108759392,0.0001108759392,0.0001066030318799,0.0001086467124599,0.0001116800088299,0.0001142733807899,8.948019338099999e-05,8.5584087e-05,7.126866117e-05,7.915197078e-05,7.220762730000001e-05,7.643655585e-05,8.888688621e-05,9.805000787999998e-05,8.386791614999998e-05,8.275686561e-05,7.048659069000001e-05,0.00010071108756,0.00010101637773,0.0001173313323899,4.846158297e-05,6.000957152999999e-05,5.008224096e-05,5.480895573e-05,6.730384238999999e-05,6.971700825e-05,6.127427294999999e-05,7.99056279e-05,9.062199e-05,0.0001047396969,0.0001202755607999,0.0001344126861,0.00010424538702,0.0001357145056799,0.00012911396274,0.0001210430758499,9.666559035e-05,8.959423212e-05,0.00011236843017,7.858090241999998e-05,6.874911261e-05,0.00010155152205,0.00012739005243,0.0001145284704899,0.0001071494254799,0.00010288527039,6.118459398e-05,6.11653374e-05,6.430522850999999e-05
Non-Annex_I,Western_Africa,CAF,Central African Republic,1.B.1,Solid Fuels,bio,CH4,MtCO2,0.0030753890999999,0.0029823705,0.0030944727,0.0031953591,0.0032937902999999,0.0034136487,0.0035020358999999,0.0036235962,0.0036741509999999,0.0039239676,0.0044034569999999,0.0048320289,0.0051884792999999,0.0055239768,0.005843097,0.0062527527,0.0066267243,0.0069708707999999,0.0072439001999999,0.0076082741999999,0.022978998,0.0238055912999999,0.0243171936,0.0249939638999999,0.0258965009999999,0.0265483566,0.0287356049999999,0.0338608349999999,0.035694981,0.0203948720999999,0.0224351712,0.0228228975,0.0229554783,0.0231492159,0.0233467758,0.0249530624999999,0.0251617544999999,0.220215537,0.2262570029999999,0.2286070199999999,0.238961547,0.247137363,0.255616731,0.258266952,0.264243411,0.273289428,0.2803475699999999,0.3048465599999999,0.3139447499999999
Non-Annex_I,Western_Africa,CAF,Central African Republic,3.A.1,Enteric Fermentation,fossil,CH4,MtCO2,0.730825434,0.771712326,0.8261814959999999,0.875768166,0.920244672,0.936679725,0.97302087,1.0702998,1.2222599399999998,1.6202428379999998,1.747461537,1.795251726,1.9218078,2.1862385316,2.101291848,2.1844493883,2.2753008,2.2903287444,2.3704976924999994,2.4810868755,2.5700932323,2.8252770669,2.8819423854000004,2.93222025,3.04859115,3.169499706,3.2927015025,3.4182522,3.547937538,3.68102556,3.818856303,3.8852703,3.952973556,4.0215339,4.0815468,4.1518548,4.2880068,4.594739400000001,4.544017199999999,4.67318025,4.8070863,5.242354199999999,5.335958699999999,5.400826199999999,5.466862709999999,5.584777038,5.811456725999999,5.894368272,5.938406189999999
Non-Annex_I,Western_Africa,CAF,Central African Republic,3.A.2,Manure Management,fossil,CH4,MtCO2,0.0251986103163,0.0265520228553,0.028301146758,0.0298834019882999,0.0313365013109999,0.032888030355,0.0348515918999999,0.037767965229,0.0431309174579999,0.054976281237,0.059601327849,0.062936665713,0.0667083305609999,0.075478821111,0.0733584961619999,0.075933381303,0.07925625261,0.080355176694,0.08309785104,0.0867751421849999,0.090441937908,0.0975217007339999,0.098519520519,0.0999475510499999,0.1028751809129999,0.105898872708,0.10902681648,0.11227465548,0.1156338319409999,0.11907003807,0.122620683861,0.12633732963,0.130187322333,0.1341699812099999,0.13788239706,0.14106012336,0.14495197248,0.1536010785,0.15829861824,0.1633502117699999,0.16857965664,0.17964395964,0.18104461776,0.18243961776,0.183834755865,0.187246820961,0.196838885601,0.199190340567,0.2004989830919999
Non-Annex_I,Western_Africa,CAF,Central African Republic,3.C.1,Emissions from biomass burning,bio,CH4,MtCO2,0.0089819902107,0.0092196541008,0.0095223095901,0.009646785189,0.0109089982637999,0.0100845421317,0.0102693936654,0.0107019240174,0.0104785212402,0.0106485223572,0.0106329747753,0.0106716763997999,0.0099631041453,0.0084353427765,0.0077435474057999,0.00683366418,0.0083884968629999,0.0077448426632999,0.0080331378272999,0.0078193736352,0.0079194885165,0.007730789238,0.0075848544099,0.0077596082360999,0.0080598338307,0.0086272669881,0.0094639015817999,0.0100015437050999,0.0104625001395,0.0104697981936,0.0107485024257,0.0109866448566,0.0112370421951,0.0112259221478999,0.0118035932381999,0.0127618097265,0.0127863478602,0.0133240261419,0.0136473186473999,0.0141735906837,0.0134127689831999,0.0142262278838999,0.0136449568844999,0.0128677948514999,0.0115033494807,0.011650263822,0.012185503002,0.012170186739,0.0120053557709999
