code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
CAN,CANADA,1785,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1786,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1787,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1788,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1789,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1790,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1791,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1792,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1793,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1794,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1795,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1796,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1797,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1798,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1799,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1800,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1801,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1802,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1803,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1804,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1805,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1806,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1807,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1808,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1809,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1810,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1811,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1812,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1813,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1814,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1815,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1816,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1817,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1818,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1819,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1820,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1821,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1822,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1823,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1824,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1825,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1826,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1827,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1828,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1829,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1830,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1831,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1832,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1833,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1834,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1835,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1836,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1837,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1838,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1839,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1840,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1841,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1842,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1843,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1844,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1845,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1846,MtCO2,0.0256666666666666,0.0256666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1847,MtCO2,0.033,0.033,0.0,0.0,0.0,,,0.0
CAN,CANADA,1848,MtCO2,0.0403333333333333,0.0403333333333333,0.0,0.0,0.0,,,0.0
CAN,CANADA,1849,MtCO2,0.0476666666666666,0.0476666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1850,MtCO2,0.0586666666666666,0.0586666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1851,MtCO2,0.0696666666666666,0.0696666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1852,MtCO2,0.0843333333333333,0.0843333333333333,0.0,0.0,0.0,,,0.0
CAN,CANADA,1853,MtCO2,0.1026666666666666,0.1026666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1854,MtCO2,0.1246666666666666,0.1246666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1855,MtCO2,0.1503333333333333,0.1503333333333333,0.0,0.0,0.0,,,0.0
CAN,CANADA,1856,MtCO2,0.1796666666666666,0.1796666666666666,0.0,0.0,0.0,,,0.0
CAN,CANADA,1857,MtCO2,0.2163333333333333,0.2163333333333333,0.0,0.0,0.0,,,0.0
