code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
CHE,SWITZERLAND,1858,MtCO2,0.1466666666666666,0.1466666666666666,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1859,MtCO2,0.2053333333333333,0.2053333333333333,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1860,MtCO2,0.3043333333333333,0.3043333333333333,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1861,MtCO2,0.4253333333333333,0.4253333333333333,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1862,MtCO2,0.4693333333333333,0.4693333333333333,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1863,MtCO2,0.4693333333333333,0.4693333333333333,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1864,MtCO2,0.572,0.572,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1865,MtCO2,0.6966666666666667,0.6966666666666667,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1866,MtCO2,0.6893333333333332,0.6893333333333332,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1867,MtCO2,0.6746666666666666,0.6746666666666666,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1868,MtCO2,0.77,0.77,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1869,MtCO2,0.7443333333333333,0.7443333333333333,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1870,MtCO2,0.8983333333333332,0.8506666666666667,0.0476666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1871,MtCO2,1.111,1.045,0.066,0.0,0.0,,,0.0
CHE,SWITZERLAND,1872,MtCO2,1.276,1.2173333333333332,0.0586666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1873,MtCO2,1.2393333333333332,1.1586666666666663,0.0843333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1874,MtCO2,1.1696666666666664,1.1696666666666664,0.0,0.0,0.0,,,0.0
CHE,SWITZERLAND,1875,MtCO2,1.2796666666666665,1.2356666666666665,0.0476666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1876,MtCO2,1.496,1.4373333333333334,0.055,0.0,0.0,,,0.0
CHE,SWITZERLAND,1877,MtCO2,1.419,1.364,0.055,0.0,0.0,,,0.0
CHE,SWITZERLAND,1878,MtCO2,1.3566666666666665,1.2943333333333331,0.066,0.0,0.0,,,0.0
CHE,SWITZERLAND,1879,MtCO2,1.4483333333333333,1.3823333333333332,0.066,0.0,0.0,,,0.0
CHE,SWITZERLAND,1880,MtCO2,1.672,1.6023333333333332,0.0696666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1881,MtCO2,1.5656666666666663,1.485,0.0806666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1882,MtCO2,1.7306666666666666,1.6426666666666665,0.0843333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1883,MtCO2,1.914,1.8333333333333333,0.0843333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1884,MtCO2,1.9653333333333327,1.8626666666666665,0.1026666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1885,MtCO2,2.046,1.9653333333333327,0.0843333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1886,MtCO2,2.086333333333333,1.9873333333333327,0.099,0.0,0.0,,,0.0
CHE,SWITZERLAND,1887,MtCO2,2.2586666666666666,2.1596666666666664,0.1026666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1888,MtCO2,2.306333333333333,2.196333333333333,0.11,0.0,0.0,,,0.0
CHE,SWITZERLAND,1889,MtCO2,2.544666666666666,2.427333333333333,0.121,0.0,0.0,,,0.0
CHE,SWITZERLAND,1890,MtCO2,2.878333333333333,2.7536666666666667,0.1246666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1891,MtCO2,3.5236666666666667,3.388,0.1356666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1892,MtCO2,3.472333333333333,3.3256666666666663,0.1466666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1893,MtCO2,2.878333333333333,2.717,0.1613333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1894,MtCO2,3.586,3.4246666666666665,0.1613333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1895,MtCO2,3.85,3.677666666666666,0.1723333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1896,MtCO2,4.213,4.018666666666666,0.1943333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1897,MtCO2,4.444,4.242333333333333,0.2016666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1898,MtCO2,4.752,4.550333333333333,0.2016666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1899,MtCO2,5.126,4.913333333333333,0.2126666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1900,MtCO2,5.679666666666666,5.459666666666666,0.2163333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1901,MtCO2,5.1883333333333335,4.968333333333333,0.22,0.0,0.0,,,0.0
CHE,SWITZERLAND,1902,MtCO2,5.2396666666666665,5.012333333333333,0.2273333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1903,MtCO2,5.676,5.448666666666666,0.2273333333333333,0.0,0.0,,,0.0
CHE,SWITZERLAND,1904,MtCO2,5.9656666666666665,5.734666666666666,0.231,0.0,0.0,,,0.0
CHE,SWITZERLAND,1905,MtCO2,6.244333333333333,6.020666666666666,0.2236666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1906,MtCO2,6.900666666666666,6.666,0.2346666666666666,0.0,0.0,,,0.0
CHE,SWITZERLAND,1907,MtCO2,8.004333333333333,7.762333333333333,0.242,0.0,0.0,,,0.0
