code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,2188.02213,61264.61964,59076.59750999999
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,56.7264857,15032.5187105,15486.3305961
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,52693.56,1475419.68,1422726.12
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,638.213,638.213,638.213
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,3506.68501559,929271.52913135,957325.00925607
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,2299.51408,64386.39424,62086.88016
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,171.6654757,45491.3510605,46864.6748661
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,50971.06,1427189.68,1376218.62
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Buildings,Residential,CH4,28,27.0,51559.8,1443674.4,1392114.6
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Buildings,Residential,N2O,265,273.0,687.464,182177.96,187677.672
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Coal mining fugitive emissions,CO2,1,1.0,956.046,956.046,956.046
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Coal mining fugitive emissions,CH4,30,29.8,1376.4552,41293.656,41018.364960000006
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Electricity & heat,CO2,1,1.0,28018.8,28018.8,28018.8
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Electricity & heat,CH4,28,27.0,1.086,30.408,29.322000000000003
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Electricity & heat,N2O,265,273.0,0.2172,57.558,59.2956
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,0.593899,0.593899,0.593899
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,223.15532,6694.6596,6650.028536
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Other (energy systems),CO2,1,1.0,1074289.0,1074289.0,1074289.0
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Other (energy systems),CH4,28,27.0,13249.68,370991.04,357741.36
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Other (energy systems),N2O,265,273.0,613.8988,162683.182,167594.37240000002
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Petroleum refining,CO2,1,1.0,43576.2,43576.2,43576.2
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Petroleum refining,CH4,28,27.0,1.68901,47.29228,45.60327
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Energy systems,Petroleum refining,N2O,265,273.0,0.3378,89.517,92.2194
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Industry,Cement,CO2,1,1.0,206492.0,206492.0,206492.0
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Industry,Chemicals,CO2,1,1.0,166819.46,166819.46,166819.46
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Industry,Chemicals,N2O,265,273.0,0.2201089,58.3288585,60.0897297
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Industry,Metals,CO2,1,1.0,256698.128,256698.128,256698.128
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Industry,Metals,CH4,28,27.0,5.53,154.84,149.31
COD,"Congo, Dem. Rep.",Africa,Africa,Southern and middle Africa,ldc,1970,Industry,Metals,N2O,265,273.0,0.7925,210.0125,216.3525
