code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,103.670539,2902.7750920000003,2799.104553
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,2.68775509,712.25509885,733.75713957
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,7659.0,214452.0,206793.0
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,31498.54,31498.54,31498.54
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,397.1464409,105243.8068385,108420.9783657
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,2511.0022,70308.0616,67797.0594
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,22.77921918,6036.4930827,6218.726836139999
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,AFOLU,Synthetic fertilizer application (N2O),N2O,265,273.0,307.9948,81618.622,84082.5804
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Buildings,Non-CO2 (all buildings),HFC-125,3170,3740.0,0.0,0.0,0.0
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Buildings,Non-CO2 (all buildings),HFC-134a,1300,1530.0,0.0,0.0,0.0
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Buildings,Non-CO2 (all buildings),HFC-23,12400,14600.0,0.0,0.0,0.0
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Buildings,Non-CO2 (all buildings),HFC-236fa,8060,8690.0,0.0,0.0,0.0
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Buildings,Residential,CO2,1,1.0,112946.2,112946.2,112946.2
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Buildings,Residential,CH4,28,27.0,11.54,323.12,311.58
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Buildings,Residential,N2O,265,273.0,0.4716,124.974,128.7468
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Energy systems,Electricity & heat,CO2,1,1.0,640872.0,640872.0,640872.0
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Energy systems,Electricity & heat,CH4,28,27.0,6.624,185.472,178.84799999999998
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Energy systems,Electricity & heat,N2O,265,273.0,2.484,658.26,678.132
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Energy systems,Other (energy systems),CH4,28,27.0,202.365,5666.22,5463.8550000000005
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Energy systems,Other (energy systems),N2O,265,273.0,51.18842,13564.9313,13974.43866
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Energy systems,Other (energy systems),SF6,23500,25200.0,0.0,0.0,0.0
CYP,Cyprus,Developed Countries,Europe,Southern and eastern Europe,developed,1970,Industry,Cement,CO2,1,1.0,131404.0,131404.0,131404.0
