code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
CZE,CZECH REPUBLIC,1992,MtCO2,138.16366666666664,101.92966666666666,19.957666666666665,13.280666666666669,2.992,0.0,0.0133833333333333,0.5426666666666666
CZE,CZECH REPUBLIC,1993,MtCO2,132.61966666666666,97.141,19.217,13.574,2.6876666666666664,0.0,0.0128333333333333,0.4436666666666666
CZE,CZECH REPUBLIC,1994,MtCO2,125.72266666666664,90.596,19.22433333333333,13.258666666666668,2.6436666666666664,0.0,0.0121733333333333,0.5426666666666666
CZE,CZECH REPUBLIC,1995,MtCO2,123.81966666666666,88.60133333333333,17.809,15.004,2.405333333333333,0.0,0.01199,0.5756666666666667
CZE,CZECH REPUBLIC,1996,MtCO2,125.367,87.15666666666665,18.44333333333333,17.266333333333332,2.5006666666666666,0.0,0.0121733333333333,0.418
CZE,CZECH REPUBLIC,1997,MtCO2,127.402,89.155,18.252666666666663,17.563333333333333,2.431,0.0,0.0123566666666666,0.385
CZE,CZECH REPUBLIC,1998,MtCO2,122.53266666666666,82.94733333333333,19.69,17.6,2.295333333333333,0.0,0.0119166666666666,0.3593333333333333
CZE,CZECH REPUBLIC,1999,MtCO2,111.96533333333332,73.07666666666665,19.077666666666666,17.69533333333333,2.1156666666666664,0.0,0.0109266666666666,0.418
CZE,CZECH REPUBLIC,2000,MtCO2,123.838,86.46366666666665,18.153666666666663,17.174666666666663,2.042333333333333,0.0,0.0121,0.4913333333333333
CZE,CZECH REPUBLIC,2001,MtCO2,123.70966666666666,84.216,19.327,18.395666666666664,1.771,0.0,0.0121,0.495
CZE,CZECH REPUBLIC,2002,MtCO2,119.73866666666666,80.46866666666666,19.891666666666666,17.776,1.606,0.0,0.0117333333333333,0.5096666666666666
CZE,CZECH REPUBLIC,2003,MtCO2,122.04866666666666,81.95733333333332,20.386666666666663,17.959333333333333,1.7453333333333332,0.0,0.0119533333333333,0.616
