code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DEU,Germany,CAIT,Total excluding LUCF,All GHG,1160.205489,1130.619308,1082.931587,1075.233542,1062.345895,1055.725196,1083.879692,1045.892742,1019.614624,985.1764468,975.8257571,991.3164922,972.931854,971.8979276,952.1127125,927.7142465,934.2014556,905.12624,907.7999396,850.6394863,881.3030369,852.5508302,866.6713291,883.9157917,843.6592619,847.4586753,850.1678289,832.6547058,806.0919445
DEU,Germany,CAIT,Total including LUCF,All GHG,1109.280286,1079.694106,1032.006384,1024.308339,1011.407944,1004.786038,1032.915302,994.9201487,968.5976859,934.1556937,924.7183257,973.2056318,954.7590279,953.6599771,933.7851646,909.3901127,915.8750057,886.8022948,889.4678822,832.3055397,862.9668955,823.3445941,837.4614806,854.7028642,814.4283615,818.2211785,820.7014096,803.1834976,776.6129502
DEU,Germany,CAIT,Energy ,All GHG,989.0640863,964.696003,920.8913679,915.8538369,900.3072396,896.7279097,925.961261,892.9474288,881.8855174,853.2519217,848.4644524,864.6057801,848.5869812,849.3661939,829.5471608,809.4849778,819.757539,787.1806404,793.8849828,738.5749286,777.8653917,750.4137225,765.4045104,783.3883924,741.9369155,747.6773736,752.2399538,736.5151436,713.8203334
DEU,Germany,CAIT,Industrial Processes ,All GHG,46.44959122,44.90454552,47.86430619,47.73546577,50.88659686,49.0227089,49.91703291,47.79271257,35.750182,31.44832495,30.67052614,32.17321548,32.51127273,33.50833966,35.9495096,33.51696958,33.68398929,37.37923335,34.80139527,34.20731325,26.26592389,27.182355,26.85259028,26.06814361,26.52227396,26.38276997,26.15180293,26.12316336,25.34452378
DEU,Germany,CAIT,Agriculture ,All GHG,86.3793873,81.35822,73.962742,71.6405166,72.0242854,71.9073199,71.4536654,71.5993324,70.5698392,70.77188,68.6378524,68.1581593,66.9645623,65.676132,64.721563,64.2730593,61.9922406,63.1709413,62.9409997,62.9241806,63.359902,62.0165706,62.3014988,63.1227032,64.5173181,63.3275596,62.2917491,60.9604456,58.2995039
DEU,Germany,CAIT,Waste ,All GHG,38.31242391,39.66053964,40.2131708,40.00372276,39.1277728,38.06725787,36.54773268,33.55326789,31.40908528,29.70432008,28.05292609,26.3793373,24.86903785,23.34726205,21.89447911,20.43923983,18.76768673,17.39542499,16.17256187,14.93306377,13.81181933,12.93818216,12.11272959,11.33655248,10.68275436,10.07097217,9.484323065,9.055953241,8.627583418
DEU,Germany,CAIT,Land-Use Change and Forestry ,All GHG,-50.92520263,-50.92520263,-50.92520263,-50.92520263,-50.93795033,-50.93915833,-50.9643902,-50.972593,-51.016938,-51.0207531,-51.1074314,-18.1108604,-18.1728261,-18.23795051,-18.3275479,-18.3241338,-18.3264499,-18.32394524,-18.3320574,-18.33394653,-18.3361414,-29.20623613,-29.2098485,-29.2129275,-29.23090038,-29.2374968,-29.4664193,-29.47120818,-29.4789943
DEU,Germany,CAIT,Bunker Fuels ,All GHG,21.262,19.326,19.13,21.313,22.159,22.216,22.503,23.572,23.848,25.043,26.312,25.579,26.06,27.248,29.176,30.319,31.786,34.272,34.338,32.897,32.738,31.696,32.663,32.374,31.388,31.702,34.815,35.886,34.903
DEU,Germany,CAIT,Electricity/Heat ,All GHG,411.76,409.304,392.664,384.358,384.915,379.361,389.989,374.14,374.123,359.05,364.011,377.207,378.725,384.215,379.48,375.797,379.506,392.571,371.056,343.099,361.675,354.258,365.159,369.737,350.254,346.255,345.943,327.74,310.354
DEU,Germany,CAIT,Manufacturing/Construction ,All GHG,156.15,133.606,124.775,117.548,117.943,116.638,110.518,108.203,105.999,101.685,102.74,96.44,95.843,98.571,97.065,94.771,96.66,96.049,99.868,86.869,98.351,97.182,94.25,93.805,91.246,95.119,93.219,95.139,99.325
DEU,Germany,CAIT,Transportation ,All GHG,158.604,161.477,164.061,168.672,166.037,167.928,169.055,169.802,172.807,177.663,173.47,169.537,167.123,164.036,163.989,155.629,153.483,148.381,148.894,147.059,148.123,149.943,148.513,152.367,154.573,157.59,161.024,163.492,158.303
DEU,Germany,CAIT,Building,All GHG,197.263,195.204,179.909,188.152,176.048,177.608,199.228,184.405,176.303,164.5,161.024,177.109,164.998,172.833,163.123,159.66,168.216,129.436,153.552,142.638,149.393,128.464,135.999,146.579,125.793,129.616,133.198,131.569,120.817
DEU,Germany,CAIT,Other Fuel Combustion ,All GHG,29.29475357,28.93016512,25.78953178,22.24720094,22.75030803,23.5962539,26.74216375,26.70434977,25.60336934,19.75683312,18.54000606,18.6894082,18.29279096,8.354740968,8.248897733,8.211065896,8.294302758,8.359110474,8.552101444,8.456791356,10.28725507,10.59731214,10.77619273,10.89324454,10.85309744,11.01820808,11.34494316,11.06724669,17.51555022
DEU,Germany,CAIT,Fugitive Emissions ,All GHG,35.99233268,36.17383789,33.69183613,34.87563595,32.61493162,31.59665581,30.43009724,29.69207907,27.05114805,30.59708863,28.67844637,25.62437192,23.60419021,21.35645296,17.6402631,15.41691192,13.59923623,12.3855299,11.96388131,10.45313729,10.03513665,9.96941032,10.70731767,10.00614784,9.216818061,8.07816549,7.510010668,7.50789691,7.505783152
DEU,Germany,CAIT,Total excluding LUCF,CO2,955.308,932.36872,892.7531867,887.00848,875.8136667,873.0870133,902.7473067,870.9011867,863.14048,833.35492,830.0785067,847.4955067,833.1838,836.5503867,820.82856,802.1692667,814.15556,783.60256,789.5518533,734.6577333,772.9192,746.3826133,760.0184933,777.62908,737.48908,742.314,747.147,732.204,709.541
DEU,Germany,CAIT,Total including LUCF,CO2,904.3806456,881.4413656,841.8258323,836.0811256,824.8735646,822.1457032,851.7829165,819.9285937,812.123542,782.3341669,778.9710753,829.3846463,815.0109739,818.3050196,802.5010121,783.8451329,795.8291101,765.2755017,771.2197959,716.321635,754.5830586,717.1742254,730.8086448,748.4161525,708.2529148,713.0765032,717.6805807,702.727527,680.0620057
DEU,Germany,CAIT,Energy ,CO2,940.008,918.62772,878.3121867,872.47748,860.4746667,857.5270133,887.9383067,855.6301867,847.60148,817.58492,814.8275067,833.9965067,820.3628,823.0403867,806.75756,789.1192667,800.81656,769.15356,775.9728533,722.0977333,760.4882,732.9926133,746.7284933,765.12808,724.58808,729.683,734.486,718.794,696.131
DEU,Germany,CAIT,Industrial Processes ,CO2,15.3,13.74,14.44,14.53,15.34,15.56,14.81,15.27,15.54,15.77,15.25,13.5,12.82,13.51,14.07,13.05,13.34,14.45,13.58,12.56,12.43,13.39,13.29,12.5,12.9,12.63,12.66,13.41,13.41
DEU,Germany,CAIT,Land-Use Change and Forestry ,CO2,-50.9273544,-50.9273544,-50.9273544,-50.9273544,-50.9401021,-50.9413101,-50.9643902,-50.972593,-51.016938,-51.0207531,-51.1074314,-18.1108604,-18.1728261,-18.2453671,-18.3275479,-18.3241338,-18.3264499,-18.3270583,-18.3320574,-18.3360983,-18.3361414,-29.2083879,-29.2098485,-29.2129275,-29.2361652,-29.2374968,-29.4664193,-29.476473,-29.4789943
DEU,Germany,CAIT,Bunker Fuels ,CO2,21.262,19.326,19.13,21.313,22.159,22.216,22.503,23.572,23.848,25.043,26.312,25.579,26.06,27.248,29.176,30.319,31.786,34.272,34.338,32.897,32.738,31.696,32.663,32.374,31.388,31.702,34.815,35.886,34.903
DEU,Germany,CAIT,Electricity/Heat ,CO2,411.76,409.304,392.664,384.358,384.915,379.361,389.989,374.14,374.123,359.05,364.011,377.207,378.725,384.215,379.48,375.797,379.506,392.571,371.056,343.099,361.675,354.258,365.159,369.737,350.254,346.255,345.943,327.74,310.354
DEU,Germany,CAIT,Manufacturing/Construction ,CO2,156.15,133.606,124.775,117.548,117.943,116.638,110.518,108.203,105.999,101.685,102.74,96.44,95.843,98.571,97.065,94.771,96.66,96.049,99.868,86.869,98.351,97.182,94.25,93.805,91.246,95.119,93.219,95.139,99.325
DEU,Germany,CAIT,Transportation ,CO2,158.604,161.477,164.061,168.672,166.037,167.928,169.055,169.802,172.807,177.663,173.47,169.537,167.123,164.036,163.989,155.629,153.483,148.381,148.894,147.059,148.123,149.943,148.513,152.367,154.573,157.59,161.024,163.492,158.303
DEU,Germany,CAIT,Building,CO2,197.263,195.204,179.909,188.152,176.048,177.608,199.228,184.405,176.303,164.5,161.024,177.109,164.998,172.833,163.123,159.66,168.216,129.436,153.552,142.638,149.393,128.464,135.999,146.579,125.793,129.616,133.198,131.569,120.817
DEU,Germany,CAIT,Other Fuel Combustion ,CO2,16.231,18.052,16.192,13.091,14.164,15.062,18.273,18.369,17.713,12.061,11.066,11.187,11.212,1.033,0.967,1.074,0.818,0.583,0.524,0.518,1.305,1.395,1.221,1.163,1.245,1.103,1.102,0.854,7.332
DEU,Germany,CAIT,Fugitive Emissions ,CO2,,0.98472,0.711186667,0.65648,1.367666667,0.930013333,0.875306667,0.711186667,0.65648,2.62592,2.516506667,2.516506667,2.4618,2.352386667,2.13356,2.188266667,2.13356,2.13356,2.078853333,1.914733333,1.6412,1.750613333,1.586493333,1.47708,1.47708,,,,
DEU,Germany,CAIT,Total excluding LUCF,CH4,131.614572,126.9974634,119.2447369,118.5835256,113.7073076,111.8992354,108.8637631,105.2656667,99.14135463,98.49727098,94.10989211,89.10309315,84.87533119,80.5066894,74.53092336,70.64858965,66.72127943,64.31553832,63.51271594,60.90666934,59.92359529,58.69351031,59.22284358,58.3055173,57.15676941,56.80441427,55.52059314,54.77991663,53.36919512
DEU,Germany,CAIT,Total including LUCF,CH4,131.6157625,126.9986539,119.2459273,118.5847161,113.7084981,111.9004258,108.8637631,105.2656667,99.14135463,98.49727098,94.10989211,89.10309315,84.87533119,80.51026083,74.53092336,70.64858965,66.72127943,64.31672879,63.51271594,60.90785982,59.92359529,58.69470079,59.22284358,58.3055173,57.15915036,56.80441427,55.52059314,54.78229758,53.36919512
