code,name,unit,sector,source,subsource,gas,year,value
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1990,0.0
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1991,0.0
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1992,0.0
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1993,0.0
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1994,0.0
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1995,0.07152
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1996,0.14304
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1997,0.21456
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1998,0.28608
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,1999,0.3576
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2000,0.42912
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2001,0.429968990739653
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2002,0.430817981479305
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2003,0.431666972218958
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2004,0.43251596295861
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2005,0.433364953698263
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2006,0.432830973509524
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2007,0.432296993320785
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2008,0.431763013132047
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2009,0.431229032943308
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2010,0.43069505275457
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2011,0.433047410119636
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2012,0.435399767484703
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2013,0.437752124849769
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2014,0.440104482214836
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2015,0.442456839579902
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2016,0.452726719654198
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2017,0.462996599728495
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2018,0.473266479802792
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2019,0.483536359877088
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2020,0.493806239951385
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2021,0.505516277299319
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2022,0.517226314647253
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2023,0.528936351995188
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2024,0.540646389343122
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2025,0.552356426691057
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2026,0.565246049194349
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2027,0.578135671697642
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2028,0.591025294200934
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2029,0.603914916704226
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2030,0.616804539207519
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2031,0.630751302261277
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2032,0.644698065315036
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2033,0.658644828368795
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2034,0.672591591422554
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2035,0.686538354476313
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2036,0.701622362704534
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2037,0.716706370932756
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2038,0.731790379160977
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2039,0.746874387389198
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2040,0.76195839561742
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2041,0.778403270279804
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2042,0.794848144942189
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2043,0.811293019604573
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2044,0.827737894266958
DJI,Djibouti,MtCO2eq,Agriculture,AgSoils,,N2O,2045,0.844182768929343
