code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DMA,Dominica,CAIT,Total excluding LUCF,All GHG,0.188484342,0.189589039,0.208387536,0.201839433,0.205912031,0.210045556,0.181227165,0.196525173,0.192405982,0.190319091,0.201199899,0.221317708,0.186693216,0.201377225,0.217140833,0.226098741,0.235805065,0.248069488,0.249740311,0.568467334,0.248018257,0.236035108,0.321359859,0.240248709,0.24691666,0.249671311,0.250488182,0.234000053,0.243089524
DMA,Dominica,CAIT,Total including LUCF,All GHG,0.243576542,0.244681239,0.263479736,0.256931633,0.261004231,0.265137756,0.236319365,0.251617373,0.247498182,0.245411291,0.256292099,0.210799308,0.176174816,0.190858825,0.206622433,0.215580341,0.225286665,0.237551088,0.239221911,0.557948934,0.237499857,0.229595308,0.314920059,0.233808909,0.24047686,0.243231511,0.236561982,0.220073853,0.229163324
DMA,Dominica,CAIT,Energy ,All GHG,0.061926553,0.06194026,0.082953968,0.075967676,0.077981383,0.096142897,0.077313407,0.101483917,0.106654427,0.113824938,0.133995448,0.153999772,0.125004096,0.13900842,0.157012744,0.162017068,0.173016306,0.182015544,0.186014782,0.505014021,0.184013259,0.171004931,0.255996603,0.173988275,0.181979947,0.182971619,0.184968614,0.167965609,0.176962604
DMA,Dominica,CAIT,Industrial Processes ,All GHG,0.000183281,0.000187768,0.000192256,0.000196744,0.000201232,0.000205719,0.000279646,0.000353572,0.000427499,0.000501425,0.000575352,0.000688836,0.000802321,0.000915805,0.001029289,0.001142774,0.001307172,0.001471571,0.001635969,0.001800368,0.001964767,0.002008998,0.002053229,0.002097461,0.002141692,0.002185923,0.002414024,0.002642125,0.002870226
DMA,Dominica,CAIT,Agriculture ,All GHG,0.0483232,0.0491429,0.0466564,0.0468233,0.0456309,0.0409388,0.0402396,0.0406568,0.0406568,0.0406891,0.0406891,0.0406891,0.0354468,0.036013,0.0366388,0.0369989,0.0354716,0.0385024,0.0359396,0.035433,0.0357503,0.036659,0.0368756,0.0376563,0.0362161,0.0378626,0.0363745,0.0365814,0.0363659
DMA,Dominica,CAIT,Waste ,All GHG,0.078051309,0.07831811,0.078584912,0.078851714,0.082098516,0.07275814,0.063394512,0.054030884,0.044667256,0.035303628,0.02594,0.02594,0.02544,0.02544,0.02246,0.02594,0.026009986,0.026079973,0.026149959,0.026219946,0.026289932,0.026362179,0.026434426,0.026506674,0.026578921,0.026651168,0.026731044,0.026810919,0.026890794
DMA,Dominica,CAIT,Land-Use Change and Forestry ,All GHG,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0064398,-0.0064398,-0.0064398,-0.0064398,-0.0064398,-0.0139262,-0.0139262,-0.0139262
DMA,Dominica,CAIT,Bunker Fuels ,All GHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.015,0.006,0.006,0.008,0.005,0.005,0.005,0.005,0.005,0.005
DMA,Dominica,CAIT,Electricity/Heat ,All GHG,0.013,0.013,0.017,0.015,0.016,0.022,0.021,0.027,0.029,0.035,0.034,0.043,0.037,0.039,0.065,0.077,0.083,0.093,0.097,0.272,0.103,0.089,0.143,0.093,0.099,0.101,0.101,0.087,0.091
DMA,Dominica,CAIT,Manufacturing/Construction ,All GHG,0.003,0.003,0.004,0.003,0.003,0.01,0.007,0.01,0.007,0.003,0.003,0.003,0.003,0.003,0.01,0.009,0.01,0.01,0.01,0.028,0.012,0.01,0.014,0.01,0.01,0.01,0.011,0.01,0.011
DMA,Dominica,CAIT,Transportation ,All GHG,0.039,0.039,0.052,0.049,0.052,0.053,0.04,0.055,0.06,0.061,0.084,0.094,0.071,0.083,0.065,0.06,0.063,0.063,0.064,0.167,0.056,0.058,0.077,0.054,0.056,0.055,0.057,0.055,0.058
DMA,Dominica,CAIT,Building,All GHG,0.007,0.007,0.009,0.008,0.006,0.009,0.009,0.009,0.009,0.011,0.011,0.011,0.012,0.011,0.012,0.012,0.012,0.011,0.01,0.027,0.007,0.008,0.016,0.01,0.011,0.011,0.011,0.01,0.012
DMA,Dominica,CAIT,Other Fuel Combustion ,All GHG,0.000926553,0.00094026,0.000953968,0.000967676,0.000981383,0.001142897,0.001313407,0.001483917,0.001654427,0.001824938,0.001995448,0.001999772,0.002004096,0.00200842,0.004012744,0.004017068,0.005016306,0.005015544,0.005014782,0.012014021,0.004013259,0.006004931,0.006996603,0.005988275,0.005979947,0.005971619,0.005968614,0.005965609,0.005962604
DMA,Dominica,CAIT,Fugitive Emissions ,All GHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
DMA,Dominica,CAIT,Total excluding LUCF,CO2,0.061,0.061,0.082,0.075,0.077,0.095,0.076,0.1,0.105,0.112,0.132,0.152,0.123,0.137,0.155,0.16,0.171,0.18,0.184,0.503,0.182,0.169,0.254,0.172,0.18,0.181,0.183,0.166,0.175
DMA,Dominica,CAIT,Total including LUCF,CO2,0.1160922,0.1160922,0.1370922,0.1300922,0.1320922,0.1500922,0.1310922,0.1550922,0.1600922,0.1670922,0.1870922,0.1414816,0.1124816,0.1264816,0.1444816,0.1494816,0.1604816,0.1694816,0.1734816,0.4924816,0.1714816,0.1625602,0.2475602,0.1655602,0.1735602,0.1745602,0.1690738,0.1520738,0.1610738
DMA,Dominica,CAIT,Energy ,CO2,0.062,0.062,0.082,0.075,0.077,0.094,0.077,0.101,0.105,0.11,0.132,0.151,0.123,0.136,0.154,0.16,0.171,0.18,0.184,0.504,0.18,0.169,0.255,0.171,0.18,0.181,0.184,0.166,0.176
DMA,Dominica,CAIT,Industrial Processes ,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,Dominica,CAIT,Land-Use Change and Forestry ,CO2,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,0.0550922,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0105184,-0.0064398,-0.0064398,-0.0064398,-0.0064398,-0.0064398,-0.0139262,-0.0139262,-0.0139262
DMA,Dominica,CAIT,Bunker Fuels ,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.015,0.006,0.006,0.008,0.005,0.005,0.005,0.005,0.005,0.005
DMA,Dominica,CAIT,Electricity/Heat ,CO2,0.013,0.013,0.017,0.015,0.016,0.022,0.021,0.027,0.029,0.035,0.034,0.043,0.037,0.039,0.065,0.077,0.083,0.093,0.097,0.272,0.103,0.089,0.143,0.093,0.099,0.101,0.101,0.087,0.091
DMA,Dominica,CAIT,Manufacturing/Construction ,CO2,0.003,0.003,0.004,0.003,0.003,0.01,0.007,0.01,0.007,0.003,0.003,0.003,0.003,0.003,0.01,0.009,0.01,0.01,0.01,0.028,0.012,0.01,0.014,0.01,0.01,0.01,0.011,0.01,0.011
DMA,Dominica,CAIT,Transportation ,CO2,0.039,0.039,0.052,0.049,0.052,0.053,0.04,0.055,0.06,0.061,0.084,0.094,0.071,0.083,0.065,0.06,0.063,0.063,0.064,0.167,0.056,0.058,0.077,0.054,0.056,0.055,0.057,0.055,0.058
DMA,Dominica,CAIT,Building,CO2,0.007,0.007,0.009,0.008,0.006,0.009,0.009,0.009,0.009,0.011,0.011,0.011,0.012,0.011,0.012,0.012,0.012,0.011,0.01,0.027,0.007,0.008,0.016,0.01,0.011,0.011,0.011,0.01,0.012
DMA,Dominica,CAIT,Other Fuel Combustion ,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.003,0.003,0.003,0.01,0.002,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004
DMA,Dominica,CAIT,Fugitive Emissions ,CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
DMA,Dominica,CAIT,Total excluding LUCF,CH4,0.098540454,0.098409793,0.098519133,0.098808473,0.098960312,0.08955028,0.080456011,0.071196742,0.061937473,0.052680704,0.043421435,0.0434264,0.042933865,0.04293883,0.042943795,0.04345126,0.043473216,0.043672672,0.043702128,0.043731584,0.04404854,0.04444835,0.044960661,0.044785472,0.044862782,0.044927593,0.044901054,0.045079514,0.045222975
DMA,Dominica,CAIT,Total including LUCF,CH4,0.098540454,0.098409793,0.098519133,0.098808473,0.098960312,0.08955028,0.080456011,0.071196742,0.061937473,0.052680704,0.043421435,0.0434264,0.042933865,0.04293883,0.042943795,0.04345126,0.043473216,0.043672672,0.043702128,0.043731584,0.04404854,0.04444835,0.044960661,0.044785472,0.044862782,0.044927593,0.044901054,0.045079514,0.045222975
