IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.1.a,Main Activity Electricity and Heat Production,bio,CH4,MtCO2,5.8619853e-08,5.8029210000000004e-08,5.6326194e-08,5.6219616e-08,5.8647474e-08,2.1530151e-07,2.09796561e-07,2.63078307e-07,2.59420617e-07,3.252303e-07,5.3963901000000004e-08,5.281302599999999e-08,4.9971132e-08,4.8648114e-08,4.6773513e-08,4.6733616e-08,4.5725868e-08,,,,1.43070084e-06,1.47190635e-06,1.37169234e-06,1.38987198e-06,1.28620116e-06,1.32538113e-06,1.45168443e-06,1.5018542099999997e-06,1.95479676e-06,3.972011399999999e-06,2.33293662e-06,2.30824512e-06,2.39296626e-06,2.15487324e-06,2.47519314e-06,1.8609858e-06,1.79621037e-06,1.80389403e-06,1.66681017e-06,1.62316899e-06,1.7758712699999998e-06,1.22730147e-06,1.23810714e-06,1.33521588e-06,1.75671234e-06,2.35123344e-06,2.1886127100000003e-06,1.82562255e-06,1.82562255e-06
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,8.78252661e-06,8.78252661e-06,8.63088174e-06,9.59105466e-06,8.44361973e-06,1.1078988165e-05,1.156884381e-05,1.2002301e-05,1.446046398e-05,1.2550485779999998e-05,1.241407431e-05,1.778656527e-05,1.769839011e-05,1.760881158e-05,1.978917426e-05,2.026508409e-05,1.615574052e-05,2.327562243e-05,2.447360379e-05,2.0348133462e-05,2.0650846788e-05,2.3866315092e-05,2.5684330428e-05,2.0419299666e-05,2.6794872351e-05,3.7844906454e-05,3.8241569682e-05,3.4517172456e-05,3.5252557307999995e-05,3.0307567446e-05,3.684583089e-05,4.162962348e-05,3.780546534e-05,4.8294132749999993e-05,5.843263283999999e-05,5.779754793e-05,5.568752952e-05,6.942221126999999e-05,6.419307888e-05,6.924573261e-05,8.409928527e-05,8.643689514e-05,8.319597813e-05,8.113484331e-05,8.490477222e-05,9.08681517e-05,8.779915169999999e-05,6.729984711e-05,6.535600947000001e-05
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,1.3421295e-07,1.3421295e-07,1.458091107e-07,1.2492283589999998e-07,1.3651899660000004e-07,1.5292436399999997e-07,1.69923555e-07,1.7723737259999998e-07,1.859343606e-07,1.83957813e-07,2.2349029950000005e-07,3.869152191e-07,3.144826062e-07,4.3110901440000006e-07,4.6409501700000006e-07,5.214298797000001e-07,6.579188837999999e-07,2.8174069511999995e-06,2.7320421582e-06,2.4740763587999995e-06,2.058835302e-06,2.093402565e-06,1.9966449465e-06,5.206747438799999e-06,6.7265571681e-06,3.4513920153e-06,3.3073632315e-06,2.758717404e-06,6.01132563e-06,5.962695651e-06,6.529854718799999e-06,6.4383186969e-06,5.890597280099999e-06,6.3352547019000005e-06,8.622161455500001e-06,6.1035441417e-06,5.6556419499e-06,6.7586418891e-06,5.632017066899999e-06,5.8779274437e-06,4.971903039e-06,6.8219902620000005e-06,1.0937650392e-05,1.2478009391999998e-05,1.1921893758e-05,1.1508477975e-05,1.0267308531e-05,1.3206186558e-05,1.2824688653999998e-05
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,3.0366639e-05,3.0060576e-05,2.36801529e-05,2.31898383e-05,2.61312237e-05,2.28717783e-05,2.29377339e-05,2.09076741e-05,2.33101989e-05,2.42924184e-05,2.22925743e-05,2.13039936e-05,2.03356683e-05,1.79810199e-05,1.6642907999999998e-05,1.66659255e-05,1.7528286599999998e-05,1.44122193e-05,1.28759895e-05,1.23916176e-05,8.823570299999999e-06,9.7554024e-06,1.11728619e-05,1.12125357e-05,1.10782809e-05,1.10556819e-05,1.17416871e-05,1.18630521e-05,1.05015879e-05,9.8681463e-06,9.7805961e-06,9.6770592e-06,1.05723981e-05,9.7519707e-06,1.03320117e-05,8.732839499999999e-06,8.515721699999999e-06,7.9990416e-06,7.447737600000001e-06,7.2141867e-06,6.697283399999999e-06,7.353686700000001e-06,6.1503039e-06,5.1519582e-06,4.707539099999999e-06,4.5177075e-06,4.3054164e-06,4.256563499999999e-06,4.256563499999999e-06
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,9.000212174999999e-08,9.000212174999999e-08,1.1760893459999998e-08,5.89691889e-08,5.60043396e-08,6.34166442e-08,5.8870395e-08,7.36292718e-08,6.77322999e-08,5.14910403e-08,5.1491124e-08,9.92893203e-08,1.1230056899999999e-07,1.0338531930000001e-07,1.165196628e-07,1.82062287e-07,1.370213361e-07,2.2655402640000003e-07,2.058047685e-07,2.370242826e-07,2.414921886e-07,2.568273399e-07,2.613316275e-07,2.3550629940000002e-07,3.135157875e-07,3.8899575e-07,3.90536667e-07,3.69125649e-07,2.726743725e-07,2.813666175e-07,1.3033535219999998e-07,1.4232448439999996e-07,1.121676255e-07,1.5332735159999998e-07,2.329362351e-07,2.359627992e-07,2.387432016e-07,2.907850437e-07,2.840237298e-07,2.780592678e-07,2.162228238e-07,3.220970742e-07,3.053490111e-07,2.910333258e-07,3.116253114e-07,3.30868332e-07,3.27556323e-07,4.2115284360000005e-07,4.089872159999999e-07
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,3.76156253421e-06,3.76156253421e-06,3.72931308882e-06,4.39463593512e-06,4.46587205094e-06,7.412371565579999e-06,8.01976289094e-06,8.749024105859999e-06,8.6775375708e-06,7.18571196558e-06,1.34320468788e-05,2.05093247076e-05,2.32425811296e-05,2.73273507423e-05,3.34326491523e-05,3.15402144165e-05,2.33557566984e-05,3.96410724351e-05,4.2171897087e-05,4.17144830319e-05,4.155689350889999e-05,4.33402887951e-05,4.666834899989999e-05,4.32881505585e-05,5.90821326477e-05,7.5654269424e-05,7.77151622115e-05,8.441107669799999e-05,0.000112620298536,0.000127068505767,0.000156623976261,0.00017503527861,0.000139011672717,0.000170956235277,0.000195024853269,0.0002031919856729,0.000200545735401,0.000240365648538,0.0002155503166199,0.0002448981885149,0.0002527927518689,0.000286544255139,0.000270964574847,0.000276464348118,0.000298372233033,0.000299589087069,0.0002838544691489,0.000365016176253,0.000354471799797
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,,,,,,,,,,,1.4482053e-07,2.12398515e-07,2.25524628e-07,2.9745585e-07,3.1096782e-07,3.0487725e-07,,,3.9058884e-08,3.507588e-08,3.3183702e-08,,,,,4.9403925e-08,4.9599783e-08,4.6449315e-08,4.4257212e-08,4.90447962e-07,5.8593348e-07,6.39832653e-07,6.257141369999999e-07,6.892974e-07,8.038068119999999e-07,5.04862218e-07,6.28429086e-07,7.336140390000001e-07,6.6129417e-07,7.01511183e-07,8.783544959999999e-07,7.216097849999999e-07,6.654434579999999e-07,6.520151879999999e-07,9.317729519999998e-07,8.65284183e-07,9.52709391e-07,1.227006567e-06,1.191562407e-06
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.3.e,Other Transportation,fossil,CH4,MtCO2,,,,,,,,,,7.708825799999999e-09,7.708825799999999e-09,1.13059449e-08,1.20047562e-08,1.3887587699999998e-08,1.4518434600000001e-08,1.4234105699999998e-08,1.15667541e-08,1.5406491599999997e-08,1.5182343e-08,1.36341441e-08,9.88903782e-08,1.020255291e-07,1.2240430289999998e-07,1.3524039819e-06,1.781679492e-06,2.12667192e-06,2.179103274e-06,1.860134013e-06,1.983193101e-06,2.037479805e-06,3.63133287e-07,4.22044974e-07,3.78338508e-07,5.083843139999999e-07,7.188384779999999e-07,7.39983609e-07,8.128675043999999e-07,9.13897422e-07,7.91499006e-07,8.061384149999999e-07,2.303868447e-06,3.067343298e-06,3.21145182e-06,2.958542226e-06,3.270319704e-06,3.740509755e-06,3.447368919e-06,4.431789449999999e-06,4.30378425e-06
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.4,Other Sectors,fossil,CH4,MtCO2,5.515484597999999e-07,5.515484597999999e-07,6.250108337999999e-07,5.670318438e-07,6.404944968000001e-07,2.2300314318e-06,2.5198275321e-06,2.5605752031e-06,2.5553735271e-06,2.7094493241e-06,3.3051802517999995e-06,4.8710887326e-06,5.1608581326e-06,6.0735676563e-06,9.1073601162e-06,8.947488038399999e-06,6.1632561681e-06,8.514672771599998e-06,1.0020822354e-05,9.233265897e-06,9.090808218e-06,9.1971450225e-06,9.71285769e-06,8.685019179e-06,1.2224122182e-05,1.3734146628e-05,1.4577480485999998e-05,1.4051147264999996e-05,2.2672045269e-05,2.6839467432e-05,2.9466539244e-05,3.1400702001e-05,2.7441344925e-05,3.3177185201699995e-05,3.614012031059999e-05,3.4521595387199995e-05,2.93628303963e-05,3.51661159377e-05,3.18231245457e-05,3.36302429229e-05,1.73374028631e-05,3.2665969791e-05,4.53003198462e-05,6.465719842109999e-05,5.16162778479e-05,5.1538232313e-05,5.2951821525e-05,6.819584975099999e-05,6.6225962997e-05
Non-Annex_I,Rest Central America,DMA,Dominica,1.A.4,Other Sectors,bio,CH4,MtCO2,2.0712384422999995e-05,2.0503628253e-05,1.9901979261e-05,1.9720075725e-05,2.0722080231e-05,2.0036262519e-05,1.9795060044e-05,1.9490453145e-05,1.9345024395e-05,2.0193123015e-05,2.1627004455e-05,2.130122313e-05,2.0398513608e-05,2.010786201e-05,2.0148543e-05,2.059872066e-05,2.049463971e-05,1.684307655e-05,1.704938868e-05,1.837594998e-05,7.758201825e-05,3.429238104e-05,3.409592598e-05,3.909134565e-05,3.905480223e-05,3.881476736999999e-05,3.882242592e-05,3.952092195e-05,4.039065981e-05,4.0487779989e-05,2.62550997e-05,2.56094379e-05,2.50683174e-05,2.46507381e-05,2.40136137e-05,2.34565902e-05,2.26407663e-05,2.22387552e-05,2.22467067e-05,2.18369115e-05,2.02190742e-05,1.35787347e-05,1.25358327e-05,1.14633009e-05,1.26907614e-05,1.23292611e-05,1.10627127e-05,1.09047708e-05,1.09047708e-05
