IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,0.001423375695,0.001521112743,0.001383622659,0.001042312194,0.001183875399,0.001829258199,0.002252326824,0.00318217356,0.003846000213,0.004340151342,0.006412782078,0.0067096578869999,0.008246117025,0.009424376991,0.009817811631,0.0094123300499999,0.0110905504829999,0.0115211978639999,0.0130778083349999,0.0129165658649999,0.012443437944,0.012675230586,0.0128967423569999,0.013284376587,0.014186051856,0.014483605914,0.0145650222989999,0.015382437615,0.017986177215,0.0189333096749999,0.0193027168349999,0.0213652895373,0.0225947880485999,0.0255522855591,0.0269990284527,0.0280894217768999,0.0299285001342,0.0303684524163,0.0328205612637,0.0336472212168,0.0340852272507,0.0385059517839,0.0424708785647999,0.0413807176197,0.0449395939944,0.0507418082595,0.0497960925615,0.05202219837681,0.05555948309217
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,CH4,MtCO2,0.0019830204,0.0019830204,0.0025242245999999,0.0033007429799999,0.003612550032,0.0040260115709999,0.004554966555,0.00570246984,0.00840303639,0.01244042586,0.0110643867,0.01456448076,0.01836216738,0.0215810210699999,0.01751599944,0.0155195898299999,0.0188193312,0.0186172654499999,0.02085213636,0.02093157045,0.01706376555,0.0178547528699999,0.01718518077,0.0179001294299999,0.01641307059,0.0175567725,0.0170032086,0.01878929127,0.01727240175,0.01774777032,0.0173545728299999,0.01783645326,0.01908844902,0.01831840065,0.01580552856,0.0158050207799999,0.01593441261,0.01522291518,0.0140371372799999,0.0153411442199999,0.0140500270799999,0.0138605414399999,0.01616204592,0.01690351911,0.0194836329899999,0.01587071133,0.01434013686,0.0126479906999999,0.0119601093924
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,0.0009874926,0.0009874926,0.0015419213999999,0.0018033723,0.0017061687,0.001642752,0.0017951696999999,0.0019286154,0.0021477141,0.0032120154,0.0029408553,0.0034002009,0.0046222209,0.0038875022999999,0.0039470687999999,0.0043308054,0.0045013581,0.0047859102,0.0046905759,0.0040722560999999,0.0059415226199999,0.0064435663799999,0.0065263317299999,0.0060555052799999,0.00644287167,0.0066957014699999,0.005639991975,0.00426378123,0.0048230813699999,0.00498676788,0.00452243934,0.00441028413,0.0048118572,0.00566000604,0.0071701604999999,0.0068473017,0.0071591957999999,0.00806756121,0.00820473156,0.00793019277,0.0080609098499999,0.0081925643699999,0.00691728885,0.00682075485,0.0069432079499999,0.0074896908299999,0.00738731178,0.00805525731,0.0087842382471
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,0.0004737419999999,0.000522288,0.000881361,0.000881361,0.000881361,0.000881361,0.0011751479999999,0.001248804,0.001248804,0.001248804,0.001248804,0.001681533,0.001371006,0.001371006,0.001664793,0.0015032519999999,0.001664793,0.0010855889999999,0.001250478,0.001207791,0.0003749759999999,0.000363258,0.000511407,0.0001397789999999,0.0001397789999999,0.0001397789999999,0.0002452409999999,0.0002452409999999
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,5.16429e-05,5.16429e-05,,,,,,,,,,,,,,,,,,,,,,,,2.67560721e-05,3.54608721e-05,3.35915163e-05,,6.40861326e-05,,,5.28843942e-05,1.555425e-05,,,,,0.0001337664105,9.64364058e-05,2.11482e-05,1.8693e-06,9.33255279e-06,3.608865e-05,7.40324826e-05,7.15493826e-05,2.67560721e-05,6.20915058e-05,6.34980006e-05
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,0.014372762283,0.0143727662169,0.0155218868928,0.0173335736997,0.0193503238884,0.020909501271,0.023298379065,0.026470082034,0.030858144093,0.033394729509,0.038759198103,0.0424198593720899,0.0445108496751899,0.0491295534816599,0.05335253675928,0.0620075032245,0.0646777029123,0.0667148063462999,0.0674220741642,0.0734728522635,0.079623982422,0.0823701833558999,0.0821945716883999,0.0834895766097,0.077332880457,0.0727633689345,0.07134714860742,0.0702911333618999,0.0687251307743999,0.0663690214745999,0.0656447349078,0.06385535580537,0.0745131228945299,0.0766986993954,0.0773036963594999,0.076453982469,0.07431293467224,0.07169611358808,0.0707007488022,0.0709692822567,0.0709727482737,0.0772909924013999,0.0838436257961999,0.0878035638618,0.0906334874226,0.0934264127654999,0.0960174770885999,0.1032701642262,0.1056095770778999
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.3.c,Railways,fossil,CH4,MtCO2,0.00017043552,0.00017043552,0.000190466325,0.0002106129149999,0.0002306437199999,0.0002506745249999,0.00027070533,0.00028575738,0.00030080943,0.00031586148,0.00032593338,0.00034087104,0.00028077723,0.00028077723,0.0002907375299999,0.00030080943,0.00028077723,0.0002506745249999,0.0002506745249999,,,,,,,,,,,,,,,,,,,,4.6314e-06,0.0001953292949999,0.000208991925,,,,0.0004075631999999,0.0005418738,0.000669121515,0.0004909284,0.00050204934
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,0.0002087757,0.0002087757,0.0002253762,0.0002490075,0.0002577959999999,0.0002577959999999,0.0002665844999999,0.0002751776999999,0.0002927546999999,0.0002927546999999,0.0002318211,0.0002404142999999,0.0002492028,0.0002318211,0.0002318211,0.0002318211,0.0002667798,0.0002667798,0.0002667798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.3.e,Other Transportation,fossil,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,0.0003434211,0.0003798306,0.0004831722,0.0005244641999999,0.0005313834,0.0005402277,0.0005963066999999,0.0007084925999999,0.0006821270999999,0.0008277371999999,0.0007731648,0.0006182919,0.0006989508,0.0015149420999999,0.0008809703999999,0.0013832540999999,0.0015966333,0.0013532337,0.001014165,0.0009030672,0.0007218287999999,0.0007874217,0.0007111431,0.0006440715,0.000621333,0.0007303382999999,0.0008301923999999,0.0008799380999999,0.0009404085599999
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.4,Other Sectors,fossil,CH4,MtCO2,0.00441016974,0.00441016974,0.00504382059,0.0059162619599999,0.00629830503,0.0069011263799999,0.00871597953,0.00867120561,0.010112355,0.0116737338599999,0.0121315896,0.0130797180899999,0.01400154246,0.0157572950399999,0.0173926535399999,0.0114646679999999,0.0132509655,0.0142075169999999,0.0142850789999999,0.0157125825,0.0153141705,0.0176036445,0.0181616444999999,0.0192576959999999,0.0191841795,0.0190686734999999,0.0195830099999999,0.0187634475,0.020332962,0.0214298504999999,0.0219935699999999,0.022424067,0.023393313,0.02530809,0.0273097754999999,0.0298853639999999,0.0292404554999999,0.0327322799999999,0.032797845,0.032555710665,0.03197056536,0.035384857155,0.0407354075549999,0.044986112055,0.04695957531,0.0513890086049999,0.052128944505,0.054910501965,0.0582272765639999
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.4,Other Sectors,bio,CH4,MtCO2,0.00216783,0.00216783,0.00224316,0.0022933799999999,0.00230175,0.0023436,0.00241056,0.0025109999999999,0.0025947,0.00267003,0.0027537299999999,0.0028374299999999,0.00293787,0.00303831,0.00313875,0.0032057099999999,0.00331452,0.00340659,0.00349866,0.00359073,0.0036828,0.0023770799999999,0.00262818,0.0044361,0.0044361,0.0044361,0.0044361,0.00590922,0.0062775,0.0062775,0.0062775,0.0062775,0.0084537,0.0068968799999999,0.0068968799999999,0.0083699999999999,0.0075581099999999,0.0083699999999999,0.0054572399999999,0.0062942399999999,0.00607662,0.0018916199999999,0.0010880999999999,0.0019167299999999,0.0007030799999999,0.0007030799999999,0.0007030799999999,0.0010546199999999,0.0010546199999999
Non-Annex_I,Northern_Africa,DZA,Algeria,1.A.5,Non-Specified,fossil,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012519846,0.0112015709999999,0.0124538625,0.0106456635,0.0132543135,0.0063644085,0.0067536135,0.0073471859999999,0.0097274745,0.01011939417
Non-Annex_I,Northern_Africa,DZA,Algeria,1.B.1,Solid Fuels,fossil,CH4,MtCO2,0.00138105,0.00138105,0.00138105,0.0015580754999999,0.00077841,0.0009554354999999,0.0018769725,0.0024432029999999,0.0012391785,0.004159611,0.0035582265,0.008019018,0.041189049,0.039053304,0.039974841,0.039974841,0.041582439,0.0462978179999999,0.0433847789999999,0.039061395,0.026837568,0.0274389525,0.028005183,0.025421364,0.0218808539999999,0.0139498605,0.013418784,0.0139498605,0.020145753,0.0197201384999999,0.0161093205,0.017383653,0.02262411,0.02262411,0.023048469,0.020924163,0.022234905,0.021986316,0.021986316,0.0072931994999999,,,,,,,,,
Non-Annex_I,Northern_Africa,DZA,Algeria,1.B.2,Oil and Natural Gas,fossil,CH4,MtCO2,27.20746014291,27.226232314042495,35.955543295881,36.96213080472749,34.74310847787,34.405362917514005,38.082153042405,40.507606613988,44.680672537695,47.375408431863,41.951368842615,39.95083122533999,41.0872649454,43.687180104075,45.60904033236,47.4830746443,49.505552192988,51.253228411002,51.28397982169199,54.43346151958499,57.554287459767,56.812022434845,57.47083731793799,61.77709910746799,61.31287132636499,68.54781323952,70.60459255983,65.769720558318,63.930440808495,66.19073565627,71.21758984893,61.585127097588,57.784049126847,64.394342040465,61.29129964621499,62.665199211015,65.991028383108,61.08449414991299,64.100100617262,56.661042387807,59.600412715608,58.480170239097,59.267398498632,56.91949639452,58.974440593725,58.89576448395,63.12469657864499,63.036134932500005,64.0443799989
Non-Annex_I,Northern_Africa,DZA,Algeria,2.B,Chemical Industry,fossil,CH4,MtCO2,0.0022498280999999,0.0023305707,0.0027496566,0.0030321162,0.0029835981,0.0022792905,0.002843289,0.00319176,0.0034558893,0.0033962390999999,0.002992275,0.0029814219,0.0036525005999999,0.004172166,0.0040158702,0.0064669130999999,0.0048857364,0.00641979,0.0067216679999999,0.0062537849999999,0.006345297,0.0058385771999999,0.0065813868,0.0058469472,0.0058710249,0.0071605908,0.0053384418,0.005760792,0.00506664,0.0068643485999999,0.0065746908,0.0066571353,0.0064166093999999,0.0063479196,0.0076035869999999,0.00692478,0.007641531,0.00707265,0.00572508,0.0076099482,0.0071076924,0.0087166296,0.0083234628,0.0062554589999999,0.008122806,0.0077634539999999,0.0073805823,0.0077556140999999,0.0076332167999999
Non-Annex_I,Northern_Africa,DZA,Algeria,2.C,Metal Industry,fossil,CH4,MtCO2,5.526962100000001e-05,4.9997637e-05,5.1754779e-05,4.9997637e-05,0.0001765598489999,0.000224786394,0.00036775827,0.00050873697,0.00037672533,0.0008032689,0.0006602869799999,0.00099426951,0.00151924707,0.0016013763,0.00132808743,0.00262485153,0.00269506188,0.0028730862,0.00261571149,0.00191779857,0.00156037725,0.00152338743,0.0015370444799999,0.0016366363199999,0.0015762662999999,0.0016145450999999,0.0011815928999999,0.0006659841599999,0.00100575594,0.00130854069,0.00146830725,0.0016600499999999,0.0019255352399999,0.00185535,0.001980342,0.001958859,0.0022615739999999,0.0024959339999999,0.001261638,0.001060479,0.0013592879999999,0.00085932,0.0009765,0.00073106091,0.0007275538799999,0.00113954202,0.00113954202,0.00113954202,0.00113954202
Non-Annex_I,Northern_Africa,DZA,Algeria,3.A.1,Enteric Fermentation,fossil,CH4,MtCO2,2.823206022,2.892576024,2.933884764,2.8803915360000003,2.998317024,3.205923156,3.1399301699999995,3.445915608,3.633641316,4.00704264,4.193796312,4.27136724,4.479098364,4.67951076,4.496632955999999,4.49117739,4.404836376,4.572298871999999,4.551989345999999,4.684281101999999,4.744315764,4.53717891,4.735032318,4.849426781999999,4.66703388,4.674334752,4.722033150000001,4.762016082,4.979998782,5.371141716,5.3809364016,5.405741064,5.243326236,5.375901455999999,5.609853558,5.6652081624,5.847950484,5.925003587999999,5.893398747,6.178844316599999,6.583304924999999,6.934886775,7.247346686999999,7.545903192000001,8.067301182,8.3075366709,8.216388933300001,8.043370710300001,7.9430853879
Non-Annex_I,Northern_Africa,DZA,Algeria,3.A.2,Manure Management,fossil,CH4,MtCO2,0.11119115067138,0.1130429473273799,0.1148340053206799,0.1141621641722699,0.11825108644608,0.12442480570008,0.1216710137369699,0.13191450336837,0.1378369033897499,0.1512840226046399,0.16043968722402,0.1650241381976999,0.1746989010602999,0.18579661944669,0.18189380094228,0.18171373451526,0.1797617536492499,0.18566415466884,0.18468160073712,0.18878891636772,0.1918436960195099,0.186603103791,0.1915978218094799,0.19514906803638,0.19421916807276,0.2004848948307599,0.18791528415876,0.1942933206927599,0.21856715769276,0.21735493394076,0.21949881067476,0.21992699085876,0.22234370950476,0.22888625113476,0.23521784923476,0.23750552535876,0.24408789535476,0.2466849928017599,0.2455213546677599,0.2546511342753599,0.2655219213352799,0.2732865112168199,0.28295786271015,0.2933076390097499,0.30420648050175,0.30893914686906,0.3095372237598899,0.30525056382681,0.3059364738627
