code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,467.34937,13085.78236,12618.43299
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,12.1164552,3210.8606280000004,3307.7922696
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,83029.1,2324814.8000000003,2241785.7
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,21.2737,21.2737,21.2737
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,2912.4312266,771794.275049,795093.7248618001
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,3140.9966,87947.9048,84806.9082
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,1.91369,507.12785,522.43737
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Non-residential,CH4,28,27.0,123.843,3467.6040000000003,3343.761
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Non-residential,N2O,265,273.0,1.65124,437.5786,450.78852
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Residential,CO2,1,1.0,1478.8,1478.8,1478.8
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Residential,CH4,28,27.0,3250.015675,91000.4389,87750.423225
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Residential,N2O,265,273.0,43.3431405,11485.9322325,11832.677356499998
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Electricity & heat,CO2,1,1.0,139077.3,139077.3,139077.3
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Electricity & heat,CH4,28,27.0,2.659079,74.45421200000001,71.795133
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Electricity & heat,N2O,265,273.0,0.843124,223.42786,230.172852
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,0.299743,0.299743,0.299743
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,253.1219,7593.657,7543.032620000001
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Other (energy systems),CH4,28,27.0,7187.47,201249.16,194061.69
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Other (energy systems),N2O,265,273.0,58.2162,15427.293,15893.0226
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Petroleum refining,CO2,1,1.0,136148.0,136148.0,136148.0
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Petroleum refining,CH4,28,27.0,2.36368,66.18304,63.81936
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Petroleum refining,N2O,265,273.0,0.236368,62.63752,64.528464
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Industry,Cement,CO2,1,1.0,9237.8,9237.8,9237.8
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Industry,Chemicals,CO2,1,1.0,10856.247,10856.247,10856.247
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Industry,Chemicals,N2O,265,273.0,0.01993068,5.2816302,5.44107564
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),CO2,1,1.0,38481.6,38481.6,38481.6
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),CH4,28,27.0,1.4947406,41.8527368,40.3579962
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),N2O,265,273.0,0.2989471,79.22098150000001,81.6125583
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Industry,Waste,CH4,28,27.0,9467.4943,265089.8404,255622.3461
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Industry,Waste,N2O,265,273.0,48.228,12780.42,13166.244
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Transport,Road,CO2,1,1.0,71504.943,71504.943,71504.943
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Transport,Road,CH4,28,27.0,13.66554119,382.63515332,368.96961213
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1970,Transport,Road,N2O,265,273.0,0.970267,257.120755,264.882891
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,479.38237,13422.70636,12943.32399
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,12.428443,3293.537395,3392.964939
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,83615.4,2341231.2,2257615.8
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,21.2737,21.2737,21.2737
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,2942.0157256,779634.1672840001,803170.2930888
ERI,Eritrea,Africa,Africa,Eastern Africa,ldc,1971,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,3182.2245005,89102.286014,85920.0615135
