code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,0.0341102,0.9550856,0.9209754
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.000884338,0.23434957,0.241424274
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,3499.275,97979.7,94480.425
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,71.096314194,18840.52326141,19409.293774962
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,110.791334,3102.157352,2991.366018
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Buildings,Residential,CO2,1,1.0,903.858,903.858,903.858
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Buildings,Residential,CH4,28,27.0,0.12388808,3.46886624,3.34497816
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Buildings,Residential,N2O,265,273.0,0.0073367615,1.9442417975,2.0029358895
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Energy systems,Electricity & heat,CO2,1,1.0,494.578,494.578,494.578
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Energy systems,Electricity & heat,CH4,28,27.0,0.01441681,0.40367068,0.38925387
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Energy systems,Electricity & heat,N2O,265,273.0,0.00347073,0.91974345,0.94750929
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Energy systems,Other (energy systems),CO2,1,1.0,33850.798,33850.798,33850.798
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Energy systems,Other (energy systems),CH4,28,27.0,4.565902,127.845256,123.279354
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Energy systems,Other (energy systems),N2O,265,273.0,1.572609119,416.741416535,429.322289487
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Industry,Chemicals,CO2,1,1.0,180.25955,180.25955,180.25955
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Industry,Chemicals,N2O,265,273.0,0.2532487,67.1109055,69.1368951
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),CO2,1,1.0,33946.5518,33946.5518,33946.5518
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),CH4,28,27.0,1.34067505,37.5389014,36.19822635
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),N2O,265,273.0,0.2681346,71.055669,73.2007458
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Industry,Waste,CH4,28,27.0,616.609236,17265.058608,16648.449372
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Industry,Waste,N2O,265,273.0,6.44316,1707.4374,1758.9826799999998
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Transport,Domestic Aviation,CO2,1,1.0,8718.967,8718.967,8718.967
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Transport,Domestic Aviation,CH4,28,27.0,0.06117913,1.71301564,1.65183651
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Transport,Domestic Aviation,N2O,265,273.0,0.24471694,64.8499891,66.80772462
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Transport,Other (transport),CO2,1,1.0,197.831,197.831,197.831
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Transport,Other (transport),CH4,28,27.0,0.0110796,0.3102288,0.2991492
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Transport,Other (transport),N2O,265,273.0,0.076356,20.23434,20.845188
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Transport,Road,CO2,1,1.0,8551.274,8551.274,8551.274
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Transport,Road,CH4,28,27.0,3.42619789,95.93354092,92.50734303
ESH,Western Sahara,Africa,Africa,North Africa,developing,1970,Transport,Road,N2O,265,273.0,0.16045404,42.5203206,43.80395292
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,0.0354289,0.9920092,0.9565803
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.000918526,0.24340939,0.250757598
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,3589.2,100497.6,96908.4
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,71.88349368,19049.1258252,19624.19377464
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,113.776234,3185.734552,3071.958318
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Buildings,Residential,CO2,1,1.0,903.858,903.858,903.858
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Buildings,Residential,CH4,28,27.0,0.12388808,3.46886624,3.34497816
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Buildings,Residential,N2O,265,273.0,0.0073367615,1.9442417975,2.0029358895
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Energy systems,Electricity & heat,CO2,1,1.0,494.578,494.578,494.578
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Energy systems,Electricity & heat,CH4,28,27.0,0.01441681,0.40367068,0.38925387
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Energy systems,Electricity & heat,N2O,265,273.0,0.00347073,0.91974345,0.94750929
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Energy systems,Other (energy systems),CO2,1,1.0,33850.798,33850.798,33850.798
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Energy systems,Other (energy systems),CH4,28,27.0,4.565902,127.845256,123.279354
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Energy systems,Other (energy systems),N2O,265,273.0,1.573029119,416.852716535,429.4369494870001
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Industry,Chemicals,CO2,1,1.0,179.50625,179.50625,179.50625
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Industry,Chemicals,N2O,265,273.0,0.251595,66.672675,68.685435
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Industry,Other (industry),CO2,1,1.0,33946.5518,33946.5518,33946.5518
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Industry,Other (industry),CH4,28,27.0,1.34067505,37.5389014,36.19822635
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Industry,Other (industry),N2O,265,273.0,0.2681346,71.055669,73.2007458
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Industry,Waste,CH4,28,27.0,614.3691967,17202.3375076,16587.9683109
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Industry,Waste,N2O,265,273.0,6.54914,1735.5221,1787.91522
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Transport,Domestic Aviation,CO2,1,1.0,8718.967,8718.967,8718.967
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Transport,Domestic Aviation,CH4,28,27.0,0.06117913,1.71301564,1.65183651
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Transport,Domestic Aviation,N2O,265,273.0,0.24471694,64.8499891,66.80772462
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Transport,Other (transport),CO2,1,1.0,197.831,197.831,197.831
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Transport,Other (transport),CH4,28,27.0,0.0110796,0.3102288,0.2991492
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Transport,Other (transport),N2O,265,273.0,0.076356,20.23434,20.845188
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Transport,Road,CO2,1,1.0,8551.274,8551.274,8551.274
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Transport,Road,CH4,28,27.0,3.42619789,95.93354092,92.50734303
ESH,Western Sahara,Africa,Africa,North Africa,developing,1971,Transport,Road,N2O,265,273.0,0.1639946,43.458569,44.7705258
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,0.0344868,0.9656304,0.9311436
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.000894103,0.236937295,0.244090119
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,4006.75,112189.0,108182.25
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,78.771024562,20874.32150893,21504.489705426
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,127.386288,3566.816064,3439.429776
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Buildings,Residential,CO2,1,1.0,999.195,999.195,999.195
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Buildings,Residential,CH4,28,27.0,0.1352865,3.788022,3.6527355
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Buildings,Residential,N2O,265,273.0,0.0079220899,2.0993538235,2.1627305427
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Energy systems,Electricity & heat,CO2,1,1.0,592.734,592.734,592.734
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Energy systems,Electricity & heat,CH4,28,27.0,0.0174635,0.488978,0.4715145
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Energy systems,Electricity & heat,N2O,265,273.0,0.00417719,1.10695535,1.14037287
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Energy systems,Other (energy systems),CO2,1,1.0,32567.512,32567.512,32567.512
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Energy systems,Other (energy systems),CH4,28,27.0,4.3899531,122.9186868,118.5287337
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Energy systems,Other (energy systems),N2O,265,273.0,1.589997081,421.349226465,434.069203113
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Industry,Chemicals,CO2,1,1.0,173.31825,173.31825,173.31825
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Industry,Chemicals,N2O,265,273.0,0.2420842,64.152313,66.0889866
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Industry,Other (industry),CO2,1,1.0,33376.4684,33376.4684,33376.4684
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Industry,Other (industry),CH4,28,27.0,1.31787745,36.9005686,35.582691149999995
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Industry,Other (industry),N2O,265,273.0,0.26357547,69.84749955,71.95610330999999
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Industry,Waste,CH4,28,27.0,618.6034682,17320.8971096,16702.2936414
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Industry,Waste,N2O,265,273.0,6.65512,1763.6068,1816.84776
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Transport,Domestic Aviation,CO2,1,1.0,8560.717,8560.717,8560.717
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Transport,Domestic Aviation,CH4,28,27.0,0.0600292,1.6808176,1.6207884
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Transport,Domestic Aviation,N2O,265,273.0,0.2401166,63.63089900000001,65.5518318
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Transport,Other (transport),CO2,1,1.0,197.831,197.831,197.831
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Transport,Other (transport),CH4,28,27.0,0.0110796,0.3102288,0.2991492
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Transport,Other (transport),N2O,265,273.0,0.076356,20.23434,20.845188
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Transport,Road,CO2,1,1.0,9194.5878,9194.5878,9194.5878
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Transport,Road,CH4,28,27.0,3.65391432,102.30960096,98.65568664
ESH,Western Sahara,Africa,Africa,North Africa,developing,1972,Transport,Road,N2O,265,273.0,0.17946004,47.5569106,48.99259092
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,0.0367532,1.0290896,0.9923364
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.000952861,0.252508165,0.260131053
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,4068.7,113923.6,109854.9
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,79.835291456,21156.35223584,21795.034567488
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,129.369798,3622.354344,3492.984546
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Buildings,Residential,CO2,1,1.0,1064.164,1064.164,1064.164
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Buildings,Residential,CH4,28,27.0,0.1443225,4.04103,3.8967075
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Buildings,Residential,N2O,265,273.0,0.0084642499,2.2430262235,2.3107402227
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Energy systems,Electricity & heat,CO2,1,1.0,592.734,592.734,592.734
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Energy systems,Electricity & heat,CH4,28,27.0,0.0174635,0.488978,0.4715145
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Energy systems,Electricity & heat,N2O,265,273.0,0.00417719,1.10695535,1.14037287
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Energy systems,Other (energy systems),CO2,1,1.0,33130.621,33130.621,33130.621
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Energy systems,Other (energy systems),CH4,28,27.0,4.4741044,125.2749232,120.8008188
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Energy systems,Other (energy systems),N2O,265,273.0,1.639290907,434.412090355,447.526417611
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Industry,Chemicals,CO2,1,1.0,166.73615,166.73615,166.73615
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Industry,Chemicals,N2O,265,273.0,0.2319344,61.462616,63.318091200000005
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Industry,Other (industry),CO2,1,1.0,33790.6474,33790.6474,33790.6474
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Industry,Other (industry),CH4,28,27.0,1.33368365,37.3431422,36.00945855
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Industry,Other (industry),N2O,265,273.0,0.26673713,70.68533945,72.81923649
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Industry,Waste,CH4,28,27.0,621.5204332,17402.572129599997,16781.051696399998
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Industry,Waste,N2O,265,273.0,6.76109,1791.68885,1845.77757
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Transport,Domestic Aviation,CO2,1,1.0,9118.602,9118.602,9118.602
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Transport,Domestic Aviation,CH4,28,27.0,0.063920955,1.78978674,1.725865785
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Transport,Domestic Aviation,N2O,265,273.0,0.25568348,67.75612220000001,69.80159004000001
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Transport,Other (transport),CO2,1,1.0,197.831,197.831,197.831
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Transport,Other (transport),CH4,28,27.0,0.0110796,0.3102288,0.2991492
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Transport,Other (transport),N2O,265,273.0,0.076356,20.23434,20.845188
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Transport,Road,CO2,1,1.0,9958.1104,9958.1104,9958.1104
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Transport,Road,CH4,28,27.0,4.01804639,112.50529892,108.48725253
ESH,Western Sahara,Africa,Africa,North Africa,developing,1973,Transport,Road,N2O,265,273.0,0.19991567,52.97765255,54.57697791
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,0.0379555,1.062754,1.0247985000000002
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.000984032,0.2607684799999999,0.268640736
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,4226.31,118336.68,114110.37
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,75.236208127,19937.595153655,20539.484818671
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,135.820219,3802.966132000001,3667.145913
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Buildings,Residential,CO2,1,1.0,1031.679,1031.679,1031.679
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Buildings,Residential,CH4,28,27.0,0.1398045,3.914526,3.7747215
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Buildings,Residential,N2O,265,273.0,0.0081931699,2.1711900235,2.2367353827
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Energy systems,Electricity & heat,CO2,1,1.0,560.015,560.015,560.015
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Energy systems,Electricity & heat,CH4,28,27.0,0.0161389,0.4518892,0.4357503
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Energy systems,Electricity & heat,N2O,265,273.0,0.00391226,1.0367489,1.06804698
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Energy systems,Other (energy systems),CO2,1,1.0,34083.645,34083.645,34083.645
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Energy systems,Other (energy systems),CH4,28,27.0,4.5990189,128.7725292,124.1735103
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Energy systems,Other (energy systems),N2O,265,273.0,1.744585257,462.315093105,476.271775161
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Industry,Chemicals,CO2,1,1.0,166.8143,166.8143,166.8143
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Industry,Chemicals,N2O,265,273.0,0.2313018,61.294977,63.1453914
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Industry,Other (industry),CO2,1,1.0,38692.6012,38692.6012,38692.6012
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Industry,Other (industry),CH4,28,27.0,1.52815589,42.78836492,41.26020903
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Industry,Other (industry),N2O,265,273.0,0.305630377,80.992049905,83.437092921
ESH,Western Sahara,Africa,Africa,North Africa,developing,1974,Industry,Waste,CH4,28,27.0,638.0447721,17865.2536188,17227.2088467
