code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ETH,Ethiopia,CAIT,Total excluding LUCF,All GHG,66.41324391,68.1846479,70.72070729,66.21045995,68.60622445,70.74313336,74.93379283,78.02070969,84.79298096,85.29484543,83.31421039,87.34116812,96.87811215,95.25589719,97.63127042,101.1562024,106.5506985,116.8990835,121.8559103,126.6675767,131.4366194,133.0886233,140.6547293,147.5113184,155.6555628,161.094487,167.1917667,170.6232514,172.233647
ETH,Ethiopia,CAIT,Total including LUCF,All GHG,94.09509413,95.86649813,98.40255752,93.88480378,96.28056829,98.4437076,102.1601696,107.0801909,113.7252233,115.5015134,112.7161025,119.1926966,128.940419,127.6036339,129.9644465,133.6894257,138.9758229,149.457268,154.1507173,158.6287389,163.8518495,166.0464017,173.6713371,180.1697444,188.2117681,193.5765265,199.9240704,203.3544072,204.6717123
ETH,Ethiopia,CAIT,Energy ,All GHG,6.917,8.541791691,9.626583383,11.63737507,13.37106677,15.15395846,16.56838282,17.88180719,19.20223155,20.34765591,21.78108028,23.09436551,23.74065075,24.57693598,25.29222121,25.38450645,26.41686541,27.86722438,29.33358335,30.17494231,30.47430128,33.74618409,36.49406691,40.07494972,44.35183253,46.46971534,48.71412426,49.70153318,51.0069421
ETH,Ethiopia,CAIT,Industrial Processes ,All GHG,0.146132583,0.128414534,0.137896486,0.162278437,0.210660388,0.27384234,0.322016139,0.361189938,0.376363737,0.346937536,0.460311335,0.472133654,0.478055974,0.577878293,0.656600612,0.760822932,0.844348511,0.820974091,0.921899671,0.89482525,0.90165083,1.113569893,1.704188956,2.360608019,2.554027083,3.403446146,3.768184038,3.824921929,3.881659821
ETH,Ethiopia,CAIT,Agriculture ,All GHG,56.57006068,56.70710389,58.07111911,51.4464353,51.9569973,52.1447037,54.8115671,56.4846879,61.8601631,61.1848315,57.5962004,60.2277008,69.0420875,66.4134152,67.9244311,71.1825058,75.3814819,84.2232469,87.5331537,91.4509001,95.8341228,93.9201785,98.0656364,100.6027773,104.1945735,106.5840496,109.9855258,112.2862071,112.4477993
ETH,Ethiopia,CAIT,Waste ,All GHG,2.77998455,2.808113412,2.886242275,2.964371137,3.0675,3.170628863,3.231826766,3.29302467,3.354222573,3.415420477,3.47661838,3.546968158,3.617317935,3.687667713,3.75801749,3.828367268,3.908002708,3.987638149,4.06727359,4.14690903,4.226544471,4.308690767,4.390837063,4.472983359,4.555129656,4.637275952,4.723932576,4.810589199,4.897245823
ETH,Ethiopia,CAIT,Land-Use Change and Forestry ,All GHG,27.68185023,27.68185023,27.68185023,27.67434384,27.67434384,27.70057424,27.22637677,29.05948118,28.93224238,30.20666802,29.40189209,31.85152849,32.0623068,32.34773675,32.33317604,32.53322327,32.42512437,32.55818452,32.29480698,31.9611622,32.41523007,32.95777845,33.01660779,32.65842597,32.55620538,32.48203948,32.73230377,32.73115578,32.43806524
ETH,Ethiopia,CAIT,Bunker Fuels ,All GHG,0.561,0.583,0.118,0.146,0.188,0.2,0.187,0.169,0.172,0.191,0.207,0.252,0.239,0.23,0.344,0.459,0.558,0.692,0.676,0.781,1.011,1.011,1.18,1.298,1.451,1.521,1.875,2.174,2.322
ETH,Ethiopia,CAIT,Electricity/Heat ,All GHG,0.3,0.319,0.066,0.078,0.072,0.075,0.072,0.048,0.042,0.016,0.019,0.019,0.016,0.013,0.016,0.01,0.01,0.273,0.842,0.883,0.055,0.048,0.023,0.01,0.007,0.003,0.003,0.004,0.004
ETH,Ethiopia,CAIT,Manufacturing/Construction ,All GHG,0.55,0.562,0.264,0.392,0.514,0.565,0.61,0.66,0.718,0.709,0.791,0.959,1.004,0.946,1.113,1.149,1.229,1.339,1.384,1.359,1.727,2.459,2.297,2.877,3.799,3.455,4.276,4.26,4.55
ETH,Ethiopia,CAIT,Transportation ,All GHG,0.928,0.934,0.726,0.875,0.976,1.094,1.212,1.283,1.407,1.452,1.592,1.99,2.079,2.166,2.341,2.118,2.257,2.452,2.535,2.649,2.708,2.862,3.25,3.8,4.236,4.713,5.735,6.432,6.871
