code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
FJI,FIJI,1950,MtCO2,0.121,0.0256666666666666,0.0953333333333333,0.0,0.0,0.0,0.0004033333333333,0.0183333333333333
FJI,FIJI,1951,MtCO2,0.132,0.0513333333333333,0.0843333333333333,0.0,0.0,0.0,0.0004399999999999,0.0256666666666666
FJI,FIJI,1952,MtCO2,0.1576666666666666,0.0623333333333333,0.0953333333333333,0.0,0.0,0.0,0.0005133333333333,0.0183333333333333
FJI,FIJI,1953,MtCO2,0.1686666666666666,0.0513333333333333,0.1173333333333333,0.0,0.0,0.0,0.0005133333333333,0.022
FJI,FIJI,1954,MtCO2,0.1576666666666666,0.055,0.1026666666666666,0.0,0.0,0.0,0.0004766666666666,0.033
FJI,FIJI,1955,MtCO2,0.1723333333333333,0.0476666666666666,0.1246666666666666,0.0,0.0,0.0,0.0005133333333333,0.0476666666666666
FJI,FIJI,1956,MtCO2,0.1943333333333333,0.044,0.154,0.0,0.0,0.0,0.0005499999999999,0.0476666666666666
FJI,FIJI,1957,MtCO2,0.165,0.0146666666666666,0.1466666666666666,0.0,0.0,0.0,0.0004399999999999,0.0586666666666666
FJI,FIJI,1958,MtCO2,0.176,0.0073333333333333,0.1686666666666666,0.0,0.0,0.0,0.0004766666666666,0.055
FJI,FIJI,1959,MtCO2,0.198,0.0256666666666666,0.1723333333333333,0.0,0.0,0.0,0.0005133333333333,0.0696666666666666
FJI,FIJI,1960,MtCO2,0.1943333333333333,0.0183333333333333,0.176,0.0,0.0,0.0,0.0004766666666666,0.1173333333333333
FJI,FIJI,1961,MtCO2,0.1686666666666666,0.0036666666666666,0.1613333333333333,0.0,0.0,0.0,0.0004033333333333,0.1466666666666666
FJI,FIJI,1962,MtCO2,0.231,0.0183333333333333,0.2126666666666666,0.0,0.0,0.0,0.0005499999999999,0.1796666666666666
FJI,FIJI,1963,MtCO2,0.242,0.0183333333333333,0.2236666666666666,0.0,0.0,0.0,0.0005499999999999,0.1576666666666666
FJI,FIJI,1964,MtCO2,0.4253333333333333,0.011,0.3996666666666666,0.0,0.0146666666666666,0.0,0.0009533333333333,0.187
FJI,FIJI,1965,MtCO2,0.3446666666666666,0.0073333333333333,0.319,0.0,0.0183333333333333,0.0,0.0007333333333333,0.2236666666666666
FJI,FIJI,1966,MtCO2,0.3226666666666666,0.0036666666666666,0.2933333333333333,0.0,0.022,0.0,0.0006599999999999,0.2603333333333333
FJI,FIJI,1967,MtCO2,0.3556666666666666,0.0146666666666666,0.3153333333333333,0.0,0.022,0.0,0.0007333333333333,0.2493333333333333
FJI,FIJI,1968,MtCO2,0.396,0.0036666666666666,0.3666666666666666,0.0,0.0256666666666666,0.0,0.0008066666666666,0.2713333333333333
FJI,FIJI,1969,MtCO2,0.4326666666666666,0.0036666666666666,0.407,0.0,0.0256666666666666,0.0,0.0008433333333333,0.3153333333333333
FJI,FIJI,1970,MtCO2,0.5206666666666666,0.0,0.4913333333333333,0.0,0.0293333333333333,0.0,0.00099,0.3813333333333333
FJI,FIJI,1971,MtCO2,0.55,0.0036666666666666,0.5023333333333333,0.0,0.0403333333333333,0.0,0.0010266666666666,0.4693333333333333
FJI,FIJI,1972,MtCO2,0.5793333333333333,0.0,0.5353333333333332,0.0,0.044,0.0,0.0010633333333333,0.3703333333333333
FJI,FIJI,1973,MtCO2,0.6306666666666666,0.0,0.5866666666666667,0.0,0.044,0.0,0.0011366666666666,0.4986666666666666
FJI,FIJI,1974,MtCO2,0.671,0.0183333333333333,0.6123333333333333,0.0,0.0403333333333333,0.0,0.0011733333333333,0.3996666666666666
FJI,FIJI,1975,MtCO2,0.6233333333333333,0.044,0.539,0.0,0.0366666666666666,0.0,0.0010633333333333,0.3373333333333333
FJI,FIJI,1976,MtCO2,0.484,0.0256666666666666,0.4253333333333333,0.0,0.033,0.0,0.0008066666666666,0.3666666666666666
FJI,FIJI,1977,MtCO2,0.7663333333333333,0.0513333333333333,0.6783333333333332,0.0,0.0366666666666666,0.0,0.0012833333333333,0.3006666666666666
FJI,FIJI,1978,MtCO2,0.7113333333333333,0.066,0.605,0.0,0.0403333333333333,0.0,0.0011733333333333,0.33
FJI,FIJI,1979,MtCO2,0.8396666666666667,0.0623333333333333,0.7296666666666666,0.0,0.0476666666666666,0.0,0.0013566666666666,0.3226666666666666
FJI,FIJI,1980,MtCO2,0.7956666666666666,0.055,0.7003333333333333,0.0,0.0403333333333333,0.0,0.0012466666666666,0.3226666666666666
FJI,FIJI,1981,MtCO2,1.0816666666666666,0.0476666666666666,0.9863333333333332,0.0,0.0476666666666666,0.0,0.00165,0.077
FJI,FIJI,1982,MtCO2,0.8396666666666667,0.0623333333333333,0.7333333333333333,0.0,0.044,0.0,0.0012466666666666,0.2823333333333333
FJI,FIJI,1983,MtCO2,0.715,0.0476666666666666,0.6123333333333333,0.0,0.055,0.0,0.0010633333333333,0.2163333333333333
FJI,FIJI,1984,MtCO2,0.583,0.0586666666666666,0.4766666666666666,0.0,0.0476666666666666,0.0,0.0008433333333333,0.2713333333333333
FJI,FIJI,1985,MtCO2,0.5793333333333333,0.044,0.4876666666666666,0.0,0.0476666666666666,0.0,0.0008066666666666,0.275
FJI,FIJI,1986,MtCO2,0.605,0.0403333333333333,0.517,0.0,0.0476666666666666,0.0,0.0008433333333333,0.4253333333333333
FJI,FIJI,1987,MtCO2,0.4766666666666666,0.0146666666666666,0.4326666666666666,0.0,0.0293333333333333,0.0,0.0006599999999999,0.3153333333333333
FJI,FIJI,1988,MtCO2,0.5536666666666666,0.011,0.5206666666666666,0.0,0.022,0.0,0.00077,0.2493333333333333
FJI,FIJI,1989,MtCO2,0.6306666666666666,0.044,0.5573333333333332,0.0,0.0293333333333333,0.0,0.0008799999999999,0.3556666666666666
FJI,FIJI,1990,MtCO2,0.814,0.0623333333333333,0.7076666666666667,0.0,0.0403333333333333,0.0,0.0010999999999999,0.2713333333333333
FJI,FIJI,1991,MtCO2,0.671,0.0476666666666666,0.583,0.0,0.0403333333333333,0.0,0.0009166666666666,0.2163333333333333
FJI,FIJI,1992,MtCO2,0.748,0.0513333333333333,0.6526666666666666,0.0,0.0403333333333333,0.0,0.00099,0.286
FJI,FIJI,1993,MtCO2,0.7516666666666666,0.0513333333333333,0.6563333333333332,0.0,0.0403333333333333,0.0,0.00099,0.3263333333333333
FJI,FIJI,1994,MtCO2,0.748,0.0513333333333333,0.649,0.0,0.0476666666666666,0.0,0.00099,0.3593333333333333
FJI,FIJI,1995,MtCO2,0.7626666666666666,0.0513333333333333,0.6673333333333332,0.0,0.044,0.0,0.00099,0.385
FJI,FIJI,1996,MtCO2,0.8213333333333332,0.0586666666666666,0.7223333333333333,0.0,0.0403333333333333,0.0,0.0010633333333333,0.3996666666666666
FJI,FIJI,1997,MtCO2,0.792,0.0586666666666666,0.6893333333333332,0.0,0.0476666666666666,0.0,0.00099,0.429
FJI,FIJI,1998,MtCO2,0.77,0.0513333333333333,0.671,0.0,0.044,0.0,0.0009533333333333,0.4436666666666666
FJI,FIJI,1999,MtCO2,0.7846666666666666,0.0476666666666666,0.6893333333333332,0.0,0.0476666666666666,0.0,0.00099,0.4913333333333333
FJI,FIJI,2000,MtCO2,0.8433333333333333,0.044,0.748,0.0,0.0476666666666666,0.0,0.0010266666666666,0.66
FJI,FIJI,2001,MtCO2,1.056,0.0403333333333333,0.9716666666666668,0.0,0.0476666666666666,0.0,0.0012833333333333,0.5096666666666666
FJI,FIJI,2002,MtCO2,0.891,0.044,0.792,0.0,0.055,0.0,0.0010999999999999,0.4033333333333333
FJI,FIJI,2003,MtCO2,1.0486666666666664,0.044,0.946,0.0,0.0586666666666666,0.0,0.0012833333333333,0.5023333333333333
FJI,FIJI,2004,MtCO2,1.353,0.0,1.2943333333333331,0.0,0.0586666666666666,0.0,0.00165,0.759
FJI,FIJI,2005,MtCO2,1.0963333333333332,0.0,1.0266666666666666,0.0,0.0696666666666666,0.0,0.0013199999999999,0.6636666666666666
FJI,FIJI,2006,MtCO2,1.2173333333333332,0.0,1.1476666666666666,0.0,0.0696666666666666,0.0,0.0014666666666666,0.6673333333333332
FJI,FIJI,2007,MtCO2,1.1586666666666663,0.0,1.0853333333333333,0.0,0.0733333333333333,0.0,0.0013933333333333,0.6196666666666666
FJI,FIJI,2008,MtCO2,0.8946666666666666,0.0,0.825,0.0,0.0696666666666666,0.0,0.0010633333333333,0.4326666666666666
FJI,FIJI,2009,MtCO2,0.792,0.0,0.737,0.0,0.055,0.0,0.0009166666666666,0.3226666666666666
FJI,FIJI,2010,MtCO2,1.221,0.0,1.1366666666666665,0.0036666666666666,0.0806666666666666,0.0,0.0014299999999999,0.5096666666666666
FJI,FIJI,2011,MtCO2,1.089,0.0,1.0046666666666666,0.0,0.0843333333333333,0.0,0.0012466666666666,0.1613333333333333
FJI,FIJI,2012,MtCO2,1.0596666666666663,0.0,0.9863333333333332,0.0,0.0733333333333333,0.0,0.00121,0.1613333333333333
FJI,FIJI,2013,MtCO2,1.151333333333333,0.0,1.0596666666666663,0.0,0.0916666666666666,0.0,0.0013199999999999,0.176
FJI,FIJI,2014,MtCO2,1.1696666666666664,0.0,1.0743333333333334,0.0,0.0953333333333333,0.0,0.0013199999999999,0.2053333333333333
