IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,4.092446772e-06,4.092446772e-06,4.0295319930000005e-06,4.545060101999999e-06,4.06767492e-06,5.04266832e-06,5.41718397e-06,5.6043567e-06,6.67099881e-06,5.809990859999999e-06,5.80280382e-06,5.40352971e-06,5.32042119e-06,5.35798854e-06,5.933816360999999e-06,7.590745187999999e-06,5.783055920999999e-06,5.979540834e-06,1.0440097974000002e-05,1.2401705402999998e-05,6.306601653e-06,7.156243421999999e-06,7.705935639e-06,6.15218436e-06,6.150079583999999e-06,1.3641761636999998e-05,8.260270973999999e-06,1.3688559702e-05,7.632335439e-06,6.610553739e-06,1.015420779e-05,1.137582324e-05,1.243913409e-05,1.504015623e-05,1.65736323e-05,1.648681029e-05,1.838995299e-05,1.810169298e-05,1.867150863e-05,2.007939843e-05,2.1425365017e-05,2.2411911528e-05,2.2511923542e-05,2.2967672274e-05,2.254879674e-05,2.349775665e-05,2.344931388e-05,1.42967691e-05,1.388377935e-05
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.1.a,Main Activity Electricity and Heat Production,bio,CH4,MtCO2,6.9841233e-09,6.9175817999999985e-09,6.9387858e-09,6.9509781e-09,6.9628635e-09,2.59283349e-08,2.57556618e-08,3.2627655000000005e-08,3.248452799999999e-08,3.9384477e-08,6.8467995e-09,6.8823719999999995e-09,6.790441499999998e-09,6.5925188999999995e-09,6.5564442e-09,6.5551608e-09,6.4889541e-09,,,,3.0947517e-07,2.8294506e-07,2.64146319e-07,2.72420064e-07,2.52644265e-07,2.61437787e-07,2.8738953e-07,2.9775159e-07,3.841439400000001e-07,7.722273599999999e-07,4.5123786e-07,4.4223732000000004e-07,4.5403623000000004e-07,4.0531167e-07,4.6086615e-07,3.4336251e-07,3.2918652e-07,3.2832162e-07,3.0162969e-07,2.9158011e-07,3.217707e-07,2.25251766e-07,2.3441942700000002e-07,2.62321659e-07,3.5997975e-07,5.0343597e-07,4.837748399999999e-07,4.1966622e-07,4.1966622e-07
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,5.79537126e-08,5.79537126e-08,6.296093955e-08,5.394225059999999e-08,5.8949477549999997e-08,6.603392925e-08,7.337416815e-08,7.653194595e-08,8.028756494999998e-08,7.94340621e-08,9.650441763e-08,1.1138092362e-07,9.052964379e-08,1.2410305019999997e-07,1.3359873149999998e-07,1.8762970410000003e-07,2.2309322670000002e-07,6.917677496999999e-07,1.1092856139000002e-06,1.4418240678e-06,5.999194152e-07,6.099920963999999e-07,5.8207999059e-07,1.5171806565e-06,1.4816806685999995e-06,1.2019145624999995e-06,6.942707702999999e-07,1.0591599996e-06,1.2617636337e-06,1.2516112701e-06,1.7336722409999998e-06,1.6977235346099998e-06,1.8643836294e-06,1.9071950355e-06,2.3659926516e-06,1.7011325547e-06,1.8226845684e-06,1.7218900430999998e-06,1.6009760187e-06,1.6669296099e-06,1.2261406905e-06,1.6899843842999998e-06,2.7869507531999994e-06,3.320277165e-06,2.9836631907e-06,2.8068331023e-06,2.5828922457e-06,2.5543619568000003e-06,2.4805758033e-06
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,3.6179604e-06,3.583476e-06,2.9171403e-06,2.8671714e-06,3.1023963e-06,2.7543996e-06,2.815947e-06,2.59300926e-06,2.918898e-06,2.9417481e-06,2.8284183e-06,2.77623693e-06,2.76336387e-06,2.4366911400000004e-06,2.33291988e-06,2.33766567e-06,2.48743845e-06,2.12144346e-06,2.77971048e-06,2.64692043e-06,1.90862784e-06,1.87529013e-06,2.15155872e-06,2.19769416e-06,2.17607445e-06,2.18078676e-06,2.32449966e-06,2.35193652e-06,2.0637072e-06,1.91853792e-06,1.89177066e-06,1.85403033e-06,2.00597094e-06,1.83426039e-06,1.9237608e-06,1.61126685e-06,1.56065346e-06,1.4558778e-06,1.34776251e-06,1.2959271e-06,1.21347423e-06,1.34965413e-06,1.16447625e-06,1.01217573e-06,9.6465087e-07,9.6731253e-07,9.5167737e-07,9.7847811e-07,9.7847811e-07
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,3.8863390095e-08,3.8863390095e-08,5.0784249600000005e-09,2.5463236319999995e-08,2.418297786e-08,2.738367702e-08,2.542057722e-08,3.1793486850000006e-08,2.92471515e-08,2.223412659e-08,2.223409869e-08,2.858233635e-08,3.2327852760000003e-08,2.976146568e-08,3.35425797e-08,6.55127991e-08,4.64623722e-08,5.562661545e-08,8.35628994e-08,1.3813158870000004e-07,7.036781759999999e-08,7.48362258e-08,7.618577669999999e-08,6.86237607e-08,6.905914019999999e-08,1.3546384649999997e-07,8.1979965e-08,1.41719166e-07,5.72335578e-08,5.90607288e-08,3.460383989999999e-08,3.752954271e-08,3.550128246e-08,4.61585691e-08,6.391972863e-08,6.576585768e-08,7.694165187e-08,7.408276119000002e-08,8.073728505e-08,7.885541330999999e-08,5.332355694e-08,7.979196051e-08,7.780415247e-08,7.744132134e-08,7.798960098e-08,8.069633901e-08,8.240148657e-08,8.145992016e-08,7.910671977000002e-08
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,2.3658127803e-06,2.3658127803e-06,2.3384116322999998e-06,2.7748773351e-06,2.7729280458e-06,4.688510044499999e-06,5.0872436478e-06,5.5782765054e-06,5.5059281784e-06,4.540891144499999e-06,8.55381656925e-06,8.718041426489999e-06,9.91327861782e-06,1.163556174402e-05,1.437282126081e-05,1.69623738531e-05,1.17539905536e-05,1.44005231736e-05,2.53163363751e-05,3.595482014489999e-05,1.7760196277756996e-05,1.802132240697e-05,1.898772085764e-05,1.717422277995e-05,1.729216685493e-05,3.40877813004e-05,1.9369560995595e-05,3.5412508256310004e-05,2.333243276991e-05,2.354458726314e-05,3.227393645918999e-05,3.154950984276e-05,2.877690609261e-05,3.172960758195e-05,3.0832774670151004e-05,3.1722953330672995e-05,3.622050744423301e-05,3.423138744384e-05,3.427535748393e-05,3.888907947756e-05,3.474410340024e-05,4.0170446403165e-05,3.866493703788e-05,4.12273962666e-05,4.185977872122e-05,4.08854538387e-05,3.98743584525e-05,3.942424684296e-05,3.828545151903e-05
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,,,,,,,,,,,6.2534223e-08,6.114284999999999e-08,6.492162599999998e-08,8.5628169e-08,8.9518545e-08,1.0970614799999998e-07,,,1.5859029599999996e-08,2.04412698e-08,9.6693588e-09,,,,,1.72044792e-08,1.0411805699999998e-08,1.78333452e-08,9.2894724e-09,1.029482658e-07,1.555647084e-07,1.6871724269999998e-07,1.980397242e-07,2.075097375e-07,2.205717084e-07,1.407118923e-07,2.0252891790000003e-07,1.8690137460000002e-07,1.8798113250000002e-07,1.98942624e-07,2.166149025e-07,1.787618286e-07,1.695574791e-07,1.734954525e-07,2.3319288720000002e-07,2.11036995e-07,2.39668533e-07,2.37329955e-07,2.3047450650000001e-07
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.3.e,Other Transportation,fossil,CH4,MtCO2,,,,,,,,,,3.3287211e-09,3.3287211e-09,3.2546466e-09,3.4557777e-09,3.9978189000000015e-09,4.17942e-09,5.1219657e-09,3.9221541000000015e-09,3.7827936e-09,6.1644771e-09,7.9456131e-09,2.88153711e-08,2.97290403e-08,3.56844348e-08,3.940731315e-07,3.924558243e-07,7.405940052e-07,4.5742764240000004e-07,7.141621869e-07,4.162661307e-07,4.2768071820000003e-07,9.64118538e-08,1.112891103e-07,1.197448191e-07,1.530474588e-07,1.972552041e-07,2.062427427e-07,2.619681102e-07,2.3283091260000002e-07,2.24993133e-07,2.2861407870000002e-07,5.68164528e-07,7.59860964e-07,8.182855169999999e-07,7.872397919999999e-07,8.184559859999999e-07,9.12280338e-07,8.672391359999999e-07,8.57206017e-07,8.32444488e-07
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.4,Other Sectors,fossil,CH4,MtCO2,2.381609565e-07,2.381609565e-07,2.698835355e-07,2.448469125e-07,2.765694915e-07,9.629379495e-07,1.08807354522e-06,1.1056686802199998e-06,1.1034246832199998e-06,1.16995530222e-06,1.42719424245e-06,1.4022335772e-06,1.4856486902999998e-06,1.7483932574999998e-06,2.6217354627e-06,3.219641307e-06,2.0898944190000003e-06,2.0906396558999995e-06,4.0687551522e-06,5.380921168199999e-06,2.6489477556e-06,2.6799381549e-06,2.831575464e-06,2.5307112663e-06,2.6926452657e-06,4.7827857348e-06,3.0600474201000003e-06,5.394662253e-06,4.758801890399999e-06,5.6337703866e-06,7.8233202855e-06,8.280032432399999e-06,8.6852404818e-06,9.9878574438e-06,9.9171778437e-06,9.6216137811e-06,9.4629712842e-06,8.9591861457e-06,9.0461145105e-06,9.5372638506e-06,4.275646263e-06,8.0922169422e-06,1.1542679217899998e-05,1.7204670845099997e-05,1.2917884977e-05,1.25697985227e-05,1.33208445654e-05,1.31905542717e-05,1.2809488148099998e-05
Non-Annex_I,Rest South America,FLK,Falkland Islands (Malvinas),1.A.4,Other Sectors,bio,CH4,MtCO2,2.4677317035e-06,2.4442171928999995e-06,2.4517040742e-06,2.4381842643e-06,2.4602110911e-06,2.4129230184e-06,2.4301398573e-06,2.4172457886e-06,2.422366722e-06,2.4453398609999998e-06,2.7439829676e-06,2.7758884869e-06,2.7718947414e-06,2.7249085746e-06,2.824320348e-06,2.889298332e-06,2.908391976e-06,2.479241709e-06,3.680700246e-06,3.92520636e-06,1.6781822937e-05,6.592055481e-06,6.565887792e-06,7.662063168e-06,7.67137563e-06,7.656399467999999e-06,7.685648991e-06,7.835281992000001e-06,7.937319824999999e-06,7.87154697e-06,5.0782743e-06,4.9065219e-06,4.756392e-06,4.6365615e-06,4.4711703e-06,4.3278759e-06,4.1493159e-06,4.0475925e-06,4.0258305e-06,3.9226842e-06,3.6634653e-06,2.49218424e-06,2.37349764e-06,2.25213264e-06,2.60054226e-06,2.63988963e-06,2.44532898e-06,2.50673967e-06,2.50673967e-06
