code,name,unit,sector,source,subsource,gas,year,value
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1990,35.9032825528266
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1991,36.1348974095637
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1992,35.4066399406106
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1993,34.568166047452
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1994,33.9799873043869
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1995,34.3666132159054
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1996,34.9786261722894
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1997,35.3780349344348
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1998,35.5874322331878
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,1999,35.8767875481423
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2000,36.2903441367381
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2001,35.8588045248921
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2002,35.3868212771739
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2003,33.6844271630979
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2004,34.861384953614
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2005,33.9827418884861
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2006,33.4973093526301
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2007,34.1772989721598
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2008,34.39264197924
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2009,33.8248648258285
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2010,33.1054460723628
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2011,32.6211662483782
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2012,33.1100663827656
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2013,32.7567905882367
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2014,33.9079884454057
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2015,33.4805472498324
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2016,32.7800047536245
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2017,32.7737595394034
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2018,32.7675143251824
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2019,32.7612691109613
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2020,32.7550238967402
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2021,32.7531573115161
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2022,32.751290726292
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2023,32.7494241410679
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2024,32.7475575558438
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2025,32.7456909706197
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2026,32.7305629027304
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2027,32.7154348348412
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2028,32.700306766952
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2029,32.6851786990627
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2030,32.6700506311735
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2031,32.6658441424124
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2032,32.6616376536513
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2033,32.6574311648902
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2034,32.6532246761292
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2035,32.6490181873681
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2036,32.636392533521
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2037,32.623766879674
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2038,32.6111412258269
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2039,32.5985155719799
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2040,32.5858899181329
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2041,32.5620681141564
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2042,32.5382463101799
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2043,32.5144245062035
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2044,32.490602702227
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2045,32.4667808982505
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2046,32.4361648885123
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2047,32.4055488787741
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2048,32.3749328690359
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2049,32.3443168592977
FRA,France,MtCO2eq,Agriculture,AgSoils,,N2O,2050,32.3137008495595
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1990,38.8163102193148
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1991,38.1868008640808
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1992,37.6308070855693
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1993,37.3061574862568
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1994,37.4344996048536
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1995,37.6376123619617
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1996,37.5949713887519
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1997,37.1856801782961
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1998,36.9577379982703
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1999,36.9472688483155
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2000,38.270171201036
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2001,38.2802151677539
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2002,37.3706889819611
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2003,36.2693117083714
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2004,35.7588230166795
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2005,35.5760140267313
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2006,35.6033859120245
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2007,35.8211393182007
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2008,36.2300838947552
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2009,35.8826253234709
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2010,35.7253204064063
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2011,35.1386882211912
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2012,34.7679818171322
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2013,34.8369834101821
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2014,35.3257829816472
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2015,35.4689282716799
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2016,35.266630711328
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2017,35.2112146250422
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2018,35.1557985387564
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2019,35.1003824524705
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2020,35.0449663661847
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2021,34.9503629307557
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2022,34.8557594953267
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2023,34.7611560598977
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2024,34.6665526244688
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2025,34.5719491890398
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2026,34.4353094694027
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2027,34.2986697497656
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2028,34.1620300301285
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2029,34.0253903104914
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2030,33.8887505908543
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2031,33.7218098540341
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2032,33.5548691172138
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2033,33.3879283803936
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2034,33.2209876435734
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2035,33.0540469067531
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2036,32.8645782292548
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2037,32.6751095517564
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2038,32.4856408742581
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2039,32.2961721967597
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2040,32.1067035192613
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2041,31.8842842050829
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2042,31.6618648909045
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2043,31.439445576726
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2044,31.2170262625476
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2045,30.9946069483691
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2046,30.7616292705337
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2047,30.5286515926983
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2048,30.2956739148629
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2049,30.0626962370275
FRA,France,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2050,29.8297185591921
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1990,3.6827931339723
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1991,3.63472061570357
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1992,3.63957405773416
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1993,3.67214045227656
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1994,3.71323413212795
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1995,3.76982868114115
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1996,3.6906068591936
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1997,3.94194847303823
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1998,3.91460196287243
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,1999,4.14648744070738
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2000,4.21841522351339
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2001,4.19531365351873
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2002,4.30220980539659
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2003,4.39515913607643
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2004,4.11134547891178
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2005,4.1343926857413
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2006,4.2827019633321
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2007,4.23540390644527
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2008,4.2616337563592
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2009,4.29484241353828
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2010,3.97114036855656
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2011,4.40950438307577
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2012,4.05556013781375
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2013,3.98398133105951
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2014,4.35537553491258
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2015,4.33836259097447
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2016,4.1252363117995
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2017,4.10895320430118
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2018,4.09267009680286
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2019,4.07638698930454
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2020,4.06010388180622
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2021,4.04013978496065
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2022,4.02017568811508
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2023,4.0002115912695
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2024,3.98024749442393
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2025,3.96028339757836
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2026,3.93571811443011
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2027,3.91115283128187
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2028,3.88658754813362
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2029,3.86202226498537
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2030,3.83745698183713
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2031,3.80942863156037
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2032,3.78140028128362
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2033,3.75337193100686
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2034,3.72534358073011
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2035,3.69731523045335
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2036,3.66688306500328
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2037,3.63645089955321
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2038,3.60601873410313
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2039,3.57558656865306
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2040,3.54515440320298
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2041,3.51155598734633
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2042,3.47795757148968
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2043,3.44435915563302
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2044,3.41076073977637
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2045,3.37716232391972
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2046,3.34262845178908
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2047,3.30809457965844
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2048,3.2735607075278
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2049,3.23902683539716
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,CH4,2050,3.20449296326651
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1990,2.97680515113258
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1991,2.93125871118618
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1992,2.88505740802715
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1993,2.86380710568221
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1994,2.87315398580271
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1995,2.87963228222519
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1996,2.87371287356035
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1997,2.84213464488253
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1998,2.82419581720991
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,1999,2.80859511968447
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2000,2.8889854139935
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2001,2.86505601595435
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2002,2.80989584395674
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2003,2.73701072041024
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2004,2.69764489267048
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2005,2.68461591517807
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2006,2.68087403613383
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2007,2.70083095261349
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2008,2.73273465548453
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2009,2.69693585029461
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2010,2.68638220474905
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2011,2.64823090326812
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2012,2.62511987692254
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2013,2.6248134362831
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2014,2.65247487134499
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2015,2.66043327022766
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2016,2.63550782420023
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2017,2.629677118212
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2018,2.62384641222376
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2019,2.61801570623553
FRA,France,MtCO2eq,Agriculture,Livestock,Manure,N2O,2020,2.61218500024729
