code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,0.0151062,0.4229736,0.4078674
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.000391642,0.10378513,0.106918266
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,641.2205,17954.174,17312.9535
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,22.31403685,5913.21976525,6091.732060050001
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,28.4776,797.3728,768.8951999999999
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,0.409879,108.617935,111.896967
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,Industry,Chemicals,CO2,1,1.0,1.92935,1.92935,1.92935
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,Industry,Chemicals,N2O,265,273.0,1.7001075,450.5284875,464.1293475000001
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,Industry,Waste,CO2,1,1.0,789.436,789.436,789.436
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,Industry,Waste,CH4,28,27.0,651.817803,18250.898484,17599.080681
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1970,Industry,Waste,N2O,265,273.0,0.67872,179.86079999999998,185.29056
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,0.0141957,0.3974796,0.3832839
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.000368038,0.09753007,0.100474374
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,610.257,17087.196,16476.939
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,21.29810956,5643.9990334,5814.38390988
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,27.7163,776.0564,748.3401
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,0.410031272,108.65828708,111.938537256
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,Industry,Chemicals,CO2,1,1.0,1.94915,1.94915,1.94915
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,Industry,Chemicals,N2O,265,273.0,1.7198625,455.7635625,469.5224625
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,Industry,Waste,CO2,1,1.0,829.703,829.703,829.703
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,Industry,Waste,CH4,28,27.0,647.107301,18119.004428,17471.897127
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1971,Industry,Waste,N2O,265,273.0,0.690352,182.94328,188.466096
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1972,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,0.0135553,0.3795484,0.3659930999999999
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1972,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.000351434,0.09313001,0.095941482
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1972,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,628.6144,17601.2032,16972.5888
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1972,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,21.93855217,5813.716325050001,5989.2247424100005
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1972,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,27.208608,761.8410240000001,734.632416
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1972,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,0.38165286,101.1380079,104.19123078
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,developed,1972,Industry,Chemicals,CO2,1,1.0,1.968,1.968,1.968
