code,name,unit,sector,source,subsource,gas,year,value
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1990,1.73073682244015
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1991,1.56583312816299
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1992,1.40092943388582
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1993,1.23602573960866
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1994,1.0711220453315
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1995,0.906218351054331
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1996,0.950858680843465
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1997,0.995499010632599
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1998,1.04013934042173
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,1999,1.08477967021087
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2000,1.12942
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2001,1.27246
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2002,1.49
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2003,1.49
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2004,1.24564
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2005,1.5496
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2006,1.49
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2007,1.42838519870146
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2008,1.36677039740292
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2009,1.30515559610437
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2010,1.24354079480583
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2011,1.27232081663467
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2012,1.30110083846351
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2013,1.32988086029235
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2014,1.3586608821212
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2015,1.38744090395004
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2016,1.38717074982712
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2017,1.3869005957042
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2018,1.38663044158129
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2019,1.38636028745837
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2020,1.38609013333546
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2021,1.38485107435615
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2022,1.38361201537685
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2023,1.38237295639755
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2024,1.38113389741825
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2025,1.37989483843895
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2026,1.3782224546027
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2027,1.37655007076645
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2028,1.3748776869302
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2029,1.37320530309395
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2030,1.3715329192577
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2031,1.36940761300219
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2032,1.36728230674667
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2033,1.36515700049116
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2034,1.36303169423565
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2035,1.36090638798014
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2036,1.35794721907673
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2037,1.35498805017333
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2038,1.35202888126992
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2039,1.34906971236652
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2040,1.34611054346311
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2041,1.34304502359382
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2042,1.33997950372454
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2043,1.33691398385525
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2044,1.33384846398596
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2045,1.33078294411667
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2046,1.32717264890423
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2047,1.32356235369178
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2048,1.31995205847933
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2049,1.31634176326689
GEO,Georgia,MtCO2eq,Agriculture,AgSoils,,N2O,2050,1.31273146805444
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1990,1.62445281440831
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1991,1.55766745194645
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1992,1.4908820894846
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1993,1.42409672702274
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1994,1.35731136456089
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1995,1.29052600209903
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1996,1.33907080167923
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1997,1.38761560125942
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1998,1.43616040083961
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1999,1.48470520041981
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2000,1.53325
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2001,1.6
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2002,1.625
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2003,1.675
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2004,1.7
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2005,1.725
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2006,1.7425
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2007,1.70045317292645
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2008,1.65840634585289
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2009,1.61635951877934
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2010,1.57431269170579
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2011,1.59705260031747
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2012,1.61979250892915
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2013,1.64253241754083
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2014,1.66527232615251
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2015,1.68801223476419
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2016,1.68357438041766
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2017,1.67913652607114
GEO,Georgia,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2018,1.67469867172461
