code,name,unit,sector,source,subsource,gas,year,value
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1990,2.4138
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1991,2.1605
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1992,2.11282
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1993,2.14858
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1994,2.18732
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1995,2.10388
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1996,2.28268
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1997,2.3989
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1998,2.50022
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,1999,2.55386
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2000,2.6373
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2001,2.83994
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2002,2.79822
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2003,2.90848
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2004,2.96808
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2005,3.01576
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2006,3.39124
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2007,3.52281141616571
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2008,3.65438283233141
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2009,3.78595424849712
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2010,3.91752566466283
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2011,4.00125226722989
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2012,4.08497886979694
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2013,4.168705472364
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2014,4.25243207493106
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2015,4.33615867749812
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2016,4.46577711281493
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2017,4.59539554813173
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2018,4.72501398344854
GHA,Ghana,MtCO2eq,Agriculture,AgSoils,,N2O,2019,4.85463241876535
