code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,1155.1418,32343.9704,31188.828600000004
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,29.948089,7936.243585,8175.828297
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,42747.99,1196943.72,1154195.73
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,297.832,297.832,297.832
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,2185.2983159,579104.0537135,596586.4402407
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,2094.32069,58640.97932,56546.65863
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,82.7613446,21931.756319,22593.8470758
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,11470.57,321175.96,309705.39
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Buildings,Non-residential,CO2,1,1.0,28899.0,28899.0,28899.0
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Buildings,Non-residential,CH4,28,27.0,3.9,109.2,105.3
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Buildings,Non-residential,N2O,265,273.0,0.234,62.010000000000005,63.882000000000005
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Buildings,Residential,CO2,1,1.0,260898.2,260898.2,260898.2
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Buildings,Residential,CH4,28,27.0,18425.75,515921.0,497495.25
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Buildings,Residential,N2O,265,273.0,247.3166,65538.899,67517.43179999999
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Energy systems,Electricity & heat,CO2,1,1.0,35271.6,35271.6,35271.6
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Energy systems,Electricity & heat,CH4,28,27.0,1.428,39.984,38.556
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Energy systems,Electricity & heat,N2O,265,273.0,0.2856,75.68400000000001,77.9688
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,0.928298,0.928298,0.928298
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,236.76174,7102.8522,7055.499852
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Energy systems,Other (energy systems),CH4,28,27.0,18463.0,516964.0,498501.0
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Energy systems,Other (energy systems),N2O,265,273.0,261.5933,69322.2245,71414.9709
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Energy systems,Petroleum refining,CO2,1,1.0,47116.8,47116.8,47116.8
GHA,Ghana,Africa,Africa,Western Africa,developing,1970,Energy systems,Petroleum refining,CH4,28,27.0,0.818,22.904,22.086
