code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,695.66424,19478.59872,18782.93448
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,18.035744,4779.47216,4923.758112
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,43798.1,1226346.8,1182548.7
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,319.106,319.106,319.106
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,2101.5263246,556904.4760189999,573716.6866158
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,1538.038384,43065.074752,41527.036368
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,15.45837691,4096.46988115,4220.13689643
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,36928.67,1034002.76,997074.09
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Buildings,Non-residential,CH4,28,27.0,19.2408,538.7424,519.5016
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Buildings,Non-residential,N2O,265,273.0,0.0962038,25.494007,26.2636374
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Buildings,Residential,CO2,1,1.0,4608.77,4608.77,4608.77
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Buildings,Residential,CH4,28,27.0,25310.9317053,708706.0877484,683395.1560431
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Buildings,Residential,N2O,265,273.0,337.508410185,89439.728699025,92139.795980505
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Energy systems,Electricity & heat,CO2,1,1.0,2521.85,2521.85,2521.85
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Energy systems,Electricity & heat,CH4,28,27.0,0.102099,2.858772,2.756673
GIN,Guinea,Africa,Africa,Western Africa,ldc,1970,Energy systems,Electricity & heat,N2O,265,273.0,0.02041982,5.4112523,5.574610860000001
