code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
GNB,Guinea-Bissau,CAIT,Total excluding LUCF,All GHG,1.575341816,1.586823447,1.625442177,1.659461407,1.684618037,1.717312068,1.645778803,1.639148638,1.621149074,1.756515109,1.729043644,2.019387634,2.071328723,2.121162113,2.043529802,1.985078392,2.164910095,2.193839497,2.1105373,2.240886503,2.335714205,2.341332735,2.526321465,2.496480095,2.495016125,2.622868255,2.650208388,2.737871922,2.800020856
GNB,Guinea-Bissau,CAIT,Total including LUCF,All GHG,3.349712842,3.361194472,3.399813203,3.433832433,3.458989063,3.491187693,3.141026164,3.184758826,3.41234728,3.769676449,3.470840315,3.648636531,3.792689756,3.884870918,3.899350743,3.845202866,4.14250953,4.148227873,3.909177288,3.986649072,4.126937604,4.049836355,4.478382074,4.249483254,4.347548009,4.587610277,4.374992954,4.386338823,4.443222933
GNB,Guinea-Bissau,CAIT,Energy ,All GHG,0.331839318,0.335317698,0.340796078,0.350274458,0.350252838,0.352731218,0.350566996,0.375402773,0.355238551,0.379074328,0.339910105,0.344092331,0.352274557,0.397456783,0.410639009,0.417821235,0.429159999,0.445498762,0.441837526,0.456176289,0.466515052,0.474925595,0.486336137,0.496746679,0.514157221,0.525567763,0.540670937,0.544774111,0.561877285
GNB,Guinea-Bissau,CAIT,Industrial Processes ,All GHG,0.000240161,0.001255742,0.002271322,0.003286903,0.004302484,0.005318065,0.009185798,0.013053532,0.016921266,0.020789,0.024656733,0.025949504,0.027242275,0.028535046,0.029827817,0.031120589,0.037108597,0.043096605,0.049084613,0.055072621,0.061060629,0.072938726,0.084816823,0.09669492,0.108573017,0.120451114,0.134469225,0.148487336,0.162505447
GNB,Guinea-Bissau,CAIT,Agriculture ,All GHG,1.1861542,1.191625,1.2222329,1.2442413,1.2668871,1.2945703,1.219935,1.1832028,1.1801012,1.2863652,1.2927917,1.5760074,1.6168202,1.6185253,1.5247647,1.456185,1.6166633,1.6212393,1.5335837,1.6415795,1.7180538,1.7012101,1.8607366,1.806433,1.7735068,1.8758967,1.8716045,1.9386357,1.9671523
GNB,Guinea-Bissau,CAIT,Waste ,All GHG,0.057108137,0.058625007,0.060141876,0.061658746,0.063175615,0.064692484,0.066091009,0.067489533,0.068888057,0.070286581,0.071685105,0.073338398,0.07499169,0.076644983,0.078298275,0.079951568,0.081978199,0.08400483,0.086031462,0.088058093,0.090084724,0.092258315,0.094431906,0.096605496,0.098779087,0.100952678,0.103463726,0.105974775,0.108485823
GNB,Guinea-Bissau,CAIT,Land-Use Change and Forestry ,All GHG,1.774371026,1.774371026,1.774371026,1.774371026,1.774371026,1.773875626,1.495247362,1.545610188,1.791198206,2.01316134,1.74179667,1.629248898,1.721361033,1.763708806,1.855820941,1.860124474,1.977599435,1.954388375,1.798639988,1.745762569,1.791223398,1.70850362,1.952060609,1.753003159,1.852531884,1.964742022,1.724784566,1.648466901,1.643202077
GNB,Guinea-Bissau,CAIT,Bunker Fuels ,All GHG,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.035,0.034,0.034,0.034,0.035,0.036,0.036,0.038,0.039,0.04,0.041,0.043
GNB,Guinea-Bissau,CAIT,Electricity/Heat ,All GHG,0.031,0.031,0.034,0.034,0.041,0.041,0.044,0.047,0.019,0.014,0.02,0.019,0.019,0.022,0.022,0.022,0.022,0.025,0.026,0.024,0.025,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032
GNB,Guinea-Bissau,CAIT,Manufacturing/Construction ,All GHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB,Guinea-Bissau,CAIT,Transportation ,All GHG,0.057,0.055,0.05,0.055,0.047,0.048,0.044,0.061,0.058,0.075,0.024,0.024,0.026,0.045,0.045,0.049,0.055,0.062,0.059,0.073,0.077,0.079,0.082,0.088,0.093,0.094,0.099,0.1,0.105
