code,name,unit,sector,source,subsource,gas,year,value
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1990,0.0073312008893037
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1991,0.0074195561876534
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1992,0.0075079114860031
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1993,0.0075962667843528
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1994,0.0076846220827025
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1995,0.0077729773810522
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1996,0.0078577095598476
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1997,0.007942441738643
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1998,0.0080271739174384
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1999,0.0081119060962338
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2000,0.0081966382750292
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2001,0.0082369639426674
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2002,0.0082772896103056
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2003,0.0083176152779438
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2004,0.008357940945582
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2005,0.0083982666132202
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2006,0.008438928397213
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2007,0.0084795901812058
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2008,0.0085202519651986
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2009,0.0085609137491914
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2010,0.0086015755331842
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2011,0.0086248153441792
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2012,0.0086480551551741
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2013,0.0086712949661691
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2014,0.008694534777164
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2015,0.008717774588159
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2016,0.0087690396440709
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2017,0.0088203046999829
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2018,0.0088715697558948
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2019,0.0089228348118067
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2020,0.0089740998677187
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2021,0.0090408430668215
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2022,0.0091075862659243
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2023,0.0091743294650272
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2024,0.00924107266413
GNQ,Equatorial Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2025,0.0093078158632328
