code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
GRD,GRENADA,1950,MtCO2,0.0073333333333333,0.0,0.0073333333333333,0.0,0.0,0.0,7.333333333333333e-05,0.0
GRD,GRENADA,1951,MtCO2,0.011,0.0,0.011,0.0,0.0,0.0,0.0001099999999999,0.0
GRD,GRENADA,1952,MtCO2,0.011,0.0,0.011,0.0,0.0,0.0,0.0001099999999999,0.0
GRD,GRENADA,1953,MtCO2,0.011,0.0,0.011,0.0,0.0,0.0,0.0001099999999999,0.0
GRD,GRENADA,1954,MtCO2,0.011,0.0,0.011,0.0,0.0,0.0,0.0001099999999999,0.0
GRD,GRENADA,1955,MtCO2,0.011,0.0,0.011,0.0,0.0,0.0,0.0001466666666666,0.0
GRD,GRENADA,1956,MtCO2,0.011,0.0,0.011,0.0,0.0,0.0,0.0001466666666666,0.0
GRD,GRENADA,1957,MtCO2,0.011,0.0,0.011,0.0,0.0,0.0,0.0001466666666666,0.0
GRD,GRENADA,1958,MtCO2,0.0146666666666666,0.0,0.0146666666666666,0.0,0.0,0.0,0.0001833333333333,0.0
GRD,GRENADA,1959,MtCO2,0.0146666666666666,0.0,0.0146666666666666,0.0,0.0,0.0,0.0001833333333333,0.0
GRD,GRENADA,1960,MtCO2,0.022,0.0,0.022,0.0,0.0,0.0,0.0002566666666666,0.0
GRD,GRENADA,1961,MtCO2,0.0183333333333333,0.0,0.0183333333333333,0.0,0.0,0.0,0.0002199999999999,0.0
GRD,GRENADA,1962,MtCO2,0.0256666666666666,0.0,0.0256666666666666,0.0,0.0,0.0,0.0002566666666666,0.0
GRD,GRENADA,1963,MtCO2,0.0146666666666666,0.0,0.0146666666666666,0.0,0.0,0.0,0.0001466666666666,0.0
GRD,GRENADA,1964,MtCO2,0.022,0.0,0.022,0.0,0.0,0.0,0.0002199999999999,0.0
GRD,GRENADA,1965,MtCO2,0.022,0.0,0.022,0.0,0.0,0.0,0.0002199999999999,0.0
GRD,GRENADA,1966,MtCO2,0.0293333333333333,0.0,0.0293333333333333,0.0,0.0,0.0,0.0002933333333333,0.0
GRD,GRENADA,1967,MtCO2,0.0366666666666666,0.0,0.0366666666666666,0.0,0.0,0.0,0.0004033333333333,0.0
GRD,GRENADA,1968,MtCO2,0.0403333333333333,0.0,0.0403333333333333,0.0,0.0,0.0,0.0004033333333333,0.0
GRD,GRENADA,1969,MtCO2,0.0476666666666666,0.0,0.0476666666666666,0.0,0.0,0.0,0.0004766666666666,0.0
GRD,GRENADA,1970,MtCO2,0.044,0.0,0.044,0.0,0.0,0.0,0.0004399999999999,0.0
GRD,GRENADA,1971,MtCO2,0.0476666666666666,0.0,0.0476666666666666,0.0,0.0,0.0,0.0004766666666666,0.0
GRD,GRENADA,1972,MtCO2,0.0476666666666666,0.0,0.0476666666666666,0.0,0.0,0.0,0.0005133333333333,0.0
GRD,GRENADA,1973,MtCO2,0.055,0.0,0.055,0.0,0.0,0.0,0.0005866666666666,0.0
GRD,GRENADA,1974,MtCO2,0.0366666666666666,0.0,0.0366666666666666,0.0,0.0,0.0,0.0004033333333333,0.0
GRD,GRENADA,1975,MtCO2,0.0476666666666666,0.0,0.0476666666666666,0.0,0.0,0.0,0.0005133333333333,0.0
GRD,GRENADA,1976,MtCO2,0.0476666666666666,0.0,0.0476666666666666,0.0,0.0,0.0,0.0005499999999999,0.0
GRD,GRENADA,1977,MtCO2,0.0476666666666666,0.0,0.0476666666666666,0.0,0.0,0.0,0.0005499999999999,0.0
GRD,GRENADA,1978,MtCO2,0.0513333333333333,0.0,0.0513333333333333,0.0,0.0,0.0,0.0005866666666666,0.0
GRD,GRENADA,1979,MtCO2,0.0476666666666666,0.0,0.0476666666666666,0.0,0.0,0.0,0.0005499999999999,0.0
GRD,GRENADA,1980,MtCO2,0.0476666666666666,0.0,0.0476666666666666,0.0,0.0,0.0,0.0005499999999999,0.0
GRD,GRENADA,1981,MtCO2,0.0586666666666666,0.0,0.0586666666666666,0.0,0.0,0.0,0.0006599999999999,0.0
GRD,GRENADA,1982,MtCO2,0.0623333333333333,0.0,0.0623333333333333,0.0,0.0,0.0,0.0006599999999999,0.0036666666666666
GRD,GRENADA,1983,MtCO2,0.0623333333333333,0.0,0.0623333333333333,0.0,0.0,0.0,0.0006233333333333,0.0036666666666666
GRD,GRENADA,1984,MtCO2,0.0623333333333333,0.0,0.0623333333333333,0.0,0.0,0.0,0.0006233333333333,0.0
GRD,GRENADA,1985,MtCO2,0.0623333333333333,0.0,0.0623333333333333,0.0,0.0,0.0,0.0006233333333333,0.0
GRD,GRENADA,1986,MtCO2,0.066,0.0,0.066,0.0,0.0,0.0,0.0006599999999999,0.0073333333333333
GRD,GRENADA,1987,MtCO2,0.0733333333333333,0.0,0.0733333333333333,0.0,0.0,0.0,0.0007333333333333,0.0073333333333333
GRD,GRENADA,1988,MtCO2,0.0953333333333333,0.0,0.0953333333333333,0.0,0.0,0.0,0.0009533333333333,0.011
GRD,GRENADA,1989,MtCO2,0.1026666666666666,0.0,0.1026666666666666,0.0,0.0,0.0,0.0010633333333333,0.011
GRD,GRENADA,1990,MtCO2,0.1063333333333333,0.0,0.1063333333333333,0.0,0.0,0.0,0.0010999999999999,0.0146666666666666
GRD,GRENADA,1991,MtCO2,0.11,0.0,0.11,0.0,0.0,0.0,0.0011366666666666,0.0146666666666666
