code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
GUY,Guyana,CAIT,Total excluding LUCF,All GHG,2.583981984,2.809932176,2.799124369,2.933598861,3.230418053,3.630217645,3.691347829,3.912296412,3.844005096,3.969518079,3.638373872,3.687966978,3.576129484,3.79624399,3.831002997,3.475541638,3.299588446,3.609090554,3.759316962,3.782911569,4.012024777,4.103605062,4.363277547,4.522921232,4.728265716,4.826754901,4.722775355,4.834386908,5.035075662
GUY,Guyana,CAIT,Total including LUCF,All GHG,9.587050563,9.813000756,9.802192948,9.93666744,10.23238903,11.01909282,11.38380581,11.7206437,11.87927501,11.94062289,11.6256635,12.37831225,12.27375041,12.55030301,12.94624959,12.58266166,12.3901093,12.70035714,12.84449392,12.86928996,13.13382972,20.8589254,21.10494924,21.25463926,21.44922851,21.56892375,18.84255126,18.91407237,19.12115165
GUY,Guyana,CAIT,Energy ,All GHG,1.258474695,1.231599535,1.166724375,1.176849215,1.500974055,1.620098895,1.668663045,1.816227194,1.844791343,1.835355493,1.761919642,1.742752503,1.717585365,1.722418227,1.773251088,1.57908395,1.433805079,1.702526209,1.701247338,1.723968468,1.858689597,1.928090321,2.101491044,2.075891768,2.157292491,2.148693215,2.4120139,2.416334586,2.535655272
GUY,Guyana,CAIT,Industrial Processes ,All GHG,0.001678543,0.002177076,0.002675609,0.003174142,0.003672675,0.004171207,0.006293255,0.008415302,0.01053735,0.012659397,0.014781445,0.015419467,0.016057489,0.016695511,0.017333533,0.017971555,0.021247937,0.024524319,0.027800701,0.031077082,0.034353464,0.040182385,0.046011306,0.051840227,0.057669148,0.063498068,0.070758105,0.078018142,0.085278179
GUY,Guyana,CAIT,Agriculture ,All GHG,1.1959607,1.4477303,1.5007419,1.6240358,1.5956744,1.8752934,1.8847153,1.9549556,1.854956,1.9867607,1.7221771,1.7858221,1.6965365,1.9109529,1.8872638,1.7250788,1.6907154,1.7278073,1.8756235,1.8728079,1.9635109,1.9790465,2.0586743,2.2372733,2.3545731,2.4550176,2.0794351,2.1784437,2.2515295
GUY,Guyana,CAIT,Waste ,All GHG,0.127868046,0.128425266,0.128982485,0.129539704,0.130096923,0.130654143,0.131676229,0.132698316,0.133720402,0.134742489,0.139495685,0.143972907,0.14595013,0.146177353,0.153154575,0.153407333,0.153820029,0.154232726,0.154645423,0.155058119,0.155470816,0.156285856,0.157100897,0.157915937,0.158730978,0.159546018,0.160568249,0.16159048,0.162612711
GUY,Guyana,CAIT,Land-Use Change and Forestry ,All GHG,7.003068579,7.003068579,7.003068579,7.003068579,7.001970979,7.388875179,7.692457984,7.808347283,8.035269917,7.971104809,7.987289632,8.69034527,8.697620923,8.754059022,9.11524659,9.107120023,9.090520857,9.09126659,9.085176957,9.08637839,9.121804939,16.75532033,16.74167169,16.73171802,16.72096279,16.74216885,14.11977591,14.07968546,14.08607599
GUY,Guyana,CAIT,Bunker Fuels ,All GHG,0.035,0.032,0.029,0.029,0.035,0.041,0.035,0.041,0.032,0.038,0.041,0.032,0.032,0.032,0.032,0.029,0.026,0.029,0.029,0.032,0.029,0.032,0.057,0.032,0.032,0.041,0.064,0.066,0.062
GUY,Guyana,CAIT,Electricity/Heat ,All GHG,0.349,0.349,0.336,0.336,0.384,0.412,0.406,0.438,0.469,0.403,0.39,0.377,0.377,0.675,0.685,0.501,0.514,0.596,0.584,0.748,0.761,0.752,0.746,0.803,0.784,0.787,0.844,0.863,0.928
GUY,Guyana,CAIT,Manufacturing/Construction ,All GHG,0.51,0.504,0.469,0.472,0.567,0.627,0.633,0.703,0.719,0.687,0.655,0.645,0.639,0.338,0.363,0.382,0.268,0.404,0.411,0.209,0.307,0.357,0.497,0.462,0.509,0.493,0.604,0.588,0.624
