IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,0.0018471903659999,0.0017265912209999,0.0018480368519999,0.001962046575,0.0016557723719999,0.0024667040069999,0.002789345187,0.003243612987,0.0036123650549999,0.003749929911,0.0037313951039999,0.0043823788289999,0.004619768769,0.005058095904,0.0065684300399999,0.0071762203799999,0.0068560120799999,0.0074975530499999,0.00804145518,0.00795361761,0.0101857040999999,0.0115518415499999,0.01231297866,0.01919985093,0.02855443914,0.03509513095257,0.04007699281566,0.04558291658865,0.04167437534226,0.0452485494711,0.0449854438778999,0.0466413013504799,0.04787517084876,0.0514137653073,0.0531594377846999,0.0527281049844,0.056699667585,0.0610850774979,0.0652404407508,0.0745138510092,0.0758064995244,0.08097001100001,0.08526652657461,0.0887476895248499,0.0981727171829099,0.0967695798577499,0.10283689399968,0.1073193872301,0.1204749246581999
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.1.a,Main Activity Electricity and Heat Production,bio,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,6.0264e-05,6.026394141e-05,7.533001115999999e-05,7.533001395e-05,7.532998604999999e-05,7.53299721e-05,7.53299721e-05,9.03961116e-05,0.0001205280557999,0.0001657259163,0.0002259900836999,0.0003013199441999,0.0003314516931,0.0004821122789999,0.000542376,0.0007081024463999,0.0009491599529999,0.0014312710881,0.00302826719691,0.00381169902951,0.0024708241116,0.00392034358251,0.0075827223895499,0.0097123709242799,0.005011451847,0.005011451847
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,CH4,MtCO2,0.0017411508359999,0.001728240948,0.0025040004479999,0.004621554927,0.005192719542,0.003165982074,0.0015099145199999,0.0041843303999999,0.0042829234199999,0.00506739051,0.00607728402,0.00604221093,0.0068872517099999,0.00635633703,0.0092357314199999,0.0101272090157999,0.01159750827,0.0122567434199999,0.0130671045,0.01348191333,0.0329215675499999,0.0385572894299999,0.0412568794799999,0.04122717435,0.043553781576,0.051571012581,0.0485539517789999,0.0518762463929999,0.06664060638,0.052391665413,0.0356905532699999,0.0395381024909999,0.047014893198,0.051885992421,0.044417082069,0.041385129084,0.040749531372,0.036674239752,0.0369143471519999,0.038719629765,0.03940618878,0.038580771465,0.032552851752,0.031919345424,0.032404447188,0.031498650252,0.034687884465,0.0300531107969999,0.029503238346
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,0.0058173732,0.0058173732,0.0062377703999999,0.0066479841,0.0071646921,0.0090917451,0.0091751381999999,0.0113904261,0.0147876417,0.017558028,0.0209183319,0.0221488335,0.0221090481,0.022465638,0.0189783333,0.0327883032,0.0373505949,0.0350762426999999,0.0451401353999999,0.0468875905199999,0.0495215569799999,0.0506422469699999,0.0541229589,0.05879062611,0.06552109935,0.07742102967,0.07583310396,0.0803686088699999,0.08027802594,0.10761300351,0.0920733535799999,0.09499332573,0.09337774833,0.13770929151,0.1323174742199999,0.14284074321,0.18123006627,0.2251867032,0.18676515285,0.1722908141999999,0.14105266848,0.11358580203,0.1086676179299999,0.10799372412,0.1430402449499999,0.17111632185,0.14933423943,0.1804190132699999,0.2026868240879999
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.0058458311999999,0.2596870061999999,0.2690629407,0.2758174748999999,0.2827464957,0.289396377,0.2920830633,0.2954982465,0.2990085966,0.3003191711999999,0.3033597410999999,0.3062194631999999,0.2857940964,0.2708126613,0.2579031918,0.2415308579999999,0.2259900279,0.2452667796,0.2316508542,0.2331623924999999,0.2337068888999999,0.2398400343,0.2294481213,0.2252358351,0.2697638166,0.2935056284999999,0.3148045443,0.2825878283999999,0.2773296269999999,0.2365279973999999
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,5.666494185e-05,5.666494185e-05,6.47559279e-05,6.474208112999999e-05,7.407466460999999e-05,9.710580771e-05,0.0001518596776799,0.00014873461821,0.0002028746825999,0.0001748769182099,0.0002065994972099,0.0001941561195299,0.0001848232793699,0.00017922958605,0.0001823265195299,0.0001816846604999,0.0001779597315,0.0002339551654199,0.000256972671,0.0002812467814199,0.0001754769049199,0.0003876425944199,0.0004417677574199,0.00050833744479,0.00055561427379,0.00051330448179,0.00056557373679,0.0005798886687899,0.0003957048602099,0.00032478417621,0.0003614866289999,0.00048716245521,0.000535066199442,0.000687498129,0.00092517794721,0.000693105193395,0.0007198465049999,0.0007416249659999,0.000769620942,0.000798873254442,0.001012282586442,0.001048368727395,0.001174045949442,0.001260521999442,0.001288515465,0.0013295745,0.0015230902963949,0.0017067434366519,0.00181142906391
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.3.b_noRES,Road Transportation no resuspension,bio,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.230389442e-05,6.612306807599999e-05,6.386315914799999e-05,0.0003332093194439,0.000609838758,0.000982552626,0.0018326935259999,0.0028707400889999,0.00449394228,0.0018696906,0.0073738862999999,0.00648424737,0.00648424737
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,0.062303411322,0.0623034145249199,0.06543430792956,0.0717686020511999,0.0793470347739,0.0886918068152999,0.0959391317402999,0.1053884671784999,0.1186346212397999,0.1277786392217999,0.1397331822015,0.15341097069,0.154683986868,0.146924307459,0.150339334977,0.1537747880849999,0.1671507472589999,0.1814711351039999,0.1948707866789999,0.2105471382389999,0.2366107041237299,0.2519628297363,0.26782197653862,0.2781080271457199,0.311305469573196,0.3423002615262,0.37710540988092,0.42485387363577,0.4358617372403099,0.4393580905827,0.46301254898886,0.48555326895786,0.50450534528049,0.5321627735543999,0.58508061310539,0.6161417117838,0.5904341949771,0.6250673040695999,0.6574256628235199,0.7102888219624499,0.7530452373995999,0.8435781817596,0.9430736167134,1.0069343754012,1.0198215468306,1.0278683170164,1.0681683177294,1.098438990606,1.1658959499258
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.3.c,Railways,fossil,CH4,MtCO2,7.3377e-05,7.3377e-05,7.041959999999999e-05,4.5477e-05,5.13918e-05,7.48278e-05,6.31098e-05,6.31098e-05,5.3289e-05,4.60908e-05,3.3089399999999995e-05,2.58912e-05,2.15946e-05,1.4396399999999998e-05,5.747399999999999e-06,4.60908e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Indonesia +,IDN,Indonesia,1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,0.0003298617,0.0003298617,0.0004228245,0.0004566113999999,0.0005581674,0.0005665653,0.0006341391,0.0007610841,0.000947205,0.0016090766999999,0.0014737338,0.0015149420999999,0.0015403310999999,0.0015698214,0.0015118172999999,0.0015118172999999,0.001449126,0.0015348627,0.0015016617,0.0053564931,0.0063193221,0.0073503108,0.0074483513999999,0.0086183937,0.0097339472999999,0.0109285974,0.0124579916999999,0.0139897295999999,0.0146256264,0.0137481434999999,0.0134807777999999,0.0142574858999999,0.0140813253,0.0133786359,0.0119900529,0.0110278098,0.0099526833,0.0091304703,0.0096046586999999,0.0115707437999999,0.0124654131,0.0177490592999999,0.0232656984,0.0236424321,0.0233815113,0.0172354203,0.0202260492,0.0222149844,0.02357755344
