code,name,unit,sector,source,subsource,gas,year,value
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1990,14.0225028663946
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1991,14.416207149796
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1992,14.8099114331973
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1993,15.2036157165987
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1994,15.59732
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1995,16.42278
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1996,17.24824
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1997,18.0737
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1998,18.89916
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,1999,19.72462
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2000,20.55008
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2001,21.1674805167981
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2002,21.7848810335961
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2003,22.4022815503942
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2004,23.0196820671923
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2005,23.6370825839904
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2006,24.6167556369733
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2007,25.5964286899562
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2008,26.5761017429392
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2009,27.5557747959221
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2010,28.5354478489051
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2011,28.5411941904001
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2012,28.5469405318952
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2013,28.5526868733903
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2014,28.5584332148854
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2015,28.5641795563804
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2016,28.9338943893166
IDN,Indonesia,MtCO2eq,Agriculture,AgSoils,,N2O,2017,29.3036092222527
