code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,136.3734823,3818.4575044,3682.0840221
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,3.535607352,936.93594828,965.220807096
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,18552.98,519483.44,500930.46
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,97890.3,97890.3,97890.3
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,956.2187151,253397.9595015,261047.7092223
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,909.3119,25460.7332,24551.4213
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,37.360068,9900.41802,10199.298564
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,AFOLU,Synthetic fertilizer application (N2O),N2O,265,273.0,449.42,119096.3,122691.66
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Buildings,Residential,CH4,28,27.0,46.8,1310.4,1263.6
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Buildings,Residential,N2O,265,273.0,0.624,165.36,170.352
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Energy systems,Electricity & heat,CO2,1,1.0,5989602.0,5989602.0,5989602.0
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Energy systems,Electricity & heat,CH4,28,27.0,67.8456,1899.6768,1831.8312
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Energy systems,Electricity & heat,N2O,265,273.0,23.9935,6358.2775,6550.2255000000005
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,60539.4687,60539.4687,60539.4687
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,1800733.957,54022018.71,53661871.9186
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Energy systems,Oil and gas fugitive emissions,N2O,265,273.0,1.087023,288.061095,296.75727900000004
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Energy systems,Other (energy systems),CO2,1,1.0,1688866.0,1688866.0,1688866.0
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Energy systems,Other (energy systems),CH4,28,27.0,207.76,5817.28,5609.52
ISR,Israel,Middle East,Middle East,Middle East,developed,1970,Energy systems,Other (energy systems),N2O,265,273.0,363.19303,96246.15295,99151.69719
