IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.1.a,Main Activity Electricity and Heat Production,bio,CH4,MtCO2,0.007728021,0.007728021,0.0077815889999999,0.006857541,0.007246746,0.006740361,0.0068332679999999,0.006079131,0.006731154,0.005607063,0.005656446,0.005592834,0.005996268,0.006035607,0.0057677669999999,0.0050337179999999,0.0051065369999999,0.0051793559999999,0.005257197,0.0068868359999999,0.0073647629999999,0.007142958,0.006921153,0.00635283,0.0065620799999999,0.006174549,0.006357852,0.006546177,0.005138343,0.005107374,0.005150061,0.0042703739999999,0.001555983,0.0015760709999999,0.0017911799999999,0.00181629,0.001863162,0.0021469049999999,0.0013182749999999,0.0031471199999999,0.0031931549999999,0.003459321,0.002694303,0.002547828,0.0024256259999999,0.002826549,0.003558087,0.00436077,0.00436077
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,0.0005461713485999,0.0006201024425999,0.00077961016314,0.0010137300668999,0.0010608870040199,0.000533177928,0.00054965977488,0.0005923645081199,0.00055603712898,0.00058899001986,0.00056563429374,0.00056518794954,0.00063032182758,0.0006587113581899,0.0006651132615,0.0006589244835,0.0006061007159999,0.0007000900406999,0.0007646172165,0.000951586137,0.0010329691257,0.0011644337304,0.0024601928166,0.0034692612399,0.0029969158302,0.0039640290984,0.0038418602436,0.0040531288365,0.0041920928495999,0.0042355007856,0.0042572613906,0.0043488217692,0.0044169370356599,0.0046553235804,0.0035272167241499,0.0033654168260999,0.0029128481639999,0.0029749619339999,0.0021894712209,0.0022349599109999,0.002235605238,0.0022174417799999,0.002187113085,0.002087420247,0.0020034086039999,0.0020932622279999,0.002247459111,0.0021401345240189,0.0025637474964329
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,CH4,MtCO2,9.2283156e-05,9.9102474e-05,0.000102681765,0.000123938496,0.0001096824329999,2.68398e-05,2.55006e-05,2.0088e-05,2.0088e-05,2.14272e-05,2.0088e-05,1.87488e-05,1.7409599999999997e-05,1.87488e-05,1.87488e-05,1.87488e-05,1.7409599999999997e-05,4.810518e-05,5.119789499999999e-05,2.01159e-05,7.567540199999999e-05,,8.9535843e-06,7.021704600000001e-06,1.18994616e-05,9.6245793e-06,9.7216992e-06,1.00369692e-05,1.0014928199999998e-05,9.959184e-06,7.38495423e-06,7.48729143e-06,1.01771109e-05,1.01770272e-05,4.8225708e-06,4.815623699999999e-06,4.815623699999999e-06,4.815623699999999e-06,,,,,,,,,,,
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.0004510314,0.00050989482,0.000496899,0.00046937844,0.0004777875,0.0004571470799999,0.0005114237399999,0.0005045436,0.00037917216,0.0004510314,0.00044644464,0.0005114237399999,0.0028487406599999,0.0030187074599999,0.00348675786,0.0033910776,0.00351653274,0.00315022806,0.002738385,0.0023756849999999,0.0020865851999999,0.0022724940599999,0.0028362860999999,0.00308606922,0.00359514936,0.0032612756399999,0.00252370566,0.0017738066699999,0.0018850356
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,0.002119284,0.002119284,0.0025130087999999,0.0040449699,0.0034614134999999,0.0045210554999999,0.0034985763,0.0039831156,0.0038317022999999,0.0038464334999999,0.0042375636,0.0042692022,0.0029952044999999,0.0028444608,0.0027415098,0.0021062268,0.0017791272,0.0017897571,0.0017308044,0.0034445619,0.0042901551,0.00427149,0.0034847909099999,0.002249614665,0.00309172455,0.00181507635,0.00219937095,0.00212872815,0.0022839358499999,0.00244059435,0.0024097481099999,0.0024413030099999,0.002487564,0.0024933672,0.003855985065,0.0038066578649999,0.0057824507699999,0.00575335386,0.0048397418549999,0.00259570161,0.00220635711,0.002622274965,0.0025690571099999,0.003321200655,0.003185941455,0.0029633427,0.0031469805,0.002603227635,0.00304995870477
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,3.1248e-06,3.1248e-06,3.1248e-06,2.4970472099999995e-06,1.8693e-06,1.8693e-06,1.8693e-06,1.8693e-06,1.255501395e-06,1.255501395e-06,1.255501395e-06,1.8693e-06,1.8693e-06,1.255501395e-06,1.255501395e-06,1.255501395e-06,1.255501395e-06,1.8693e-06,1.255501395e-06,1.255501395e-06,1.255501395e-06,1.255501395e-06,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,6.27749442e-07,,,,,,,,,,,,,
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,0.008467087815,0.008467087815,0.0068002288757999,0.0064400797728,0.0057201725295,0.0060868967975999,0.0060554498148,0.00558834600321,0.00541096750962,0.0051912028701,0.00458416029195,0.004878209259,0.0052793942121,0.00522062032878,0.00474083849772,0.0046370186973,0.0047654021989799,0.00521686635309,0.0055963374587999,0.00574213965309,0.00613814340321,0.00591103346373,0.00674887737177,0.00723888751581,0.00730716685659,0.00908211342852,0.0105796849103999,0.0112669294841999,0.0121163459607,0.0125549908767,0.0128472514955999,0.0123324573797999,0.0138207549798,0.0134963168445,0.0136186945028999,0.0141864147513,0.0137542161303,0.0131485822371,0.0129642944508,0.0126566693018999,0.0118252966482,0.0116229183903,0.0100232051814,0.0101398325103,0.0103529043918,0.0103245362019,0.0125130904613999,0.0122768094069,0.0147802037832
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.3.b_noRES,Road Transportation no resuspension,bio,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001098981279,0.00011441804229,0.0001054622036699,0.0001098981279,0.00011667794508,0.00011759846094,0.00011759846094
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.3.c,Railways,fossil,CH4,MtCO2,0.0003165561899999,0.0003165561899999,0.00037699596,0.0006143552099999,0.00051663267,,,,,,,,,,,,,,,,5.580837e-05,2.3272785e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3979e-06,1.30851e-05,1.57533723e-05
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.4,Other Sectors,fossil,CH4,MtCO2,0.0004272885,0.0004272885,0.0004801589999999,0.0005196374999999,0.0005581394999999,0.001321065,0.001455543,0.0014286194999999,0.0012715424999999,0.001205559,0.000956691,0.000934092,0.0008809425,0.000758585655,0.000785802105,0.000871940565,0.000988674165,0.0011834022149999,0.0012144256199999,0.000838395,0.00106405857,0.00078558867,0.00085930326,0.0010655135549999,0.00098993106,0.0010756566,0.0010738431,0.0010370150999999,0.0010879326,0.0010656125999999,0.00105744906,0.0010757961,0.00074177451,0.0007615835099999,0.00109333683,0.00124876773,0.00170216226,0.00180059067,0.001186287075,0.00105875478,0.001006599915,0.0009944090099999,0.0011438497799999,0.000841769505,0.00065538495,0.00080489826,0.0008420219999999,0.00089045082,0.0010720289862
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.4,Other Sectors,bio,CH4,MtCO2,0.0018916199999999,0.0018916199999999,0.0018916199999999,0.00201717,0.00214272,0.00214272,0.00214272,0.00214272,0.00214272,0.00214272,0.00214272,0.0023938199999999,0.0018916199999999,0.0017660699999999,0.0035321399999999,0.0036576899999999,0.0035321399999999,0.0036576899999999,0.00403434,0.00428544,0.01796202,0.01771929,0.01747656,0.01783647,0.01765233,0.01745982,0.0178281,0.01765233,0.01801224,0.01781973,0.0181461599999999,0.01790343,0.01817127,0.0178866899999999,0.017577,0.01781136,0.01748493,0.01716687,0.01684044,0.01704969,0.0227245499999999,0.02772144,0.02772144,0.03238911,0.0306620999999999,0.0306620999999999,0.0306620999999999,0.03064815,0.03064815
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.5,Non-Specified,fossil,CH4,MtCO2,0.0006040349999999,0.0006040349999999,0.0006040349999999,0.0012080699999999,0.0012080699999999,0.0014733989999999,0.000384741,0.0015660269999999,0.003144609,0.0028653299999999,0.000677133,0.000319455,0.000543492,0.000900612,0.0007756199999999,0.0009067499999999,0.0013796549999999,0.0007125659999999,0.000710892,0.0011796119999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Rest Central America,JAM,Jamaica,1.B.1,Solid Fuels,bio,CH4,MtCO2,0.04769226,0.047305566,0.050067108,0.052776756,0.0492418259999999,0.048829185,0.054407232,0.0539435339999999,0.0534798359999999,0.053016138,0.05255244,0.0550034549999999,0.031590054,0.0369395999999999,0.1437653519999999,0.1452613499999999,0.1466156159999999,0.142579602,0.143883648,0.145224801,0.08787384,0.09055503,0.09323622,0.09323622,0.09591741,0.0985986,0.0985986,0.1011933,0.1011933,0.10387449,0.10387449,0.10655568,0.10655568,0.1092368699999999,0.11191806,0.11191806,0.11451276,0.1171939499999999,0.1198751399999999,0.1198751399999999,0.09323622,0.1011933,0.1011933,0.1011933,0.1011933,0.1011933,0.1011933,0.10231767,0.1025442179999999
Non-Annex_I,Rest Central America,JAM,Jamaica,1.B.2,Oil and Natural Gas,fossil,CH4,MtCO2,0.0126706625189999,0.0126706625189999,0.012569916177,0.0137485600469999,0.0120366793799999,0.01051992657,0.0088928914769999,0.0069112663559999,0.007042690422,0.0078768052829999,0.006466413411,0.005434151355,0.007952365458,0.007112739789,0.004629083742,0.006257969442,0.005733791496,0.0045829742489999,0.005209381701,0.0061778476169999,0.009418553424,0.006469488549,0.00879328764,0.005381444628,0.0058986419939999,0.005304113361,0.005148814707,0.005175298224,0.005239634229,0.003750106518,0.007776490833,0.007772178609,0.008457286545,0.006483501603,0.005534335233,0.003415985325,0.0074513422799999,0.0079123886639999,0.0082931106689999,0.0087344272889999,0.0084037520249999,0.0089055569609999,0.008839108368,0.00855560475,0.0070191422639999,0.0089276629679999,0.0089572710059999,0.007471068696,0.00719744949
Non-Annex_I,Rest Central America,JAM,Jamaica,3.A.1,Enteric Fermentation,fossil,CH4,MtCO2,0.510128622,0.505999422,0.501605172,0.504692028,0.508017708,0.51316191,0.520493472,0.524000502,0.506059128,0.512598888,0.54074664,0.5224219199999999,0.5674045320000001,0.638327448,0.6780659759999998,0.634494546,0.7052974919999999,0.7106704739999999,0.681241554,0.677388564,0.7426366199999999,0.812453301,0.8893629989999999,0.8962208190000001,0.86644008,0.8903838599999999,0.83524788,0.79894719,0.798435225,0.79804602,0.7975521899999999,0.7890447825,0.7796494574999999,0.82342665,0.7377387750000001,0.6911362889999999,0.4438333116,0.407471688,0.4058930781,0.3987016299,0.4099020569999999,0.4145939999999999,0.424631583,0.4240813949999999,0.4233166559999999,0.4155138908999999,0.3736864899,0.3592277612999999,0.3454805106
Non-Annex_I,Rest Central America,JAM,Jamaica,3.A.2,Manure Management,fossil,CH4,MtCO2,0.017373714462,0.018055231947,0.0177361092359999,0.0180117537029999,0.017894724921,0.01832538402,0.018478147122,0.018996825699,0.0185035718339999,0.01901357658,0.019616365566,0.019380621447,0.019410083289,0.0208403873909999,0.021726063126,0.020910127068,0.0214681376699999,0.021735829521,0.021098299455,0.021906550458,0.0241939191239999,0.023189541444,0.025424853732,0.0254240178479999,0.024864745329,0.0246415659749999,0.0248660013869999,0.024587854848,0.0245878556849999,0.0254244307679999,0.025815033,0.026539909875,0.025702951725,0.0268181775,0.0264960022499999,0.0279622727999999,0.0227812232699999,0.0213311960999999,0.022304114856,0.0218565765359999,0.02112588,0.0209660129999999,0.02153538225,0.0216192915,0.0216192915,0.0215601197849999,0.02139237522,0.021216232476,0.021141011286
Non-Annex_I,Rest Central America,JAM,Jamaica,3.C.1,Emissions from biomass burning,bio,CH4,MtCO2,0.0314845423658999,0.0315800447913,0.0318454322418,0.0280943416071,0.0297289652489999,0.0279072904374,0.0281882096225999,0.0253845735254999,0.0285299350443,0.0234838835981999,0.02200322061,0.0196128788472,0.01988568872163,0.0184794480989999,0.0194248680012,0.0182657012886,0.0178146511398,0.0160663401315,0.0203235263316,0.01791419922423,0.0194286719709,0.0212467562756999,0.0197984073185999,0.0209056027203,0.0193969554740999,0.01885661957232,0.0208020078162,0.01895873811444,0.01768724387865,0.01811125651689,0.01573982532108,0.01728215652186,0.01525312281411,0.01384112999547,0.01538835440427,0.010687264237494,0.013566888301968,0.0152078269325399,0.0128256369191999,0.01056458527974,0.01104865538544,0.0120905584789499,0.0117808692155099,0.0112031714053799,0.01397899952784,0.0124010740036799,0.009128406855339,0.0091767090640229,0.00842551657785
Non-Annex_I,Rest Central America,JAM,Jamaica,3.C.7,Rice cultivations,fossil,CH4,MtCO2,0.0023448479669999,0.001826274294,0.000562446702,0.000775857708,0.000873473112,0.00752719122,0.0052939329299999,0.003126765555,0.00615438288,0.0030276106289999,0.0045266081579999,0.003645912015,0.0027589124249999,0.004093029045,0.007250393088,0.006383926224,0.003471292332,0.004788347823,0.0017123122799999,0.0006498262097999,0.00038474379,0.000843309864,0.0008380373219999,0.0003344617403999,0.0003311628444,0.0002420492678999,7.64651115e-05,6.40539918e-05,5.561477189999999e-05,9.84051972e-05,4.30383726e-05,7.94555172e-05,3.64171446e-05,4.30383726e-05,2.317455747e-05,3.31063911e-06,3.31063911e-06,7.28342892e-05,9.93194523e-05,0.0001224941408999,0.0001853964485999,0.0001456685784,0.0002019496581,3.310639109999999e-05,1.986389046e-05,1.3242612239999998e-05,9.93194523e-06,3.31063911e-06,
Non-Annex_I,Rest Central America,JAM,Jamaica,4.A,Solid Waste Disposal,fossil,CH4,MtCO2,0.0398205539999999,0.046746729,0.04834791,0.0500124239999999,0.051702327,0.0533874869999999,0.055056186,0.056704797,0.0583698689999999,0.0601113869999999,0.061975386,0.063642969,0.065383929,0.067176783,0.068916627,0.0705211559999999,0.071703558,0.072689544,0.073573137,0.074448639,0.07539417,0.0771702839999999,0.0786501,0.081380115,0.082994967,0.0846190259999999,0.085850532,0.086840982,0.087565545,0.088890795,0.090252315,0.09157896,0.0930063239999999,0.0947659769999999,0.0960968069999999,0.097272513,0.098828775,0.100136169,0.1009117889999999,0.1008077219999999,0.1012114349999999,0.102462471,0.1032858,0.1042756919999999,0.105335055,0.1064435219999999,0.107639595,0.108746109,0.110038437
Non-Annex_I,Rest Central America,JAM,Jamaica,4.C,Incineration and Open Burning of Waste,fossil,CH4,MtCO2,0.0009103881599999,0.00092001924,0.00093083328,0.0009421718399999,0.00095310864,0.00096304104,0.0009715895999999,0.00097905564,0.00098627616,0.00099444528,0.0010042883999999,0.0010160956799999,0.00102949884,0.0010431921599999,0.00105533424,0.0010647198,0.00107065692,0.0010738933199999,0.00107561196,0.0010776096,0.00108109152,0.00108645948,0.00109322244,0.0011008893599999,0.00110866788,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011159999999999,0.0011188792799999,0.00112175856,0.0011246378399999,0.00112847688,0.00113096556,0.0011334653999999,0.00113595408
Non-Annex_I,Rest Central America,JAM,Jamaica,4.D,Wastewater Treatment and Discharge,fossil,CH4,MtCO2,0.2946643640459999,0.298577157417,0.301737899592,0.3029265163169999,0.309656874051,0.3124841810939999,0.316813168251,0.3146901989399999,0.3172450663889999,0.319876617546,0.3195407481389999,0.32321464218,0.325603367361,0.3313835766449999,0.335852017209,0.340777234062,0.3424084909829999,0.343746730665,0.347210099676,0.3479541968609999,0.3515060554649999,0.3563071661429999,0.3592004505479999,0.3610727152019999,0.364920091722,0.370359135342,0.374127176817,0.377978756751,0.378000349119,0.384473529117,0.387797780079,0.391828265136,0.393066578178,0.395688081708,0.400673110302,0.4004544613499999,0.403354877274,0.407118455028,0.407683850202,0.40825168272,0.4088321935559999,0.412249001652,0.4136750392859999,0.4146174996119999,0.4184012596679999,0.4190260863059999,0.41845957569,0.419946795792,0.421262252892
Non-Annex_I,Rest Central America,JAM,Jamaica,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CO2 (fossil),MtCO2,1.449659558,1.449659658,1.726238921,1.942028106,1.997609651,1.222425037,1.269900431,1.2935143720000002,1.220061996,1.282121181,1.244191213,1.246407706,1.370228674,1.437629293,1.32457377,1.31443203,1.2134758,1.3981346,1.52604193,1.735246,1.8802109,1.9605782,3.6100103,4.750386499999999,4.0359511,5.231140900000001,5.0516144,5.2328147,5.4426884,5.4951162,5.5012815,5.5392914,5.645359099999999,5.9332533000000005,4.50356232,4.28708164,3.662907,3.720596,2.7760742,2.8525430000000003,2.850316,2.8257510000000003,2.778106,2.649421,2.5380320000000003,2.656122,2.811766,2.5682882,3.083990692
