code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
KGZ,113,Kyrgyzstan,5058,Enteric Fermentation,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.8815,113.4989,103.6095,84.6535,78.0698,74.4556,77.0617,78.8641,80.5271,81.4967,82.5131,83.8246,83.4275,85.8348,88.7142,92.0584,96.1025,104.9752,107.8025,111.1442,113.7437,117.4668,121.8162,123.7379,126.7267,129.6623,133.238,137.1321,,106.0396,116.793
KGZ,113,Kyrgyzstan,5058,Enteric Fermentation,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.554,118.031,97.4525,89.9706,85.3798,87.8451,89.7835,91.645,92.8576,94.1466,95.7711,95.6302,98.3188,101.553,105.479,110.134,115.467,121.011,123.724,,,,,,,,,,,,
KGZ,113,Kyrgyzstan,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3384.682,3177.9692,2901.066,2370.298,2185.9544,2084.7574,2157.7276,2208.1944,2254.7587,2281.9072,2310.3663,2347.0897,2335.971,2403.3746,2483.9977,2577.6346,2690.8696,2939.3062,3018.4687,3112.0387,3184.8247,3289.0716,3410.8546,3464.6626,3548.3467,3630.5436,3730.6641,3839.6996,,2969.1092,3270.2027
KGZ,113,Kyrgyzstan,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599.512,3304.868,2728.67,2519.1768,2390.6344,2459.6628,2513.938,2566.06,2600.0128,2636.1048,2681.5908,2677.6456,2752.9264,2843.484,2953.412,3083.752,3233.076,3388.308,3464.272,,,,,,,,,,,,
KGZ,113,Kyrgyzstan,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3384.682,3177.9692,2901.066,2370.298,2185.9544,2084.7574,2157.7276,2208.1944,2254.7587,2281.9072,2310.3663,2347.0897,2335.971,2403.3746,2483.9977,2577.6346,2690.8696,2939.3062,3018.4687,3112.0387,3184.8247,3289.0716,3410.8546,3464.6626,3548.3467,3630.5436,3730.6641,3839.6996,,2969.1092,3270.2027
KGZ,113,Kyrgyzstan,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599.512,3304.868,2728.67,2519.1768,2390.6344,2459.6628,2513.938,2566.06,2600.0128,2636.1048,2681.5908,2677.6456,2752.9264,2843.484,2953.412,3083.752,3233.076,3388.308,3464.272,,,,,,,,,,,,
KGZ,113,Kyrgyzstan,5059,Manure Management,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3987,6.9749,6.5666,5.8045,5.5469,5.4645,5.615,5.8253,6.0183,6.1242,6.2036,6.3222,6.1967,6.3535,6.587,6.834,7.0848,7.4695,7.7497,7.8426,8.0222,8.3614,8.6583,8.5687,8.8794,9.0459,9.2816,9.5225,,7.9806,8.8032
KGZ,113,Kyrgyzstan,5059,Manure Management,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7434,5.4586,4.8293,4.634,4.4656,4.5987,4.7837,4.9369,5.0291,5.1098,5.2132,5.1235,5.2634,5.4054,5.596,5.8093,6.0589,6.3287,6.3981,,,,,,,,,,,,
KGZ,113,Kyrgyzstan,5059,Manure Management,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8479,0.7748,0.699,0.5643,0.5219,0.4955,0.5173,0.53,0.5388,0.5441,0.5535,0.5633,0.5761,0.5942,0.6139,0.6378,0.6679,0.7386,0.7476,0.777,0.792,0.8092,0.8409,0.8715,0.8874,0.9169,0.9473,0.9753,,0.756,0.8535
KGZ,113,Kyrgyzstan,5059,Manure Management,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.1631,195.2966,183.8651,162.5257,155.3121,153.0048,157.219,163.1093,168.5124,171.4786,173.7009,177.0215,173.508,177.8973,184.437,191.3518,198.3744,209.1472,216.9907,219.5928,224.6225,234.1199,242.4323,239.9232,248.6221,253.2839,259.885,266.6313,,223.4573,246.4884
KGZ,113,Kyrgyzstan,5059,Manure Management,724413,Emissions (CO2eq) from CH4 (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.8152,152.8408,135.2204,129.752,125.0368,128.7636,133.9436,138.2332,140.8148,143.0744,145.9696,143.458,147.3752,151.3512,156.688,162.6604,169.6492,177.2036,179.1468,,,,,,,,,,,,
KGZ,113,Kyrgyzstan,5059,Manure Management,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7032,205.3122,185.2482,149.5277,138.2942,131.3009,137.0898,140.4576,142.7692,144.1942,146.6644,149.2713,152.6758,157.4644,162.6711,169.0129,177.0028,195.7393,198.1089,205.9134,209.875,214.4248,222.8326,230.9383,235.1725,242.9813,251.0312,258.4588,,200.3353,226.1892
