code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,480.9260651,13465.9298228,12985.0037577
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,12.468463427,3304.142808155,3403.890515571
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,160552.6453,4495474.0684,4334921.4231
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,73040.0,73040.0,73040.0
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,4711.503237,1248548.357805,1286240.383701
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,10241.436019,286760.208532,276518.772513
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,529.09022,140208.9083,144441.63006000002
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,418.8663,11728.2564,11309.3901
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,AFOLU,Synthetic fertilizer application (N2O),N2O,265,273.0,786.115,208320.475,214609.395
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Coal mining fugitive emissions,CO2,1,1.0,4813.671,4813.671,4813.671
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Coal mining fugitive emissions,CH4,30,29.8,19776.816,593304.48,589349.1168
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Electricity & heat,CO2,1,1.0,1046773.3,1046773.3,1046773.3
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Electricity & heat,CH4,28,27.0,12.6704,354.7712,342.10080000000005
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Electricity & heat,N2O,265,273.0,9.3428,2475.842,2550.5844
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,216.18,216.18,216.18
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,713.3209,21399.627,21256.96282
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Oil and gas fugitive emissions,N2O,265,273.0,0.00674835,1.78831275,1.84229955
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Other (energy systems),CO2,1,1.0,3277029.0,3277029.0,3277029.0
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Other (energy systems),CH4,28,27.0,516.59,14464.52,13947.93
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Energy systems,Other (energy systems),N2O,265,273.0,323.35398,85688.8047,88275.63653999999
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Cement,CO2,1,1.0,438672.0,438672.0,438672.0
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Chemicals,CO2,1,1.0,132585.295,132585.295,132585.295
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Chemicals,N2O,265,273.0,0.894923,237.154595,244.313979
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Other (industry),CO2,1,1.0,8214060.0,8214060.0,8214060.0
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Other (industry),CH4,28,27.0,573.169,16048.732,15475.563
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Other (industry),N2O,265,273.0,127.149,33694.485,34711.677
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Other (industry),HCFC-141b,782,860.0,0.0,0.0,0.0
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Other (industry),HCFC-142b,1980,2300.0,0.0,0.0,0.0
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Waste,CH4,28,27.0,38593.809767,1080626.673476,1042032.863709
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Industry,Waste,N2O,265,273.0,158.9313,42116.7945,43388.2449
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Transport,Road,CO2,1,1.0,1704108.87,1704108.87,1704108.87
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Transport,Road,CH4,28,27.0,490.645152,13738.064256,13247.419104
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1970,Transport,Road,N2O,265,273.0,39.5744053,10487.2174045,10803.8126469
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,463.8780646,12988.5858088,12524.7077442
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,12.026466964,3187.0137454600003,3283.2254811720004
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,168140.1398,4707923.9144,4539783.7746
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,82280.0,82280.0,82280.0
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,4843.7896995,1283604.2703675,1322354.5879635
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,10754.941011,301138.348308,290383.407297
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,564.22352,149519.2328,154033.02096
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,AFOLU,Rice cultivation (CH4),CH4,28,27.0,460.517,12894.476,12433.959
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,AFOLU,Synthetic fertilizer application (N2O),N2O,265,273.0,786.115,208320.475,214609.395
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,Energy systems,Coal mining fugitive emissions,CO2,1,1.0,4813.671,4813.671,4813.671
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,Energy systems,Coal mining fugitive emissions,CH4,30,29.8,19776.816,593304.48,589349.1168
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,Energy systems,Electricity & heat,CO2,1,1.0,1046773.3,1046773.3,1046773.3
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,Energy systems,Electricity & heat,CH4,28,27.0,12.6704,354.7712,342.10080000000005
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,Energy systems,Electricity & heat,N2O,265,273.0,9.3428,2475.842,2550.5844
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,216.18,216.18,216.18
KGZ,Kyrgyz Republic,Eastern Europe and West-Central Asia,Eurasia,Eurasia,developing,1971,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,727.530756,21825.92268,21680.4165288
