code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
KHM,Cambodia,CAIT,Total excluding LUCF,All GHG,17.28494791,17.09688326,17.74516561,18.67706686,17.60318121,19.77340456,20.09602618,20.2755213,20.34360773,21.54422895,20.44532297,20.53664522,21.07106146,22.6475352,22.59790894,24.07426208,25.63823083,26.73805137,27.30602412,28.70715606,29.0644686,30.57981967,30.31451793,30.6032861,31.54575326,33.71978102,35.39254002,37.84077581,37.46154051
KHM,Cambodia,CAIT,Total including LUCF,All GHG,25.9854806,25.79741595,26.4456983,27.37759954,26.30371389,28.47393724,24.75744581,26.06250652,29.56456622,29.09355027,27.4318615,28.04314981,30.49205207,33.00470953,33.89222828,32.38345177,35.81644571,36.75955658,36.52173116,38.11761703,36.95544539,101.2815671,99.66305924,100.0989687,100.7471532,103.411408,68.73332875,70.80666071,69.14719468
KHM,Cambodia,CAIT,Energy ,All GHG,2.41470155,2.574711749,2.734721948,2.887404147,3.043750346,3.205496545,3.277726832,3.401957119,3.656187405,3.694417692,3.763647979,4.05148218,4.207316382,4.472150583,4.569984785,4.928818986,5.23613131,5.863443633,5.943755957,6.66506828,6.918380604,7.363397853,7.794415102,8.133432352,9.282449601,11.41846685,12.7585658,14.29966476,14.14976371
KHM,Cambodia,CAIT,Industrial Processes ,All GHG,0.000966963,0.003825488,0.006684013,0.009542537,0.054161062,0.056969587,0.107182236,0.097854885,0.109367534,0.061550183,0.073122832,0.078005018,0.082887205,0.087769391,0.092651577,0.097533764,0.116593217,0.16961267,0.449612123,0.530171575,0.493131028,0.588597003,0.668962977,0.758628952,0.940594926,1.032360901,1.196100839,1.321740777,1.447380715
KHM,Cambodia,CAIT,Agriculture ,All GHG,14.6112175,14.2511971,14.7275237,15.4947972,14.2108598,16.2074414,16.3978228,16.4526177,16.2451639,17.4455749,16.2560687,16.0419385,16.4029023,17.6969236,17.5318449,18.6317456,19.8564138,20.2629738,20.457706,21.0440374,21.1721494,22.1374291,21.351156,21.2016528,20.8035486,20.740205,20.9000021,21.672376,21.3082788
KHM,Cambodia,CAIT,Waste ,All GHG,0.258061901,0.267148926,0.276235951,0.285322975,0.29441,0.303497025,0.313294312,0.3230916,0.332888888,0.342686176,0.352483464,0.365219517,0.37795557,0.390691624,0.403427677,0.416163731,0.429092499,0.442021267,0.454950036,0.467878804,0.480807573,0.490395713,0.499983853,0.509571993,0.519160133,0.528748273,0.537871277,0.546994281,0.556117285
KHM,Cambodia,CAIT,Land-Use Change and Forestry ,All GHG,8.700532684,8.700532684,8.700532684,8.700532684,8.700532684,8.700532684,4.661419627,5.786985219,9.22095849,7.549321317,6.986538521,7.506504591,9.420990613,10.35717433,11.29431934,8.309189691,10.17821488,10.02150521,9.215707049,9.410460966,7.890976788,70.70174745,69.3485413,69.49568262,69.20139998,69.69162702,33.34078873,32.96588489,31.68565417
KHM,Cambodia,CAIT,Bunker Fuels ,All GHG,,,,,,0.031,0.031,0.031,0.022,0.031,0.043,0.04,0.031,0.04,0.049,0.062,0.068,0.141,0.126,0.101,0.132,0.157,0.2,0.228,0.264,0.28,0.264,0.332,0.364
KHM,Cambodia,CAIT,Electricity/Heat ,All GHG,,,,,,0.161,0.202,0.261,0.312,0.342,0.378,0.426,0.587,0.607,0.663,0.773,0.947,1.211,1.226,1.036,0.808,0.844,0.767,0.674,1.214,2.502,2.987,4.138,3.299
KHM,Cambodia,CAIT,Manufacturing/Construction ,All GHG,,,,,,0.029,0.042,0.045,0.055,0.058,0.071,0.074,0.084,0.093,0.103,0.126,0.136,0.145,0.149,0.168,0.199,0.212,0.23,0.269,0.199,0.226,0.667,0.661,0.72
KHM,Cambodia,CAIT,Transportation ,All GHG,,,,,,1.158,1.16,1.203,1.395,1.362,1.32,1.514,1.324,1.351,1.374,1.485,1.588,1.967,2.036,2.661,3.087,3.269,3.448,3.514,3.841,4.225,5.006,5.274,5.774
KHM,Cambodia,CAIT,Building,All GHG,,,,,,0.123,0.126,0.132,0.12,0.145,0.194,0.139,0.216,0.326,0.238,0.256,0.275,0.248,0.134,0.297,0.298,0.261,0.283,0.321,0.349,0.505,0.48,0.555,0.607
KHM,Cambodia,CAIT,Other Fuel Combustion ,All GHG,1.15428555,1.270327749,1.386369948,1.502412147,1.618454346,1.734496545,1.747726832,1.760957119,1.774187405,1.787417692,1.800647979,1.89848218,1.996316382,2.094150583,2.191984785,2.289818986,2.29113131,2.292443633,2.399755957,2.50306828,2.526380604,2.777397853,3.066415102,3.355432352,3.680449601,3.959466851,3.618565803,3.670664756,3.748763709
