code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
LIE,125,Liechtenstein,5061,Synthetic Fertilizers,7234,Direct emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037,0.0035,0.0036,0.0036,0.0033,0.0032,0.0032,0.0031,0.0027,0.0027,0.0029,0.0029,0.0031,0.003,0.0029,0.0029,0.0029,0.0029,0.003,0.0029,0.0027,0.0032,0.0028,0.0027,0.0026,0.003,0.0027,0.0028,0.0031,0.0029,,,
LIE,125,Liechtenstein,5061,Synthetic Fertilizers,7230,Emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037,0.0035,0.0036,0.0036,0.0033,0.0032,0.0032,0.0031,0.0027,0.0027,0.0029,0.0029,0.0031,0.003,0.0029,0.0029,0.0029,0.0029,0.003,0.0029,0.0027,0.0032,0.0028,0.0027,0.0026,0.003,0.0027,0.0028,0.0031,0.0029,,,
LIE,125,Liechtenstein,5061,Synthetic Fertilizers,724313,Emissions (CO2eq) from N2O (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9889,0.9349,0.9419,0.9436,0.8824,0.8356,0.8396,0.8203,0.7152,0.7267,0.764,0.7586,0.8189,0.8037,0.7728,0.7803,0.7657,0.7579,0.7973,0.7603,0.7269,0.8393,0.7465,0.7232,0.7011,0.7979,0.7179,0.7513,0.8169,0.7674,,,
LIE,125,Liechtenstein,5061,Synthetic Fertilizers,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9889,0.9349,0.9419,0.9436,0.8824,0.8356,0.8396,0.8203,0.7152,0.7267,0.764,0.7586,0.8189,0.8037,0.7728,0.7803,0.7657,0.7579,0.7973,0.7603,0.7269,0.8393,0.7465,0.7232,0.7011,0.7979,0.7179,0.7513,0.8169,0.7674,,,
LIE,125,Liechtenstein,5064,Crop Residues,7234,Direct emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,0.0019,0.0019,0.0019,0.002,0.002,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.002,0.002,0.0019,0.0019,0.0019,0.0019,0.0019,0.0018,0.0021,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0019,0.0019,,,
LIE,125,Liechtenstein,5064,Crop Residues,7230,Emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,0.0019,0.0019,0.0019,0.002,0.002,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.002,0.002,0.0019,0.0019,0.0019,0.0019,0.0019,0.0018,0.0021,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0019,0.0019,,,
LIE,125,Liechtenstein,5064,Crop Residues,724313,Emissions (CO2eq) from N2O (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4735,0.5032,0.5082,0.5119,0.5219,0.5344,0.5126,0.5071,0.502,0.4975,0.4923,0.4961,0.5006,0.5185,0.529,0.5093,0.5057,0.5098,0.5049,0.4985,0.4717,0.5491,0.476,0.4667,0.4841,0.4788,0.4811,0.4895,0.4906,0.4974,,,
LIE,125,Liechtenstein,5064,Crop Residues,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4735,0.5032,0.5082,0.5119,0.5219,0.5344,0.5126,0.5071,0.502,0.4975,0.4923,0.4961,0.5006,0.5185,0.529,0.5093,0.5057,0.5098,0.5049,0.4985,0.4717,0.5491,0.476,0.4667,0.4841,0.4788,0.4811,0.4895,0.4906,0.4974,,,
LIE,125,Liechtenstein,6729,Drained organic soils,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.638,0.6363,0.6346,0.633,0.6313,0.6296,0.628,0.6266,0.6252,0.6238,0.6224,0.621,0.6196,0.6169,0.6141,0.6113,0.6085,0.6058,0.603,0.6047,0.6063,0.608,0.6097,0.6113,0.613,0.6111,0.6092,0.6073,0.6054,0.6035,,,
LIE,125,Liechtenstein,67291,Drained organic soils (N2O),7230,Emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,,,
