code,name,unit,sector,source,subsource,gas,year,value
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1990,3.29692631003786
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1991,3.45700281937324
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1992,2.20604582817354
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1993,1.81546202325292
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1994,1.68019580315374
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1995,1.60404720391125
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1996,1.85682725759379
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1997,1.89072514911291
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1998,1.86501942561368
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,1999,1.80077832371797
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2000,1.81300655717241
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2001,1.77577870771851
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2002,1.86433900870557
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2003,1.88209156560837
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2004,1.89727601510268
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2005,1.92270005907973
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2006,1.88686884161058
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2007,2.01917492235697
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2008,1.99165994320165
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2009,2.10248781514583
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2010,2.11050671537812
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2011,2.16536646738376
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2012,2.26326499484805
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2013,2.26631569905637
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2014,2.40631736601182
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2015,2.46057466111091
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2016,2.37255787549074
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2017,2.37867887861708
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2018,2.38479988174343
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2019,2.39092088486977
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2020,2.39704188799611
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2021,2.40247071563132
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2022,2.40789954326653
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2023,2.41332837090174
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2024,2.41875719853694
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2025,2.42418602617215
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2026,2.42882343845584
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2027,2.43346085073954
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2028,2.43809826302323
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2029,2.44273567530692
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2030,2.44737308759061
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2031,2.4513907959898
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2032,2.45540850438898
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2033,2.45942621278816
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2034,2.46344392118735
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2035,2.46746162958653
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2036,2.47064845995568
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2037,2.47383529032483
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2038,2.47702212069399
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2039,2.48020895106314
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2040,2.48339578143229
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2041,2.48597706433566
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2042,2.48855834723903
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2043,2.4911396301424
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2044,2.49372091304577
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2045,2.49630219594914
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2046,2.49819052894698
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2047,2.50007886194482
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2048,2.50196719494266
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2049,2.5038555279405
LTU,Lithuania,MtCO2eq,Agriculture,AgSoils,,N2O,2050,2.50574386093834
LTU,Lithuania,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1990,4.31431569851506
LTU,Lithuania,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1991,4.10990946877919
LTU,Lithuania,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1992,3.52401793538753
