code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
LUX,256,Luxembourg,5058,Enteric Fermentation,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8478,14.8097,14.3138,13.7817,13.5619,13.4674,13.2902,13.8079,14.0539,14.1461,14.3439,13.9384,13.6623,14.1147,14.4094,14.6006,14.8597,15.0165,14.5626,14.505,,12.9042,11.964
LUX,256,Luxembourg,5058,Enteric Fermentation,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1998,15.2999,14.7926,14.3358,14.1746,14.1958,14.0552,14.5499,15.0271,15.1255,15.4029,14.9128,14.5597,14.9295,15.4067,15.8145,16.0739,16.2939,16.1348,16.062,,,
LUX,256,Luxembourg,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.7373,414.6705,400.7853,385.8867,379.7344,377.0872,372.1266,386.6216,393.5081,396.0901,401.6291,390.2757,382.5444,395.2116,403.4645,408.8176,416.0704,420.4628,407.7539,406.1401,,361.3186,334.9908
LUX,256,Luxembourg,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.5942,428.3978,414.1923,401.4016,396.8886,397.4811,393.5445,407.3969,420.7599,423.5135,431.282,417.5575,407.6708,418.025,431.3863,442.8049,450.0685,456.2284,451.775,449.7346,,,
LUX,256,Luxembourg,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.7373,414.6705,400.7853,385.8867,379.7344,377.0872,372.1266,386.6216,393.5081,396.0901,401.6291,390.2757,382.5444,395.2116,403.4645,408.8176,416.0704,420.4628,407.7539,406.1401,,361.3186,334.9908
LUX,256,Luxembourg,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.5942,428.3978,414.1923,401.4016,396.8886,397.4811,393.5445,407.3969,420.7599,423.5135,431.282,417.5575,407.6708,418.025,431.3863,442.8049,450.0685,456.2284,451.775,449.7346,,,
LUX,256,Luxembourg,5059,Manure Management,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4803,2.4619,2.4065,2.3616,2.331,2.353,2.2867,2.3425,2.3636,2.3731,2.4217,2.4057,2.3767,2.4335,2.4628,2.5388,2.5845,2.6434,2.512,2.5255,,2.2711,2.1379
LUX,256,Luxembourg,5059,Manure Management,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5447,2.5268,2.4486,2.3555,2.3391,2.3357,2.2534,2.2793,2.2831,2.2582,2.2529,2.2195,2.177,2.2266,2.3121,2.4141,2.4706,2.5317,2.5108,2.485,,,
LUX,256,Luxembourg,5059,Manure Management,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1208,0.1203,0.1166,0.1128,0.111,0.1106,0.1087,0.1124,0.1141,0.1148,0.1166,0.114,0.112,0.1156,0.1177,0.1198,0.1223,0.1241,0.1198,0.1198,,0.1064,0.099
LUX,256,Luxembourg,5059,Manure Management,7230,Emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0883,0.088,0.0851,0.084,0.0852,0.0845,0.0838,0.0872,0.0895,0.0891,0.0913,0.0886,0.086,0.0876,0.09,0.0911,0.0927,0.0948,0.0936,0.0919,,,
LUX,256,Luxembourg,5059,Manure Management,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4479,68.9342,67.3828,66.1245,65.2674,65.8852,64.0277,65.5912,66.1798,66.447,67.808,67.3586,66.547,68.1376,68.958,71.0867,72.3663,74.0151,70.3363,70.715,,63.5919,59.8622
LUX,256,Luxembourg,5059,Manure Management,724413,Emissions (CO2eq) from CH4 (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2522,70.7508,68.5596,65.9545,65.4938,65.4009,63.0948,63.8211,63.9263,63.2284,63.0807,62.1468,60.9548,62.3446,64.7374,67.5943,69.1776,70.8869,70.3016,69.58,,,
LUX,256,Luxembourg,5059,Manure Management,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.015,31.8808,30.9064,29.8848,29.4099,29.3175,28.7926,29.7815,30.2396,30.4349,30.8973,30.214,29.6918,30.6405,31.1884,31.7469,32.3999,32.8834,31.753,31.7441,,28.1836,26.2251
LUX,256,Luxembourg,5059,Manure Management,724313,Emissions (CO2eq) from N2O (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4123,23.3277,22.5525,22.2586,22.5676,22.3872,22.208,23.1032,23.7183,23.6242,24.1832,23.4659,22.7943,23.2271,23.8522,24.1408,24.5547,25.1272,24.7937,24.3424,,,
LUX,256,Luxembourg,5059,Manure Management,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4628,100.815,98.2891,96.0093,94.6772,95.2027,92.8203,95.3726,96.4193,96.8819,98.7053,97.5726,96.2388,98.7781,100.1464,102.8336,104.7662,106.8984,102.0893,102.4591,,91.7755,86.0873
LUX,256,Luxembourg,5059,Manure Management,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6645,94.0785,91.1121,88.2131,88.0614,87.7881,85.3028,86.9243,87.6446,86.8526,87.2639,85.6127,83.7491,85.5717,88.5896,91.7351,93.7323,96.0141,95.0953,93.9224,,,
LUX,256,Luxembourg,5061,Synthetic Fertilizers,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2028,0.2028,0.257,0.2236,0.2205,0.2092,0.2095,0.2103,0.2163,0.227,0.2149,0.21,0.1998,0.2044,0.2158,0.2133,0.2049,0.2113,,0.213,0.2143
LUX,256,Luxembourg,5061,Synthetic Fertilizers,7234,Direct emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2786,0.2376,0.2477,0.2019,0.256,0.2213,0.2184,0.2074,0.2074,0.2086,0.2153,0.2261,0.2144,0.2097,0.1992,0.204,0.2153,0.2133,0.2049,0.2168,,,
LUX,256,Luxembourg,5061,Synthetic Fertilizers,7236,Indirect emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0659,0.0659,0.0835,0.0727,0.0717,0.068,0.0681,0.0684,0.0703,0.0738,0.0698,0.0683,0.0649,0.0664,0.0701,0.0693,0.0666,0.0687,,0.0692,0.0697
LUX,256,Luxembourg,5061,Synthetic Fertilizers,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2687,0.2687,0.3405,0.2963,0.2922,0.2772,0.2775,0.2787,0.2866,0.3008,0.2847,0.2783,0.2647,0.2708,0.2859,0.2826,0.2715,0.28,,0.2823,0.284
LUX,256,Luxembourg,5061,Synthetic Fertilizers,7230,Emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2786,0.2376,0.2477,0.2019,0.256,0.2213,0.2184,0.2074,0.2074,0.2086,0.2153,0.2261,0.2144,0.2097,0.1992,0.204,0.2153,0.2133,0.2049,0.2168,,,
LUX,256,Luxembourg,5061,Synthetic Fertilizers,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2056,71.2056,90.2416,78.5166,77.4351,73.4513,73.5451,73.8486,75.9564,79.7084,75.4543,73.7493,70.1518,71.7684,75.7632,74.9017,71.9395,74.2015,,74.8069,75.2631
LUX,256,Luxembourg,5061,Synthetic Fertilizers,724313,Emissions (CO2eq) from N2O (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8347,62.9562,65.6353,53.4973,67.8513,58.6429,57.884,54.9675,54.9611,55.2911,57.0519,59.9144,56.8169,55.5582,52.7948,54.0722,57.053,56.5317,54.2919,57.4454,,,
LUX,256,Luxembourg,5061,Synthetic Fertilizers,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2056,71.2056,90.2416,78.5166,77.4351,73.4513,73.5451,73.8486,75.9564,79.7084,75.4543,73.7493,70.1518,71.7684,75.7632,74.9017,71.9395,74.2015,,74.8069,75.2631
LUX,256,Luxembourg,5061,Synthetic Fertilizers,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8347,62.9562,65.6353,53.4973,67.8513,58.6429,57.884,54.9675,54.9611,55.2911,57.0519,59.9144,56.8169,55.5582,52.7948,54.0722,57.053,56.5317,54.2919,57.4454,,,
LUX,256,Luxembourg,5062,Manure applied to Soils,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1168,0.1164,0.1129,0.1095,0.1079,0.1079,0.1059,0.1095,0.1111,0.1117,0.1135,0.1112,0.1094,0.1124,0.1146,0.1168,0.1185,0.1202,0.1153,0.1152,,0.1035,0.0965
