code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1954,MtCO2,0.022,0.0073333333333333,0.011,0.0,0.0,0.0,0.0001099999999999,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1955,MtCO2,0.022,0.0036666666666666,0.0146666666666666,0.0,0.0,0.0,0.0001099999999999,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1956,MtCO2,0.0256666666666666,0.0073333333333333,0.0183333333333333,0.0,0.0,0.0,0.0001466666666666,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1957,MtCO2,0.0293333333333333,0.011,0.0183333333333333,0.0,0.0,0.0,0.0001833333333333,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1958,MtCO2,0.0293333333333333,0.0146666666666666,0.0146666666666666,0.0,0.0,0.0,0.0001833333333333,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1959,MtCO2,0.0366666666666666,0.0146666666666666,0.0256666666666666,0.0,0.0,0.0,0.0002199999999999,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1960,MtCO2,0.0513333333333333,0.0146666666666666,0.0366666666666666,0.0,0.0,0.0,0.0002933333333333,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1961,MtCO2,0.0696666666666666,0.0183333333333333,0.0513333333333333,0.0,0.0,0.0,0.0004033333333333,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1962,MtCO2,0.0953333333333333,0.0146666666666666,0.0843333333333333,0.0,0.0,0.0,0.0005133333333333,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1963,MtCO2,0.1063333333333333,0.0183333333333333,0.088,0.0,0.0,0.0,0.0005866666666666,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1964,MtCO2,0.1283333333333333,0.0146666666666666,0.1136666666666666,0.0,0.0,0.0,0.0006599999999999,0.0
MAC,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,1965,MtCO2,0.132,0.011,0.121,0.0,0.0,0.0,0.0006233333333333,0.0
