code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
MAR,Morocco,Africa,Africa,North Africa,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,185.03890202,5181.08925656,4996.05035454
MAR,Morocco,Africa,Africa,North Africa,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,4.797308378,1271.28672017,1309.665187194
MAR,Morocco,Africa,Africa,North Africa,developing,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,280256.5,7847182.0,7566925.5
MAR,Morocco,Africa,Africa,North Africa,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,111469.6,111469.6,111469.6
MAR,Morocco,Africa,Africa,North Africa,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,11940.00681011,3164101.80467915,3259621.8591600303
MAR,Morocco,Africa,Africa,North Africa,developing,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,9578.1467,268188.1076,258609.9609
MAR,Morocco,Africa,Africa,North Africa,developing,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,80.3585238,21295.008807,21937.8769974
MAR,Morocco,Africa,Africa,North Africa,developing,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,1668.447,46716.516,45048.069
MAR,Morocco,Africa,Africa,North Africa,developing,1970,AFOLU,Synthetic fertilizer application (N2O),N2O,265,273.0,982.125,260263.125,268120.125
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Buildings,Non-residential,CH4,28,27.0,4051.1,113430.8,109379.7
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Buildings,Non-residential,N2O,265,273.0,53.963,14300.195,14731.899
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Buildings,Residential,CO2,1,1.0,656531.0,656531.0,656531.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Buildings,Residential,CH4,28,27.0,4047.7643,113337.4004,109289.6361
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Buildings,Residential,N2O,265,273.0,55.8592,14802.688,15249.5616
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Coal mining fugitive emissions,CO2,1,1.0,11753.39,11753.39,11753.39
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Coal mining fugitive emissions,CH4,30,29.8,7370.87,221126.1,219651.926
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Electricity & heat,CO2,1,1.0,832471.6,832471.6,832471.6
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Electricity & heat,CH4,28,27.0,14.9284,417.9952,403.0668
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Electricity & heat,N2O,265,273.0,8.4118,2229.127,2296.4214
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,55.432421,55.432421,55.432421
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,2258.86619,67765.9857,67314.21246200001
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Oil and gas fugitive emissions,N2O,265,273.0,0.00167819,0.44472035,0.45814587
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Other (energy systems),CO2,1,1.0,39166.6,39166.6,39166.6
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Other (energy systems),CH4,28,27.0,913.524,25578.672,24665.148
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Other (energy systems),N2O,265,273.0,222.1801,58877.7265,60655.1673
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Petroleum refining,CO2,1,1.0,72057.6,72057.6,72057.6
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Petroleum refining,CH4,28,27.0,1.251,35.028,33.776999999999994
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Energy systems,Petroleum refining,N2O,265,273.0,0.1251,33.1515,34.1523
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Cement,CO2,1,1.0,701480.0,701480.0,701480.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Chemicals,CO2,1,1.0,72942.15,72942.15,72942.15
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Chemicals,N2O,265,273.0,52.70936,13967.9804,14389.65528
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Metals,CO2,1,1.0,46154.69,46154.69,46154.69
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Metals,CH4,28,27.0,0.669,18.732,18.063
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Metals,N2O,265,273.0,0.0949,25.1485,25.9077
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),CO2,1,1.0,2145344.9,2145344.9,2145344.9
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),CH4,28,27.0,97.36914,2726.33592,2628.96678
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),N2O,265,273.0,22.914596,6072.36794,6255.684708
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),HFC-125,3170,3740.0,0.0,0.0,0.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),HFC-134a,1300,1530.0,0.0,0.0,0.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),HFC-143a,4800,5810.0,0.0,0.0,0.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),HFC-245fa,858,962.0,0.0,0.0,0.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),HFC-32,677,771.0,0.0,0.0,0.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Other (industry),HFC-365mfc,804,914.0,0.0,0.0,0.0
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Waste,CH4,28,27.0,156807.7511,4390617.0308,4233809.2797
MAR,Morocco,Africa,Africa,North Africa,developing,1970,Industry,Waste,N2O,265,273.0,599.643,158905.39500000002,163702.53900000002
