IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,0.00019161343908,0.00019161343908,0.000198455390118,0.0002357946115829,0.0002111508127709,0.0002613114853739,0.00028096757496,0.00029065673718,0.00034584716961,0.00030124948275,0.00030095394921,0.00028003517928,0.00027564925185,0.0002730400494299,0.000268876242828,0.000339021357327,0.00033807169629,0.0003992672075399,0.0004885528545,0.0005592975804539,0.0006215064501149,0.000590564488842,0.00070172036604,0.0007656438935339,0.0007579093735079,0.0008587367209259,0.000862461734184,0.000793280165715,0.000802968595281,0.000695637700668,0.0008113395609,0.0008213335083,0.0008473331556,0.0009258815043,0.0009446330663999,0.0009212088122999,0.0008866998323999,0.0009065255723999,0.0009396761571,0.0010088881892999,0.001178281177812,0.001228229438787,0.001246732088247,0.0012565797810569,0.0012999730890869,0.001119130443612,0.001128757082769,0.001242015008184,0.001206136861173
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.1.a,Main Activity Electricity and Heat Production,bio,CH4,MtCO2,5.4393561e-08,5.387545799999999e-08,5.4040347e-08,5.4135207e-08,5.4227835e-08,2.01933783e-07,2.00589561e-07,2.54108178e-07,2.52994968e-07,3.067326e-07,5.3323875e-08,5.360092199999999e-08,5.2885008e-08,5.1343533e-08,5.106258e-08,5.1052536e-08,5.0537223e-08,,,,1.6620643799999997e-06,1.72738386e-06,1.61358534e-06,1.66312737e-06,1.54239849e-06,1.59608367e-06,1.75451103e-06,1.81777986e-06,2.38303107e-06,4.8629142e-06,2.8851669e-06,2.8716633e-06,2.9949534e-06,2.71292625e-06,3.135123e-06,2.37128796e-06,2.30845437e-06,2.3384691900000004e-06,2.17941408e-06,2.14082001e-06,2.36247435e-06,2.36247435e-06,2.36247435e-06,2.36247435e-06,2.36247435e-06,2.36247435e-06,2.36247435e-06,2.36247435e-06,2.36247435e-06
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,3.06616815e-06,3.06616815e-06,3.3310898099999994e-06,2.85392727e-06,3.11884893e-06,3.493653345e-06,3.882004605e-06,4.04908236e-06,4.247769419999999e-06,4.202611874999999e-06,5.105750499e-06,5.89287618e-06,4.789689255e-06,6.42003273e-06,6.125888052e-06,8.471022831e-06,1.3562283465e-05,4.805014725e-05,5.399796689999999e-05,6.769761462e-05,6.154609707e-05,5.229415574999999e-05,5.4779689746e-05,0.00019506817332,0.0001881797665499,7.740803664e-05,7.417800341999998e-05,6.280038342e-05,0.0001357979071499,0.0001346958962099,0.000141689877138,0.0001253840452199,0.0001298932158779,0.000120105366894,0.000137956855185,9.7270086816e-05,8.9930352627e-05,8.8242567795e-05,8.245264205699999e-05,8.5712632623e-05,6.898412547e-05,7.19086509e-05,7.299169262999999e-05,7.356846096e-05,7.610870852999998e-05,6.552111609e-05,6.608471004e-05,7.271560539e-05,7.061522363999999e-05
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,6.0284646e-05,6.0016248e-05,5.48264295e-05,5.44374756e-05,5.62693338e-05,5.35590441e-05,5.403839400000001e-05,5.23021212e-05,5.48401563e-05,5.50181862e-05,5.41355697e-05,5.37291225e-05,5.36288499e-05,5.10847047e-05,5.02764975e-05,5.03134929e-05,5.14798524e-05,4.86294489e-05,4.70359683e-05,4.63227606e-05,4.23577242e-05,4.50848934e-05,4.52504799e-05,4.70531826e-05,4.69211877e-05,4.694998049999999e-05,4.78273239e-05,4.95237276e-05,4.949624609999999e-05,4.87755054e-05,5.03187381e-05,5.02621569e-05,5.29838856e-05,5.35582908e-05,5.43676698e-05,5.39372565e-05,5.5282957200000005e-05,5.62371093e-05,5.56057602e-05,5.69113686e-05,5.783497019999999e-05,3.41367102e-05,3.45189402e-05,3.32193582e-05,3.34486962e-05,3.94114842e-05,4.20870942e-05,8.9095302e-06,8.9095302e-06
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,2.0561528007e-06,2.0561528007e-06,2.686843935e-07,1.347184701e-06,1.279449639e-06,1.448790642e-06,1.3449250799999995e-06,1.6820993699999998e-06,1.5473836619999998e-06,1.176341004e-06,1.176341283e-06,1.512214596e-06,1.7103771359999998e-06,1.539606816e-06,1.538019027e-06,2.95773201e-06,2.824544385e-06,3.86380404e-06,4.06767492e-06,6.48563958e-06,7.21911663e-06,6.415652429999999e-06,7.169875919999999e-06,8.823160169999998e-06,8.77076397e-06,8.724399749999998e-06,8.758973429999999e-06,8.40290247e-06,6.15978153e-06,6.35601339e-06,2.828116422e-06,2.771707365e-06,2.473411167e-06,2.906826228e-06,3.727048563e-06,3.760465788e-06,3.79625535e-06,3.796554438e-06,4.158096587999999e-06,4.054688028e-06,3.000052962e-06,3.127233717e-06,3.17434203e-06,3.199409901e-06,3.30989697e-06,2.849445972e-06,2.873961981e-06,3.162333312e-06,3.070983969e-06
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,0.000125168198544,0.000125168198544,0.0001237187656439,0.000146810963151,0.0001467075158099,0.00024805591191,0.00026915096241,0.0002951307301229,0.0002913025329,0.00024024536271,0.000452557509912,0.0004612469088329,0.000524483041986,0.000601926104007,0.0006590338598699,0.0007658070957,0.00071454824757,0.0010002557061,0.00123234923286,0.00168817676841,0.0018220357414286,0.0015449553576,0.001786945286106,0.002208141288495,0.0021961761070499,0.0021953893468589,0.0020694985670241,0.002099702350962,0.002511160685586,0.002533830068637,0.0026376962980049,0.0023300610762564,0.002004914461302,0.001998170110602,0.0017978039239212,0.0018139018275458,0.0017871060027446,0.0017542756888128,0.0017652352393097,0.0019996519335606,0.001954744725384,0.0020376104096987,0.0020683050260327,0.0020846459202156,0.0021566285298306,0.0018566169596181,0.0018725902011603,0.0020604817745208,0.0020009588141727
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,,,,,,,,,,,3.3085215e-06,3.2348934e-06,3.4348248000000003e-06,4.429683e-06,4.1046759e-06,4.9529475e-06,,,7.719846299999999e-07,9.597739499999998e-07,9.9199008e-07,,,,,1.10803734e-06,1.1124260099999998e-06,1.05739047e-06,9.997825499999995e-07,1.107910395e-05,1.27140579e-05,1.246045806e-05,1.3797618569999998e-05,1.306790244e-05,1.286111601e-05,8.045824319999999e-06,9.992666789999998e-06,9.57823182e-06,9.68134743e-06,1.0229468039999998e-05,1.218701295e-05,1.270362051e-05,1.289498103e-05,1.299685509e-05,1.344567681e-05,1.157518548e-05,1.1674796849999998e-05,1.284623694e-05,1.247514741e-05
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.3.e,Other Transportation,fossil,CH4,MtCO2,,,,,,,,,,1.76112333e-07,1.76112333e-07,1.72193499e-07,1.82835954e-07,2.06812656e-07,1.9163868300000003e-07,2.31243012e-07,2.38435353e-07,2.62752714e-07,3.0007566e-07,3.7306764e-07,2.95619472e-06,2.54864826e-06,3.35827278e-06,5.066718957e-05,4.984348392e-05,4.769715645e-05,4.887281781000001e-05,4.234475627999999e-05,4.480092999e-05,4.6026364950000006e-05,7.87957101e-06,8.21916144e-06,8.34274728e-06,9.63814707e-06,1.150159365e-05,1.179290313e-05,1.292542272e-05,1.193203764e-05,1.158755634e-05,1.175517117e-05,3.196570238999999e-05,3.3320621250000004e-05,3.382257294e-05,3.408981588e-05,3.526695873e-05,3.0361028310000004e-05,3.062224764e-05,3.369481047e-05,3.272135436e-05
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.4,Other Sectors,bio,CH4,MtCO2,1.9219053384e-05,1.9035927828e-05,1.909427175e-05,1.898896878e-05,1.9160540388e-05,1.8792175014e-05,1.8926351973e-05,1.8825906951e-05,1.8865818459e-05,1.9044657738e-05,2.1370581135e-05,2.1619043748e-05,2.1587996907e-05,2.1222041256e-05,2.199622608e-05,2.250236835e-05,2.265103629e-05,1.930873347e-05,1.976742063e-05,2.108059272e-05,9.012753225e-05,4.024454751e-05,4.010874705e-05,4.677682194e-05,4.68340002e-05,4.674237102e-05,4.692102867e-05,4.783447746e-05,4.923915039e-05,4.956887538e-05,3.2469741e-05,3.1860405000000005e-05,3.1374666e-05,3.1034565e-05,3.0416022e-05,2.9888712e-05,2.9097468e-05,2.882907e-05,2.9088261e-05,2.8800891e-05,2.68977483e-05,2.68977483e-05,2.68977483e-05,2.68977483e-05,2.68977483e-05,2.68977483e-05,2.68977483e-05,2.68977483e-05,2.68977483e-05
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.4,Other Sectors,fossil,CH4,MtCO2,1.260041004e-05,1.260041004e-05,1.427874849e-05,1.295414019e-05,1.463249259e-05,5.094623979e-05,5.7566748528e-05,5.8497662718e-05,5.8379079348e-05,6.1898943348e-05,7.550857534499999e-05,7.4188177434e-05,7.8601510755e-05,9.044713232999998e-05,0.0001202138738999,0.000145358337654,0.0001270489453559,0.0001452151682459,0.00019805875758,0.00025264801755,0.00027175827879,0.0002297488693499,0.0002664813537,0.0003253809879,0.00034197648543,0.00030803006439,0.00032694451227,0.00031986479241,0.0005121684914399,0.0006062964763499,0.00063938748897,0.0006115138070399,0.0006051082851,0.000628984326969,0.0005782512638249,0.000550157980716,0.00046689872706,0.00045913702239,0.000465889534677,0.000490399021215,0.000240552780813,0.000250750480797,0.000254527566057,0.000256538446839,0.0002653965238589,0.0002284765635059,0.0002304424990619,0.000253564868466,0.000246240278955
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.5,Non-Specified,fossil,CH4,MtCO2,0.0007746084855,0.0007746084855,0.001084372281,0.0011551577895,0.0008579763359999,0.0010724431896,0.0007250732909999,0.0008886913064999,0.0007718317491599,0.0008134605300599,0.0006847385790599,0.0007831889993699,0.0006952693949999,0.00068856230196,0.0006601552361999,0.0007192355229,0.0009625948157699,0.0011189993085899,0.00121940566956,0.0018073420515,0.0018639691302599,0.00156131132805,0.00159732402588,0.0017661862871999,0.0016533498624299,0.0017327892311099,0.0017408376863999,0.00170840138076,0.0004357860197399,0.0005989449379499,0.00056696688981,0.00060354764001,0.0005852525832899,0.0005577440230799,0.0004900702741199,0.00034271404983,0.00035371945314,0.00040686278724,0.00030136886964,0.0004180188365999,5.557380075e-05,5.792977998e-05,5.880235526999999e-05,5.9266854e-05,6.131355615e-05,5.278399884e-05,5.323803228e-05,5.857989741e-05,5.688767871e-05
Non-Annex_I,Rest Central America,MTQ,Martinique,1.A.5,Non-Specified,bio,CH4,MtCO2,3.59399988e-06,3.42869796e-06,3.32978967e-06,3.26549133e-06,3.2754321e-06,2.97316071e-06,2.8266410700000003e-06,2.72516598e-06,2.57543784e-06,2.47960413e-06,2.42636814e-06,2.48282658e-06,2.43928305e-06,2.38043916e-06,4.04987193e-06,4.013476379999999e-06,3.82796928e-06,3.63426516e-06,3.5764117199999995e-06,3.4712900999999998e-06,3.8295819000000006e-06,3.77642124e-06,3.36542634e-06,3.3110325e-06,5.040260549999999e-06,4.97600127e-06,5.22030483e-06,5.173921079999999e-06,1.95763419e-05,2.03924448e-05,2.09288502e-05,3.19020597e-05,3.18172158e-05,3.60848277e-05,2.56058667e-05,2.47385115e-05,2.52339876e-05,3.44752488e-05,1.25623377e-05,2.56476051e-05,2.42627328e-05,2.42578782e-05,2.4248169e-05,2.42385156e-05,2.42288064e-05,2.42240076e-05,2.42142984e-05,2.4204645e-05,2.4204645e-05
Non-Annex_I,Rest Central America,MTQ,Martinique,1.B.1,Solid Fuels,bio,CH4,MtCO2,0.0002564015579999,0.0002396015729999,0.000229172274,0.00021087936,0.000209645343,0.0001818742409999,0.0002141425439999,0.000201356532,0.000184392495,0.0002016584099999,0.000137790846,0.000141004368,0.000137018016,0.0001325420189999,0.000161249724,0.0001580373179999,0.000154248219,0.000124952103,0.000146125692,0.00014021145,0.0002071789829999,0.00022979277,0.000169992747,0.000185141331,0.000201282876,0.000198738396,0.000210610962,0.0002560952159999,0.000251000118,0.000222351003,0.000260554473,0.00076428144,0.00087446691,0.00088186878,0.000276438501,0.00028945413,0.0002901348899999,0.0002912899499999,0.0002864772,0.00029700387,0.00030630294,0.0003061327499999,0.00030578958,0.0003054491999999,0.00030510882,0.0003049386299999,0.0003045954599999,0.00030425508,0.0003039481799999
