code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
MUS,MAURITIUS,1950,MtCO2,0.2016666666666666,0.1283333333333333,0.0696666666666666,0.0,0.0,0.0,0.0004033333333333,0.0
MUS,MAURITIUS,1951,MtCO2,0.1393333333333333,0.0696666666666666,0.0696666666666666,0.0,0.0,0.0,0.0002933333333333,0.0036666666666666
MUS,MAURITIUS,1952,MtCO2,0.176,0.0733333333333333,0.1026666666666666,0.0,0.0,0.0,0.0003299999999999,0.0036666666666666
MUS,MAURITIUS,1953,MtCO2,0.187,0.0733333333333333,0.1136666666666666,0.0,0.0,0.0,0.0003666666666666,0.0036666666666666
MUS,MAURITIUS,1954,MtCO2,0.187,0.0733333333333333,0.1136666666666666,0.0,0.0,0.0,0.0003299999999999,0.0036666666666666
MUS,MAURITIUS,1955,MtCO2,0.1283333333333333,0.0256666666666666,0.1026666666666666,0.0,0.0,0.0,0.0002199999999999,0.0036666666666666
MUS,MAURITIUS,1956,MtCO2,0.22,0.0513333333333333,0.165,0.0,0.0,0.0,0.0003666666666666,0.0036666666666666
MUS,MAURITIUS,1957,MtCO2,0.22,0.044,0.176,0.0,0.0,0.0,0.0003666666666666,0.0036666666666666
MUS,MAURITIUS,1958,MtCO2,0.209,0.0513333333333333,0.1613333333333333,0.0,0.0,0.0,0.0003299999999999,0.0073333333333333
MUS,MAURITIUS,1959,MtCO2,0.2236666666666666,0.0366666666666666,0.187,0.0,0.0,0.0,0.0003666666666666,0.0073333333333333
MUS,MAURITIUS,1960,MtCO2,0.1796666666666666,0.0073333333333333,0.1723333333333333,0.0,0.0,0.0,0.0002566666666666,0.0073333333333333
MUS,MAURITIUS,1961,MtCO2,0.187,0.0146666666666666,0.1723333333333333,0.0,0.0,0.0,0.0002933333333333,0.011
MUS,MAURITIUS,1962,MtCO2,0.253,0.0073333333333333,0.2456666666666666,0.0,0.0,0.0,0.0003666666666666,0.011
MUS,MAURITIUS,1963,MtCO2,0.209,0.0036666666666666,0.2016666666666666,0.0,0.0,0.0,0.0002933333333333,0.011
MUS,MAURITIUS,1964,MtCO2,0.308,0.0036666666666666,0.3043333333333333,0.0,0.0,0.0,0.0004033333333333,0.011
MUS,MAURITIUS,1965,MtCO2,0.3043333333333333,0.0036666666666666,0.3006666666666666,0.0,0.0,0.0,0.0004033333333333,0.0146666666666666
MUS,MAURITIUS,1966,MtCO2,0.275,0.0073333333333333,0.2676666666666666,0.0,0.0,0.0,0.0003666666666666,0.0146666666666666
MUS,MAURITIUS,1967,MtCO2,0.4986666666666666,0.0,0.4986666666666666,0.0,0.0,0.0,0.0006233333333333,0.0293333333333333
MUS,MAURITIUS,1968,MtCO2,0.638,0.0036666666666666,0.6343333333333333,0.0,0.0,0.0,0.0008066666666666,0.0366666666666666
MUS,MAURITIUS,1969,MtCO2,0.572,0.0036666666666666,0.572,0.0,0.0,0.0,0.0006966666666666,0.0403333333333333
MUS,MAURITIUS,1970,MtCO2,0.4986666666666666,0.0,0.4986666666666666,0.0,0.0,0.0,0.0006233333333333,0.143
MUS,MAURITIUS,1971,MtCO2,0.396,0.0036666666666666,0.3923333333333333,0.0,0.0,0.0,0.0004766666666666,0.154
MUS,MAURITIUS,1972,MtCO2,0.6893333333333332,0.0036666666666666,0.6893333333333332,0.0,0.0,0.0,0.0008066666666666,0.1723333333333333
MUS,MAURITIUS,1973,MtCO2,0.6783333333333332,0.0036666666666666,0.6746666666666666,0.0,0.0,0.0,0.00077,0.1943333333333333
MUS,MAURITIUS,1974,MtCO2,0.693,0.0036666666666666,0.6893333333333332,0.0,0.0,0.0,0.0008066666666666,0.1943333333333333
MUS,MAURITIUS,1975,MtCO2,0.5903333333333333,0.0,0.5903333333333333,0.0,0.0,0.0,0.0006599999999999,0.319
MUS,MAURITIUS,1976,MtCO2,0.6196666666666666,0.0036666666666666,0.616,0.0,0.0,0.0,0.0006966666666666,0.2933333333333333
MUS,MAURITIUS,1977,MtCO2,0.6416666666666666,0.0036666666666666,0.638,0.0,0.0,0.0,0.0006966666666666,0.2933333333333333
MUS,MAURITIUS,1978,MtCO2,0.6306666666666666,0.0036666666666666,0.627,0.0,0.0,0.0,0.0006599999999999,0.3263333333333333
MUS,MAURITIUS,1979,MtCO2,0.66,0.0036666666666666,0.6563333333333332,0.0,0.0,0.0,0.0006966666666666,0.3666666666666666
MUS,MAURITIUS,1980,MtCO2,0.5903333333333333,0.0036666666666666,0.5903333333333333,0.0,0.0,0.0,0.0006233333333333,0.3666666666666666
MUS,MAURITIUS,1981,MtCO2,0.5426666666666666,0.0036666666666666,0.539,0.0,0.0,0.0,0.0005499999999999,0.275
MUS,MAURITIUS,1982,MtCO2,0.5023333333333333,0.0036666666666666,0.4986666666666666,0.0,0.0,0.0,0.0005133333333333,0.2933333333333333
