code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,412.4379744,11548.2632832,11135.8253088
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,10.692851181,2833.605562965,2919.148372413
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,2296.075,64290.09999999999,61994.025
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,29040.0,29040.0,29040.0
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,159.736357229,42330.134665685,43608.025523517
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,74.903,2097.284,2022.381
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,1.36689508,362.2271962,373.16235684
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,54.8502,1535.8056,1480.9554
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,AFOLU,Synthetic fertilizer application (N2O),N2O,265,273.0,175.9968,46639.152,48047.1264
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Buildings,Non-residential,CH4,28,27.0,12.4,347.2,334.8
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Buildings,Non-residential,N2O,265,273.0,0.062,16.43,16.926
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Buildings,Residential,CO2,1,1.0,43876.8,43876.8,43876.8
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Buildings,Residential,CH4,28,27.0,265.125,7423.5,7158.375
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Buildings,Residential,N2O,265,273.0,3.8021,1007.5565,1037.9733
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Energy systems,Electricity & heat,CO2,1,1.0,52954.5,52954.5,52954.5
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Energy systems,Electricity & heat,CH4,28,27.0,14.088,394.464,380.376
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Energy systems,Electricity & heat,N2O,265,273.0,2.0156,534.134,550.2588000000001
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Energy systems,Other (energy systems),CH4,28,27.0,340.4,9531.2,9190.8
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Energy systems,Other (energy systems),N2O,265,273.0,88.6794,23500.041,24209.4762
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Industry,Chemicals,CO2,1,1.0,11177.5427,11177.5427,11177.5427
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Industry,Chemicals,N2O,265,273.0,0.009090851,2.409075515,2.481802323
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Industry,Other (industry),CO2,1,1.0,31637.1,31637.1,31637.1
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Industry,Other (industry),CH4,28,27.0,345.8462,9683.6936,9337.8474
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Industry,Other (industry),N2O,265,273.0,64.1361,16996.0665,17509.1553
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Industry,Other (industry),HCFC-141b,782,860.0,0.0,0.0,0.0
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Industry,Other (industry),HCFC-142b,1980,2300.0,0.0,0.0,0.0
MUS,Mauritius,Africa,Africa,Eastern Africa,developing,1970,Industry,Other (industry),HFC-134a,1300,1530.0,0.0,0.0,0.0
