code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
NLD,CURACAO,2012,MtCO2,5.998666666666666,0.0,5.998666666666666,0.0,0.0,0.0,0.0393066666666666,5.162666666666666
NLD,CURACAO,2013,MtCO2,5.214,0.0,5.214,0.0,0.0,0.0,0.03377,5.210333333333333
NLD,CURACAO,2014,MtCO2,5.881333333333333,0.0,5.881333333333333,0.0,0.0,0.0,0.0377666666666666,5.302
NLD,NETHERLANDS,1846,MtCO2,2.871,2.871,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1847,MtCO2,3.872,3.872,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1848,MtCO2,3.652,3.652,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1849,MtCO2,3.333,3.333,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1850,MtCO2,3.1386666666666665,3.1386666666666665,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1851,MtCO2,3.120333333333333,3.120333333333333,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1852,MtCO2,3.7656666666666663,3.7656666666666663,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1853,MtCO2,4.172666666666666,4.172666666666666,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1854,MtCO2,5.951,5.951,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1855,MtCO2,4.653,4.653,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1856,MtCO2,4.726333333333333,4.726333333333333,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1857,MtCO2,4.220333333333333,4.220333333333333,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1858,MtCO2,3.7106666666666666,3.7106666666666666,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1859,MtCO2,3.527333333333333,3.527333333333333,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1860,MtCO2,4.799666666666666,4.799666666666666,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1861,MtCO2,4.407333333333333,4.407333333333333,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1862,MtCO2,5.676,5.676,0.0,0.0,0.0,,,0.0
NLD,NETHERLANDS,1863,MtCO2,4.088333333333333,4.077333333333333,0.011,0.0,0.0,,,0.0
NLD,NETHERLANDS,1864,MtCO2,3.406333333333333,3.3806666666666665,0.0256666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1865,MtCO2,3.85,3.8316666666666666,0.0183333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1866,MtCO2,4.220333333333333,4.191,0.0293333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1867,MtCO2,4.044333333333333,4.007666666666666,0.0366666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1868,MtCO2,4.242333333333333,4.194666666666666,0.0476666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1869,MtCO2,4.374333333333333,4.326666666666666,0.0476666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1870,MtCO2,4.9463333333333335,4.891333333333333,0.055,0.0,0.0,,,0.0
NLD,NETHERLANDS,1871,MtCO2,4.983,4.920666666666666,0.0623333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1872,MtCO2,5.335,5.269,0.066,0.0,0.0,,,0.0
NLD,NETHERLANDS,1873,MtCO2,5.144333333333333,5.056333333333333,0.0843333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1874,MtCO2,4.744666666666666,4.653,0.088,0.0,0.0,,,0.0
NLD,NETHERLANDS,1875,MtCO2,5.423,5.316666666666666,0.1026666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1876,MtCO2,6.215,6.112333333333333,0.1026666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1877,MtCO2,6.314,6.189333333333333,0.1246666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1878,MtCO2,6.691666666666666,6.5633333333333335,0.1283333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1879,MtCO2,7.216,7.080333333333333,0.1356666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1880,MtCO2,7.978666666666666,7.828333333333333,0.1503333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1881,MtCO2,8.033666666666665,7.868666666666666,0.165,0.0,0.0,,,0.0
NLD,NETHERLANDS,1882,MtCO2,8.136333333333333,7.953,0.1833333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1883,MtCO2,9.016333333333332,8.807333333333332,0.209,0.0,0.0,,,0.0
NLD,NETHERLANDS,1884,MtCO2,9.023666666666664,8.792666666666666,0.231,0.0,0.0,,,0.0
NLD,NETHERLANDS,1885,MtCO2,9.427,9.192333333333332,0.2346666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1886,MtCO2,9.625,9.364666666666666,0.2603333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1887,MtCO2,9.793666666666669,9.518666666666666,0.275,0.0,0.0,,,0.0
NLD,NETHERLANDS,1888,MtCO2,10.868,10.589333333333332,0.275,0.0,0.0,,,0.0
NLD,NETHERLANDS,1889,MtCO2,10.618666666666666,10.314333333333332,0.3043333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1890,MtCO2,10.292333333333332,9.973333333333333,0.319,0.0,0.0,,,0.0
NLD,NETHERLANDS,1891,MtCO2,11.916666666666666,11.564666666666666,0.3483333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1892,MtCO2,11.33,10.952333333333332,0.3776666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1893,MtCO2,11.469333333333331,11.069666666666668,0.396,0.0,0.0,,,0.0
NLD,NETHERLANDS,1894,MtCO2,11.627,11.194333333333333,0.4326666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1895,MtCO2,11.634333333333332,11.172333333333333,0.462,0.0,0.0,,,0.0
NLD,NETHERLANDS,1896,MtCO2,12.503333333333332,12.034,0.4656666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1897,MtCO2,13.112,12.620666666666668,0.4913333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1898,MtCO2,12.943333333333332,12.426333333333332,0.517,0.0,0.0,,,0.0
NLD,NETHERLANDS,1899,MtCO2,13.288,12.793,0.4986666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1900,MtCO2,14.644666666666666,14.127666666666666,0.517,0.0,0.0,,,0.0
NLD,NETHERLANDS,1901,MtCO2,14.322,13.768333333333333,0.5536666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1902,MtCO2,14.311,13.728,0.583,0.0,0.0,,,0.0
NLD,NETHERLANDS,1903,MtCO2,15.308333333333332,14.714333333333332,0.594,0.0,0.0,,,0.0
NLD,NETHERLANDS,1904,MtCO2,16.177333333333333,15.623666666666669,0.5573333333333332,0.0,0.0,,,0.0
NLD,NETHERLANDS,1905,MtCO2,16.606333333333332,16.027,0.5793333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1906,MtCO2,18.069333333333333,17.457,0.6123333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1907,MtCO2,18.59,17.981333333333332,0.6123333333333333,0.0,0.0,,,0.0
NLD,NETHERLANDS,1908,MtCO2,18.934666666666665,18.329666666666665,0.605,0.0,0.0,,,0.0
NLD,NETHERLANDS,1909,MtCO2,19.932,19.327,0.605,0.0,0.0,,,0.0
NLD,NETHERLANDS,1910,MtCO2,20.848666666666663,20.24,0.6086666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1911,MtCO2,22.095333333333333,21.479333333333333,0.616,0.0,0.0,,,0.0
NLD,NETHERLANDS,1912,MtCO2,24.940666666666665,24.313666666666663,0.627,0.0,0.0,,,0.0
NLD,NETHERLANDS,1913,MtCO2,27.569666666666663,26.91333333333333,0.6563333333333332,0.0,0.0,,,0.0
NLD,NETHERLANDS,1914,MtCO2,25.842666666666663,24.735333333333333,1.1036666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1915,MtCO2,24.552,24.013,0.539,0.0,0.0,,,0.0
NLD,NETHERLANDS,1916,MtCO2,22.41433333333333,21.945,0.4656666666666666,0.0,0.0,,,0.0
NLD,NETHERLANDS,1917,MtCO2,8.660666666666666,8.341666666666667,0.319,0.0,0.0,,,0.0
