IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,India +,NPL,Nepal,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,1.489023e-05,1.489023e-05,1.489023e-05,1.489023e-05,1.489023e-05,1.489023e-05,1.489023e-05,1.5969960000000002e-05,1.5969960000000002e-05,1.5969960000000002e-05,1.15506e-05,7.7004e-06,7.7004e-06,7.7004e-06,7.7004e-06,2.69514e-05,7.7004e-06,7.7004e-06,2.31012e-05,,,2.97135e-05,4.82949e-05,5.942699999999999e-05,7.800839999999999e-05,3.33963e-05,3.33963e-05,9.2907e-05,0.0001002725999999,5.57442e-05,2.22642e-05,1.4898599999999998e-05,3.6828e-06,3.6828e-06,1.11321e-05,1.4898599999999998e-05,1.11321e-05,7.3656e-06,7.3656e-06,1.11321e-05,3.6828e-06,,1.48149e-05,7.3656e-06,,,,8.37e-08,9.300744e-08
Non-Annex_I,India +,NPL,Nepal,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,8.3979e-05,8.3979e-05,0.000168237,0.000549909,0.0005641379999999,0.0003258719999999,6.2775e-05,0.000146754,0.0001155059999999,0.000511407,0.0005936562,0.0004535982,0.0005205303,0.0010221165,0.0010541736,0.0001795364999999,0.0006276942,0.0007106129999999,0.0005532849,9.95472e-05,0.0005321646,0.0007176159,0.0003507867,0.0004469022,0.0008604639,0.0009236852999999,0.0007804746,0.0007728857999999,0.0007983306,0.0028957689,0.0031102919999999,0.0035524791,0.0017015931,0.0021285189,0.0018562706999999,0.0029214926999999,0.001756305,0.0023303195999999,0.0021785156999999,0.0021997196999999,0.0035600120999999,0.0042148809,0.0050529411,0.0039073113,0.0056632815,0.0065215413,0.008090442,0.0092861244,0.0099065806425
Non-Annex_I,India +,NPL,Nepal,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,0.00048106854,0.00048106854,0.00051287454,0.00051873354,0.0004986455399999,0.00053045154,0.00053714754,0.0006015965399999,0.00065265354,0.00076397454,0.0009983345399999,0.00101842254,0.00103934754,0.00106194654,0.00108287154,0.00110630754,0.00112890654,0.00115234254,0.00117577854,0.00120088854,0.00122599854,0.00127633572,0.0012892869,0.00132906672,0.0013933818,0.002328813,0.00237796164,0.0025100681399999,0.0025642108799999,0.00261919062,0.0027653754599999,0.00284135274,0.0030000953699999,0.00310191921,0.0032062568399999,0.0033164227799999,0.00310463388,0.00311854761,0.00313026561,0.0030954659399999,0.0030852322199999,0.00313464312,0.0032123976299999,0.0036641014199999,0.00371157327,0.0032052077999999,0.0032293552499999,0.0032736185999999,0.00327478761
Non-Annex_I,India +,NPL,Nepal,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,0.0010605181897349,0.0010605181897349,0.0010605181897349,0.0010654053624269,0.000862241440527,0.000782693770464,0.00089667976842,0.00090656798598,0.0009164562063299,0.0009458939343599,0.00105504586839,0.0012432432609324,0.0013755942173844,0.0014973780829022,0.001640072397231,0.001743197406741,0.0017850228804089,0.001986759450585,0.001774566703665,0.001702811905083,0.002244476175246,0.002541654061173,0.0027882341532,0.0029493926442,0.0033582416156999,0.00403281438336,0.0043600927618169,0.0046026400475069,0.0049514989758029,0.0051515725667579,0.005622886315898,0.00561559035879,0.00595023108885,0.00611767407996,0.0064543183145999,0.0065022390867599,0.00797927807979,0.0076660194214799,0.0097537053490199,0.01264226649327,0.014418745668,0.015292998027,0.016926773481,0.019167320925,0.021581521875,0.018270458685,0.0307254698279999,0.0370646620289999,0.0411861557699999
Non-Annex_I,India +,NPL,Nepal,1.A.4,Other Sectors,fossil,CH4,MtCO2,0.0002131699499999,0.0002131699499999,0.00037192095,0.00036048474,0.00029854395,0.000352626705,0.0003454452449999,0.0003627,0.0003569804999999,0.00039630555,0.0004333344299999,0.00038894832,0.0004255475399999,0.0007379131499999,0.00081357237,0.00070239087,0.0008039970899999,0.00077805009,0.0009146205899999,0.00094382631,0.00112412169,0.0013986437399999,0.00164312307,0.0018472882949999,0.002309488065,0.0026303227199999,0.00278505612,0.0032117085,0.0033582588299999,0.0041688933299999,0.00409302765,0.00480135006,0.00425372328,0.0046438266599999,0.00391369761,0.0041215275,0.00306569943,0.0026224883999999,0.00206348958,0.00221440626,0.00249524208,0.0027732432599999,0.0030197341799999,0.00316632915,0.0034331507999999,0.0030921318899999,0.00452211012,0.00519637779,0.005734476162
Non-Annex_I,India +,NPL,Nepal,1.A.4,Other Sectors,bio,CH4,MtCO2,1.3548404609999998,1.3548404609999998,1.3839435089999998,1.414315728,1.445852493,1.477947816,1.511089668,1.544757993,1.579446342,1.6145356139999998,1.6493935949999998,1.6849734885,1.721342394,1.7585174699999997,1.796522292,1.8353023155,1.8748854405,1.9152595305,1.956460158,1.998574371,2.0417499,2.0855597355,2.130300315,2.1759781950000003,2.222675262,2.232618822,2.280301317,2.3292873,2.379260943,2.4302486115,2.5669957185,2.6313434415,2.720386989,2.7787483485,2.8383926895,2.899321686,2.95255377,3.013714755,3.0778653645,3.117825,3.1483625265,3.182892822,2.941439247,3.270844503,3.3150450780000003,3.360095208,3.3932528235,3.4471779435,3.4496083125
Non-Annex_I,India +,NPL,Nepal,1.A.5,Non-Specified,bio,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010881,0.00020925,,,,,,,,,,,,,
Non-Annex_I,India +,NPL,Nepal,1.B.1,Solid Fuels,bio,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01798992,0.02568753,0.02568753,0.02568753,0.02568753,0.02568753,0.02568753,0.02568753,0.02568753,0.02568753,0.02568753,0.02568753,0.02828223,0.02828223,0.02828223,0.02828223,0.02828223,0.0294066,0.0297143369999999
Non-Annex_I,India +,NPL,Nepal,1.B.1,Solid Fuels,fossil,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0067905809999999,0.0039916529999999,0.004786803,0.0039916529999999,0.0035940779999999,0.004786803,0.0079833059999999,0.005597856,0.005995431,0.005995431,0.005995431,0.005995431,0.006393006,0.0067905809999999,0.0071881559999999,0.007585731,0.008396784,0.009287352,0.0098662212
Non-Annex_I,India +,NPL,Nepal,3.A.1,Enteric Fermentation,fossil,CH4,MtCO2,7.04298672,7.252454339999999,7.517749859999999,7.65565398,7.908952500000001,8.27106939,8.552666879999999,8.9071587,9.17392176,9.3437937,9.854503200000002,9.892056599999998,9.7398342,9.9604116,10.04178195,10.0716044274,10.185023451599998,10.236391704,10.3031898561,10.3634498385,10.3828225383,10.4208668388,10.4456795085,10.4699605158,10.8835630893,11.2842708966,11.464649586,11.6074524717,11.7423267912,11.8287443628,11.9349518229,12.084711462,12.2217281109,12.4507745838,12.6679982364,12.911817312899998,13.1414177403,13.4915985081,13.767901164,14.167340163,14.491179369,14.813502489,15.101177157,15.345229338,15.281360658,15.277476141,15.42967371,15.503949648,15.753448188
