code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,3.31502,92.82056,89.50554
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.0859451,22.7754515,23.4630123
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,4055.9,113565.2,109509.3
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,21.2737,21.2737,21.2737
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,204.2931427,54137.6828155,55772.0279571
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,179.86474,5036.21272,4856.3479800000005
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,1.927408,510.76312,526.182384
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Buildings,Residential,CH4,28,27.0,4.78788,134.06064,129.27276
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Buildings,Residential,N2O,265,273.0,0.0239394,6.343941,6.5354562
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Energy systems,Electricity & heat,CO2,1,1.0,12819.3,12819.3,12819.3
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Energy systems,Electricity & heat,CH4,28,27.0,0.519,14.532,14.013
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Energy systems,Electricity & heat,N2O,265,273.0,0.1038,27.507,28.3374
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,7030693.50454,7030693.50454,7030693.50454
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,215916.3081,6477489.243,6434305.98138
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Energy systems,Oil and gas fugitive emissions,N2O,265,273.0,97.16133,25747.75245,26525.043090000003
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Energy systems,Other (energy systems),CO2,1,1.0,131528.0,131528.0,131528.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Energy systems,Other (energy systems),CH4,28,27.0,17.75,497.0,479.25
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Energy systems,Other (energy systems),N2O,265,273.0,27.339441,7244.951865,7463.667393000001
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Chemicals,CO2,1,1.0,41960.6573,41960.6573,41960.6573
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Chemicals,N2O,265,273.0,108.791055,28829.629575,29699.958015
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Metals,C2F6,11100,12400.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Metals,CF4,6630,7380.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),CO2,1,1.0,18909.7,18909.7,18909.7
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),CH4,28,27.0,0.789,22.092,21.303
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),N2O,265,273.0,0.1578,41.817,43.0794
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),HCFC-141b,782,860.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),HCFC-142b,1980,2300.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),HFC-125,3170,3740.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),HFC-134a,1300,1530.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),HFC-143a,4800,5810.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),HFC-245fa,858,962.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),HFC-32,677,771.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Other (industry),HFC-365mfc,804,914.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Waste,CH4,28,27.0,4443.788855809,124426.087962652,119982.299106843
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Industry,Waste,N2O,265,273.0,29.9548,7938.022,8177.6604
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Transport,Road,CO2,1,1.0,93139.3,93139.3,93139.3
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Transport,Road,CH4,28,27.0,39.85736,1116.00608,1076.14872
OMN,Oman,Middle East,Middle East,Middle East,developing,1970,Transport,Road,N2O,265,273.0,2.485258,658.5933699999999,678.475434
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,3.31502,92.82056,89.50554
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.0859451,22.7754515,23.4630123
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,4257.8,119218.4,114960.6
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,21.2737,21.2737,21.2737
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,213.3456697,56536.6024705,58243.3678281
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,188.36407,5274.19396,5085.82989
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,1.915213,507.531445,522.853149
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Buildings,Residential,CH4,28,27.0,4.78788,134.06064,129.27276
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Buildings,Residential,N2O,265,273.0,0.0239394,6.343941,6.5354562
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Energy systems,Electricity & heat,CO2,1,1.0,12819.3,12819.3,12819.3
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Energy systems,Electricity & heat,CH4,28,27.0,0.519,14.532,14.013
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Energy systems,Electricity & heat,N2O,265,273.0,0.1038,27.507,28.3374
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,7030693.50454,7030693.50454,7030693.50454
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,215916.3081,6477489.243,6434305.98138
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Energy systems,Oil and gas fugitive emissions,N2O,265,273.0,97.16133,25747.75245,26525.043090000003
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Energy systems,Other (energy systems),CO2,1,1.0,131528.0,131528.0,131528.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Energy systems,Other (energy systems),CH4,28,27.0,17.75,497.0,479.25
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Energy systems,Other (energy systems),N2O,265,273.0,27.339441,7244.951865,7463.667393000001
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Chemicals,CO2,1,1.0,42770.093,42770.093,42770.093
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Chemicals,N2O,265,273.0,112.566449,29830.108985000003,30730.640577
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Metals,C2F6,11100,12400.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Metals,CF4,6630,7380.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),CO2,1,1.0,18909.7,18909.7,18909.7
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),CH4,28,27.0,0.789,22.092,21.303
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),N2O,265,273.0,0.1578,41.817,43.0794
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),HCFC-141b,782,860.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),HCFC-142b,1980,2300.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),HFC-125,3170,3740.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),HFC-134a,1300,1530.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),HFC-143a,4800,5810.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),HFC-245fa,858,962.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),HFC-32,677,771.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Other (industry),HFC-365mfc,804,914.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Waste,CH4,28,27.0,4829.035737515,135213.00065042,130383.964912905
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Industry,Waste,N2O,265,273.0,31.5313,8355.7945,8608.0449
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Transport,Road,CO2,1,1.0,93139.272,93139.272,93139.272
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Transport,Road,CH4,28,27.0,39.8573614,1116.0061192,1076.1487578
OMN,Oman,Middle East,Middle East,Middle East,developing,1971,Transport,Road,N2O,265,273.0,2.4852578,658.593317,678.4753794
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,3.37669,94.54732,91.17063
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,0.087544,23.19916,23.899512
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,4770.96,133586.88,128815.92
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,21.2737,21.2737,21.2737
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,242.0161505,64134.2798825,66070.4090865
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,209.08753,5854.45084,5645.36331
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,2.262439,599.546335,617.645847
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,Buildings,Residential,CH4,28,27.0,4.95404,138.71312,133.75908
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,Buildings,Residential,N2O,265,273.0,0.0247702,6.564102999999999,6.7622646
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,Energy systems,Electricity & heat,CO2,1,1.0,25638.6,25638.6,25638.6
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,Energy systems,Electricity & heat,CH4,28,27.0,1.038,29.064,28.026
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,Energy systems,Electricity & heat,N2O,265,273.0,0.2076,55.014,56.674800000000005
OMN,Oman,Middle East,Middle East,Middle East,developing,1972,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,7029622.32603,7029622.32603,7029622.32603
