code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
PAK,PAKISTAN,1972,MtCO2,18.927333333333333,2.515333333333333,9.291333333333332,5.412,1.298,0.4106666666666666,0.0002933333333333,0.8506666666666667
PAK,PAKISTAN,1973,MtCO2,20.034666666666663,2.4346666666666663,9.493,6.178333333333333,1.4336666666666664,0.4986666666666666,0.0002933333333333,1.0706666666666664
PAK,PAKISTAN,1974,MtCO2,21.417,2.295333333333333,9.764333333333331,7.010666666666666,1.7306666666666666,0.616,0.0003299999999999,1.3823333333333332
PAK,PAKISTAN,1975,MtCO2,23.21733333333333,2.3686666666666665,11.073333333333332,7.604666666666666,1.5546666666666664,0.616,0.0003299999999999,0.9496666666666668
PAK,PAKISTAN,1976,MtCO2,22.836,2.0203333333333333,10.538,7.989666666666666,1.5656666666666663,0.7223333333333333,0.0003299999999999,0.6013333333333333
PAK,PAKISTAN,1977,MtCO2,24.387,2.31,10.904666666666666,8.873333333333331,1.5766666666666664,0.7223333333333333,0.0003299999999999,0.7516666666666666
PAK,PAKISTAN,1978,MtCO2,26.136,2.3576666666666664,12.199,9.089666666666666,1.5473333333333332,0.9423333333333332,0.0003299999999999,0.726
PAK,PAKISTAN,1979,MtCO2,28.248,2.625333333333333,13.071666666666664,9.749666666666666,1.705,1.0963333333333332,0.0003666666666666,1.199
PAK,PAKISTAN,1980,MtCO2,32.065,3.487,13.937,11.542666666666666,1.6646666666666663,1.4336666666666664,0.0004033333333333,1.144
PAK,PAKISTAN,1981,MtCO2,34.397,3.619,14.142333333333331,13.405333333333331,1.7893333333333332,1.441,0.0004033333333333,1.0486666666666664
PAK,PAKISTAN,1982,MtCO2,37.38166666666667,4.642,15.821666666666664,13.852666666666666,1.8443333333333327,1.2173333333333332,0.0004399999999999,0.7663333333333333
PAK,PAKISTAN,1983,MtCO2,40.30033333333333,4.158,17.479,14.586,2.464,1.6133333333333333,0.0004399999999999,0.605
PAK,PAKISTAN,1984,MtCO2,42.85233333333333,4.810666666666666,19.517666666666663,14.611666666666666,2.343,1.5656666666666663,0.0004766666666666,0.5426666666666666
PAK,PAKISTAN,1985,MtCO2,47.17166666666667,5.800666666666666,21.86433333333333,15.484333333333332,2.607,1.415333333333333,0.0004766666666666,0.44
PAK,PAKISTAN,1986,MtCO2,49.44866666666666,6.273666666666666,22.935,16.243333333333332,2.607,1.3896666666666666,0.0005133333333333,0.44
PAK,PAKISTAN,1987,MtCO2,53.52966666666666,6.442333333333333,25.061666666666664,16.797,3.406333333333333,1.8186666666666664,0.0005133333333333,0.3703333333333333
PAK,PAKISTAN,1988,MtCO2,58.20833333333333,7.113333333333333,27.349666666666664,18.26,3.5126666666666666,1.9763333333333333,0.0005499999999999,0.396
PAK,PAKISTAN,1989,MtCO2,60.951,7.087666666666666,29.439666666666664,20.966,3.4576666666666664,0.0,0.0005499999999999,0.3996666666666666
PAK,PAKISTAN,1990,MtCO2,68.55933333333333,8.536,33.15033333333333,23.133,3.736333333333333,0.0,0.0006233333333333,0.418
PAK,PAKISTAN,1991,MtCO2,68.23666666666665,8.03,32.33633333333333,24.002,3.872,0.0,0.0005866666666666,0.517
