code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,3682.248414,103102.955592,99420.707178
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,95.4655806,25298.378859,26062.1035038
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,310326.9,8689153.200000001,8378826.300000001
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,140171.2,140171.2,140171.2
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,11220.520186,2973437.84929,3063202.010778
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,9608.6628,269042.5584,259433.8956
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,546.06718,144707.8027,149076.34014
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,68971.54,1931203.12,1862231.58
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,Buildings,Non-residential,CO2,1,1.0,373138.0,373138.0,373138.0
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,Buildings,Non-residential,CH4,28,27.0,50.11,1403.08,1352.97
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,Buildings,Non-residential,N2O,265,273.0,3.0066,796.749,820.8018000000001
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,Buildings,Residential,CO2,1,1.0,1772222.9,1772222.9,1772222.9
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,Buildings,Residential,CH4,28,27.0,30118.36,843314.0800000001,813195.72
PER,Peru,Latin America and Caribbean,Latin America and Caribbean,South America,developing,1970,Buildings,Residential,N2O,265,273.0,411.5524,109061.386,112353.8052
