code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
PHL,PHILIPPINES,1907,MtCO2,0.0073333333333333,0.0073333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1908,MtCO2,0.0183333333333333,0.0183333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1909,MtCO2,0.055,0.055,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1910,MtCO2,0.0513333333333333,0.0513333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1911,MtCO2,0.0366666666666666,0.0366666666666666,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1912,MtCO2,0.0036666666666666,0.0036666666666666,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1913,MtCO2,0.0073333333333333,0.0073333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1914,MtCO2,0.0183333333333333,0.0183333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1915,MtCO2,0.055,0.055,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1916,MtCO2,0.0513333333333333,0.0513333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1917,MtCO2,0.011,0.011,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1918,MtCO2,0.0293333333333333,0.0293333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1919,MtCO2,0.0586666666666666,0.0586666666666666,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1920,MtCO2,0.1026666666666666,0.1026666666666666,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1921,MtCO2,0.0696666666666666,0.0696666666666666,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1922,MtCO2,0.077,0.077,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1923,MtCO2,0.077,0.077,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1924,MtCO2,0.0843333333333333,0.0843333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1925,MtCO2,0.0843333333333333,0.0843333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1926,MtCO2,0.0513333333333333,0.0513333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1927,MtCO2,0.0403333333333333,0.0403333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1928,MtCO2,0.0806666666666666,0.0476666666666666,0.0,0.0,0.033,,,0.0
PHL,PHILIPPINES,1929,MtCO2,0.0696666666666666,0.0293333333333333,0.0,0.0,0.0366666666666666,,,0.0
PHL,PHILIPPINES,1930,MtCO2,0.088,0.0366666666666666,0.0,0.0,0.0513333333333333,,,0.0
PHL,PHILIPPINES,1931,MtCO2,0.0806666666666666,0.033,0.0,0.0,0.0476666666666666,,,0.0
PHL,PHILIPPINES,1932,MtCO2,0.088,0.033,0.0,0.0,0.0586666666666666,,,0.0
PHL,PHILIPPINES,1933,MtCO2,0.077,0.0293333333333333,0.0,0.0,0.0476666666666666,,,0.0
PHL,PHILIPPINES,1934,MtCO2,0.088,0.0403333333333333,0.0,0.0,0.0476666666666666,,,0.0
PHL,PHILIPPINES,1935,MtCO2,0.099,0.044,0.0,0.0,0.055,,,0.0
PHL,PHILIPPINES,1936,MtCO2,0.121,0.055,0.0,0.0,0.066,,,0.0
PHL,PHILIPPINES,1937,MtCO2,0.121,0.0476666666666666,0.0,0.0,0.0733333333333333,,,0.0
PHL,PHILIPPINES,1938,MtCO2,0.1576666666666666,0.0733333333333333,0.0,0.0,0.0843333333333333,,,0.0
PHL,PHILIPPINES,1939,MtCO2,0.0843333333333333,0.0843333333333333,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1940,MtCO2,0.1136666666666666,0.1136666666666666,0.0,0.0,0.0,,,0.0
PHL,PHILIPPINES,1941,MtCO2,0.0916666666666666,,,,0.0916666666666666,,,0.0
PHL,PHILIPPINES,1945,MtCO2,0.0146666666666666,,,,0.0146666666666666,,,0.0
PHL,PHILIPPINES,1946,MtCO2,0.1136666666666666,0.0843333333333333,0.0,0.0,0.0293333333333333,,,0.0
PHL,PHILIPPINES,1947,MtCO2,0.198,0.132,0.0,0.0,0.066,,,0.0
PHL,PHILIPPINES,1948,MtCO2,0.2163333333333333,0.1576666666666666,0.0,0.0,0.0586666666666666,,,0.0
PHL,PHILIPPINES,1949,MtCO2,0.319,0.22,0.0,0.0,0.099,,,0.0
PHL,PHILIPPINES,1950,MtCO2,3.608,0.1833333333333333,3.278,0.0,0.1466666666666666,0.0,0.0001833333333333,0.2236666666666666
PHL,PHILIPPINES,1951,MtCO2,3.556666666666666,0.1723333333333333,3.230333333333333,0.0,0.154,0.0,0.0001833333333333,0.242
PHL,PHILIPPINES,1952,MtCO2,4.0553333333333335,0.1466666666666666,3.7546666666666666,0.0,0.154,0.0,0.0002199999999999,0.242
PHL,PHILIPPINES,1953,MtCO2,4.037,0.176,3.714333333333333,0.0,0.1466666666666666,0.0,0.0001833333333333,0.253
PHL,PHILIPPINES,1954,MtCO2,5.335,0.1356666666666666,5.045333333333333,0.0,0.154,0.0,0.0002566666666666,0.2713333333333333
PHL,PHILIPPINES,1955,MtCO2,6.622,0.154,6.273666666666666,0.0,0.198,0.0,0.0002933333333333,0.2823333333333333
PHL,PHILIPPINES,1956,MtCO2,6.259,0.1796666666666666,5.859333333333333,0.0,0.2163333333333333,0.0,0.0002933333333333,0.2933333333333333
PHL,PHILIPPINES,1957,MtCO2,6.735666666666666,0.2163333333333333,6.266333333333333,0.0,0.253,0.0,0.0002933333333333,0.3006666666666666
PHL,PHILIPPINES,1958,MtCO2,7.568,0.132,7.117,0.0,0.319,0.0,0.0002933333333333,0.187
PHL,PHILIPPINES,1959,MtCO2,7.234333333333333,0.1686666666666666,6.702666666666666,0.0,0.363,0.0,0.0002933333333333,0.1356666666666666
PHL,PHILIPPINES,1960,MtCO2,8.334333333333332,0.1796666666666666,7.758666666666666,0.0,0.396,0.0,0.0003299999999999,0.143
PHL,PHILIPPINES,1961,MtCO2,8.723,0.1796666666666666,8.03,0.0,0.5096666666666666,0.0,0.0003299999999999,0.1833333333333333
PHL,PHILIPPINES,1962,MtCO2,10.347333333333331,0.2126666666666666,9.654333333333332,0.0,0.4803333333333333,0.0,0.0003666666666666,0.2346666666666666
PHL,PHILIPPINES,1963,MtCO2,11.484,0.2016666666666666,10.809333333333331,0.0,0.473,0.0,0.0004033333333333,0.2933333333333333
PHL,PHILIPPINES,1964,MtCO2,12.837,0.1503333333333333,12.089,0.0,0.5976666666666667,0.0,0.0004399999999999,0.649
PHL,PHILIPPINES,1965,MtCO2,13.981,0.1503333333333333,13.064333333333332,0.0,0.7626666666666666,0.0,0.0004399999999999,0.968
PHL,PHILIPPINES,1966,MtCO2,16.122333333333334,0.1356666666666666,15.183666666666666,0.0,0.803,0.0,0.0005133333333333,1.452
PHL,PHILIPPINES,1967,MtCO2,18.230666666666664,0.1063333333333333,17.072,0.0,1.0523333333333331,0.0,0.0005499999999999,2.244
PHL,PHILIPPINES,1968,MtCO2,22.249333333333333,0.088,20.881666666666664,0.0,1.2796666666666665,0.0,0.0006599999999999,2.563
PHL,PHILIPPINES,1969,MtCO2,22.858,0.077,21.310666666666663,0.0,1.4703333333333333,0.0,0.0006599999999999,2.1156666666666664
PHL,PHILIPPINES,1970,MtCO2,24.779333333333334,0.0843333333333333,23.474,0.0,1.221,0.0,0.0006966666666666,1.2063333333333333
PHL,PHILIPPINES,1971,MtCO2,27.584333333333333,0.077,25.952666666666666,0.0,1.5546666666666664,0.0,0.00077,1.606
PHL,PHILIPPINES,1972,MtCO2,26.44033333333333,0.077,24.915,0.0,1.4483333333333333,0.0,0.0006966666666666,1.3383333333333332
PHL,PHILIPPINES,1973,MtCO2,31.540666666666663,0.0623333333333333,29.45433333333333,0.0,2.024,0.0,0.0008066666666666,1.1146666666666665
PHL,PHILIPPINES,1974,MtCO2,30.528666666666663,0.1136666666666666,28.669666666666664,0.0,1.7453333333333332,0.0,0.00077,0.5096666666666666
PHL,PHILIPPINES,1975,MtCO2,32.52333333333333,0.1503333333333333,30.24633333333333,0.0,2.1266666666666665,0.0,0.0008066666666666,0.7296666666666666
PHL,PHILIPPINES,1976,MtCO2,35.126666666666665,0.1723333333333333,32.71033333333333,0.0,2.244,0.0,0.0008433333333333,0.7113333333333333
PHL,PHILIPPINES,1977,MtCO2,36.751,0.7223333333333333,33.935,0.0,2.0936666666666666,0.0,0.0008433333333333,0.8653333333333333
PHL,PHILIPPINES,1978,MtCO2,37.47333333333333,0.8836666666666666,34.43,0.0,2.163333333333333,0.0,0.0008433333333333,0.847
PHL,PHILIPPINES,1979,MtCO2,38.133333333333326,1.1,35.06433333333333,0.0,1.969,0.0,0.0008433333333333,1.0266666666666666
PHL,PHILIPPINES,1980,MtCO2,36.99666666666666,1.3493333333333333,33.41433333333333,0.0,2.233,0.0,0.00077,0.825
PHL,PHILIPPINES,1981,MtCO2,34.661,1.2943333333333331,31.32433333333333,0.0,2.0386666666666664,0.0,0.0007333333333333,0.9936666666666666
PHL,PHILIPPINES,1982,MtCO2,34.99466666666667,1.6096666666666666,31.21433333333333,0.0,2.1706666666666665,0.0,0.0006966666666666,1.133
PHL,PHILIPPINES,1983,MtCO2,35.41266666666667,2.2,31.02733333333333,0.0,2.185333333333333,0.0,0.0006966666666666,1.199
PHL,PHILIPPINES,1984,MtCO2,30.990666666666662,3.564,25.604333333333333,0.0,1.8223333333333331,0.0,0.0005866666666666,1.199
