code,name,unit,sector,source,subsource,gas,year,value
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1990,0.0942055603844613
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1991,0.0953065193312347
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1992,0.0964074782780081
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1993,0.0975084372247815
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1994,0.0986093961715549
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1995,0.0997103551183283
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1996,0.100298725797899
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1997,0.10088709647747
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1998,0.10147546715704
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,1999,0.102063837836611
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2000,0.102652208516182
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2001,0.104731364705482
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2002,0.106810520894783
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2003,0.108889677084083
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2004,0.110968833273384
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2005,0.113047989462684
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2006,0.114140622281498
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2007,0.115233255100312
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2008,0.116325887919126
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2009,0.11741852073794
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2010,0.118511153556754
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2011,0.118547731955805
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2012,0.118584310354857
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2013,0.118620888753909
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2014,0.118657467152961
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2015,0.118694045552013
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2016,0.117815041787885
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2017,0.116936038023757
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2018,0.116057034259629
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2019,0.115178030495501
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2020,0.114299026731373
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2021,0.113535785330819
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2022,0.112772543930265
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2023,0.11200930252971
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2024,0.111246061129156
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2025,0.110482819728601
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2026,0.109774429088664
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2027,0.109066038448728
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2028,0.108357647808791
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2029,0.107649257168854
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2030,0.106940866528917
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2031,0.106216289762509
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2032,0.105491712996101
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2033,0.104767136229693
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2034,0.104042559463286
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2035,0.103317982696878
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2036,0.102647842953113
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2037,0.101977703209349
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2038,0.101307563465584
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2039,0.10063742372182
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2040,0.0999672839780554
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2041,0.0993113962153817
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2042,0.098655508452708
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2043,0.0979996206900343
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2044,0.0973437329273605
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2045,0.0966878451646868
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2046,0.0960800860445874
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2047,0.0954723269244881
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2048,0.0948645678043887
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2049,0.0942568086842893
PNG,Papua New Guinea,MtCO2eq,Agriculture,AgSoils,,N2O,2050,0.09364904956419
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1990,0.108405566341595
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1991,0.107991674756196
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1992,0.107577783170797
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1993,0.107163891585399
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1994,0.10675
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1995,0.106336108414601
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1996,0.106299307786286
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1997,0.106262507157972
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1998,0.106225706529657
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,1999,0.106188905901342
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2000,0.106152105273027
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2001,0.107881272871252
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2002,0.109610440469476
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2003,0.111339608067701
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2004,0.113068775665926
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2005,0.11479794326415
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2006,0.115629421895532
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2007,0.116460900526913
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2008,0.117292379158295
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2009,0.118123857789676
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2010,0.118955336421057
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2011,0.11905842121139
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2012,0.119161506001723
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2013,0.119264590792056
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2014,0.119367675582389
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2015,0.119470760372722
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2016,0.118764151655084
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2017,0.118057542937446
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2018,0.117350934219808
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2019,0.116644325502169
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2020,0.115937716784531
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2021,0.115358021953338
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2022,0.114778327122146
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2023,0.114198632290953
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2024,0.11361893745976
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2025,0.113039242628567
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2026,0.112505740742759
PNG,Papua New Guinea,MtCO2eq,Agriculture,Livestock,Enteric,CH4,2027,0.111972238856951
