code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
PRT,PORTUGAL,1870,MtCO2,0.022,0.022,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1871,MtCO2,0.0366666666666666,0.0366666666666666,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1872,MtCO2,0.5206666666666666,0.5206666666666666,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1873,MtCO2,0.726,0.726,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1874,MtCO2,0.5316666666666666,0.5316666666666666,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1875,MtCO2,1.1696666666666664,1.1696666666666664,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1876,MtCO2,1.1476666666666666,1.1476666666666666,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1877,MtCO2,0.671,0.671,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1878,MtCO2,0.6416666666666666,0.6416666666666666,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1879,MtCO2,0.7076666666666667,0.7076666666666667,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1880,MtCO2,0.88,0.88,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1881,MtCO2,0.891,0.891,0.0,0.0,0.0,,,0.0
PRT,PORTUGAL,1882,MtCO2,1.0853333333333333,1.0633333333333332,0.0256666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1883,MtCO2,1.1403333333333332,1.122,0.0183333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1884,MtCO2,1.2026666666666666,1.1733333333333331,0.0293333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1885,MtCO2,1.1146666666666665,1.0853333333333333,0.0293333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1886,MtCO2,1.232,1.2026666666666666,0.0293333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1887,MtCO2,1.2686666666666666,1.2393333333333332,0.0293333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1888,MtCO2,1.3676666666666666,1.3383333333333332,0.0293333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1889,MtCO2,1.573,1.54,0.033,0.0,0.0,,,0.0
PRT,PORTUGAL,1890,MtCO2,1.6793333333333331,1.6426666666666665,0.0366666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1891,MtCO2,1.7416666666666665,1.705,0.0366666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1892,MtCO2,1.694,1.65,0.044,0.0,0.0,,,0.0
PRT,PORTUGAL,1893,MtCO2,1.5143333333333333,1.474,0.044,0.0,0.0,,,0.0
PRT,PORTUGAL,1894,MtCO2,1.778333333333333,1.7343333333333333,0.0476666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1895,MtCO2,1.6976666666666664,1.6536666666666666,0.044,0.0,0.0,,,0.0
PRT,PORTUGAL,1896,MtCO2,1.7306666666666666,1.6903333333333332,0.0403333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1897,MtCO2,1.8186666666666664,1.7746666666666666,0.044,0.0,0.0,,,0.0
PRT,PORTUGAL,1898,MtCO2,2.0826666666666664,2.0386666666666664,0.044,0.0,0.0,,,0.0
PRT,PORTUGAL,1899,MtCO2,2.145,2.101,0.0476666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1900,MtCO2,2.4676666666666667,2.423666666666666,0.044,0.0,0.0,,,0.0
PRT,PORTUGAL,1901,MtCO2,2.3906666666666667,2.328333333333333,0.0623333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1902,MtCO2,2.6216666666666666,2.5666666666666664,0.055,0.0,0.0,,,0.0
PRT,PORTUGAL,1903,MtCO2,2.5226666666666664,2.460333333333333,0.066,0.0,0.0,,,0.0
PRT,PORTUGAL,1904,MtCO2,2.581333333333333,2.526333333333333,0.055,0.0,0.0,,,0.0
PRT,PORTUGAL,1905,MtCO2,2.5226666666666664,2.464,0.0586666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1906,MtCO2,2.900333333333333,2.8416666666666663,0.0586666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1907,MtCO2,3.164333333333333,3.098333333333333,0.066,0.0,0.0,,,0.0
PRT,PORTUGAL,1908,MtCO2,3.146,3.0836666666666663,0.066,0.0,0.0,,,0.0
PRT,PORTUGAL,1909,MtCO2,3.197333333333333,3.131333333333333,0.066,0.0,0.0,,,0.0
PRT,PORTUGAL,1910,MtCO2,3.252333333333333,3.1826666666666665,0.066,0.0,0.0,,,0.0
PRT,PORTUGAL,1911,MtCO2,3.146,3.076333333333333,0.066,0.0,0.0,,,0.0
PRT,PORTUGAL,1912,MtCO2,3.6556666666666655,3.5896666666666666,0.066,0.0,0.0,,,0.0
PRT,PORTUGAL,1913,MtCO2,3.861,3.762,0.099,0.0,0.0,,,0.0
PRT,PORTUGAL,1914,MtCO2,3.377,3.2926666666666664,0.0843333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1915,MtCO2,3.087333333333333,3.003,0.0843333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1916,MtCO2,2.992,2.900333333333333,0.088,0.0,0.0,,,0.0
PRT,PORTUGAL,1917,MtCO2,1.657333333333333,1.5693333333333332,0.088,0.0,0.0,,,0.0
PRT,PORTUGAL,1918,MtCO2,1.0963333333333332,1.0633333333333332,0.033,0.0,0.0,,,0.0
PRT,PORTUGAL,1919,MtCO2,2.1596666666666664,2.064333333333333,0.0953333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1920,MtCO2,2.1046666666666667,2.013,0.0916666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1921,MtCO2,2.1486666666666667,2.086333333333333,0.0623333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1922,MtCO2,2.9626666666666663,2.8416666666666663,0.121,0.0,0.0,,,0.0
PRT,PORTUGAL,1923,MtCO2,2.680333333333333,2.497,0.1833333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1924,MtCO2,3.032333333333333,2.834333333333333,0.198,0.0,0.0,,,0.0
PRT,PORTUGAL,1925,MtCO2,3.124,2.933333333333333,0.1906666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1926,MtCO2,3.1386666666666665,2.911333333333333,0.2273333333333333,0.0,0.0,,,0.0
PRT,PORTUGAL,1927,MtCO2,3.6336666666666666,3.3696666666666664,0.2676666666666666,0.0,0.0,,,0.0
PRT,PORTUGAL,1928,MtCO2,3.9966666666666666,3.6116666666666655,0.3483333333333333,0.0,0.0366666666666666,,,0.0
PRT,PORTUGAL,1929,MtCO2,3.971,3.586,0.341,0.0,0.044,,,0.0
PRT,PORTUGAL,1930,MtCO2,4.326666666666666,3.890333333333333,0.385,0.0,0.0476666666666666,,,0.0
PRT,PORTUGAL,1931,MtCO2,3.923333333333333,3.4906666666666664,0.385,0.0,0.0476666666666666,,,0.0
PRT,PORTUGAL,1932,MtCO2,3.3916666666666666,2.948,0.385,0.0,0.0586666666666666,,,0.0
PRT,PORTUGAL,1933,MtCO2,4.000333333333333,3.487,0.4326666666666666,0.0,0.0806666666666666,,,0.0
PRT,PORTUGAL,1934,MtCO2,4.099333333333333,3.505333333333333,0.4986666666666666,0.0,0.0916666666666666,,,0.0
PRT,PORTUGAL,1935,MtCO2,4.381666666666666,3.670333333333333,0.605,0.0,0.1063333333333333,,,0.0
PRT,PORTUGAL,1936,MtCO2,4.132333333333333,3.472333333333333,0.539,0.0,0.121,,,0.0
PRT,PORTUGAL,1937,MtCO2,4.935333333333333,4.220333333333333,0.5903333333333333,0.0,0.1283333333333333,,,0.0
PRT,PORTUGAL,1938,MtCO2,4.121333333333333,3.395333333333333,0.594,0.0,0.132,,,0.0
PRT,PORTUGAL,1939,MtCO2,4.7556666666666665,3.967333333333333,0.6416666666666666,0.0,0.1466666666666666,,,0.0
PRT,PORTUGAL,1940,MtCO2,3.901333333333333,3.0946666666666665,0.671,0.0,0.1356666666666666,,,0.0
PRT,PORTUGAL,1941,MtCO2,3.784,3.091,0.5573333333333332,0.0,0.1356666666666666,,,0.0
PRT,PORTUGAL,1942,MtCO2,3.0286666666666666,2.7756666666666665,0.132,0.0,0.121,,,0.0
PRT,PORTUGAL,1943,MtCO2,2.944333333333333,2.5556666666666663,0.2676666666666666,0.0,0.1246666666666666,,,0.0
PRT,PORTUGAL,1944,MtCO2,3.2486666666666664,2.786666666666666,0.3373333333333333,0.0,0.121,,,0.0
PRT,PORTUGAL,1945,MtCO2,3.340333333333333,2.636333333333333,0.572,0.0,0.132,,,0.0
PRT,PORTUGAL,1946,MtCO2,3.894,2.629,1.1036666666666666,0.0,0.1613333333333333,,,0.0
