IPCC_annex,C_group_IM24_sh,code,name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,gas,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.1.a,Main Activity Electricity and Heat Production,fossil,CH4,MtCO2,6.0264e-05,6.0264e-05,6.03477e-05,6.39468e-05,6.771329999999999e-05,6.0264e-05,6.35283e-05,0.0002588841,0.0004215968999999,0.0002238974999999,9.14841e-05,7.38234e-05,4.570019999999999e-05,4.22685e-05,4.58676e-05,4.26033e-05,5.32332e-05,5.633009999999999e-05,7.097759999999998e-05,3.5991e-06,7.198199999999999e-06,1.07973e-05,1.07973e-05,1.4396399999999998e-05,7.198199999999999e-06,0.0001256337,2.511e-05,2.15109e-05,2.15109e-05,2.511e-05,,,,,,,,,,,,,3.5991e-06,3.5991e-06,3.5991e-06,3.5991e-06,3.5991e-06,1.674e-06,1.7614832399999998e-06
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.1.a,Main Activity Electricity and Heat Production,bio,CH4,MtCO2,0.001299861,0.001299861,0.001309068,0.0013576139999999,0.0015350579999999,0.001033695,0.0010094219999999,0.0011291129999999,0.00135594,0.001332504,0.001251315,0.001150038,0.000600966,0.000804357,0.001098981,0.0009047969999999,0.000411804,0.0004067819999999,0.0010094219999999,0.000673785,0.001508274,0.004395924,0.001022814,0.0009968669999999,0.0033530219999999,0.000554931,0.0017769509999999,0.001533384,0.001533384,0.001533384,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,CH4,MtCO2,2.41893e-05,2.41893e-05,3.10527e-05,3.10527e-05,3.10527e-05,3.10527e-05,3.10527e-05,3.79161e-05,4.49469e-05,4.86297e-05,4.87971e-05,2.7621e-05,2.43567e-05,1.73259e-05,2.0925e-05,1.7158500000000002e-05,1.7158500000000002e-05,2.05902e-05,2.74536e-05,2.40219e-05,2.74536e-05,2.40219e-05,2.74536e-05,2.05902e-05,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.2,Manufacturing Industries and Construction,bio,CH4,MtCO2,0.0109888614,0.0109888614,0.0110558213999999,0.0131466474,0.0129005694,0.0109595664,0.0127047113999999,0.0129733883999999,0.0156743874,0.0162385254,0.0198610614,0.0198192114,0.0206762994,0.0225394613999999,0.0207608364,0.0210722003999999,0.0186256494,0.0246403313999999,0.0250973333999999,0.0294999533999999,0.0288194723999999,0.02819046132,0.0306485405999999,0.0272136823199999,0.03193217496,0.03968351478,0.0427558348799999,0.04473220392,0.0445415185799999,0.03806881344,0.0383920237799999,0.0364974966,0.0341048204999999,0.03376980288,0.0338148,0.0349336178999999,0.0355136588999999,0.0352968758999999,0.0357881949,0.0351185949,0.0363464739,0.0351721629,0.0352700919,0.0360928629,0.0372738699,0.0377132949,0.0476242119,0.047029356,0.047029356
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.2,Manufacturing Industries and Construction,fossil,CH4,MtCO2,7.21494e-05,7.21494e-05,9.61713e-05,9.27396e-05,8.24445e-05,9.9603e-05,0.0001064664,0.0001133297999999,0.0001064664,0.0001098980999999,8.24445e-05,9.61713e-05,0.0001373517,0.0001201932,0.0001098980999999,8.24445e-05,9.99378e-05,0.0001032020999999,0.0001514133,0.0001342548,0.0001613736,0.0002119283999999,0.0002705184,0.0001545102,0.0003599937,0.0002852496,0.0002989764,0.0003091040999999,0.0003228308999999,0.000298809,0.0002782188,0.0002575448999999,0.0002575448999999,0.0001717524,0.0002129328,0.0002454362999999,0.0001939608,8.063100000000001e-05,0.0001115162999999,0.0001012212,0.0001595600999999,0.0001539243,0.0002824875,0.0001252431,0.0001526966999999,0.0001887714,0.0002089152,0.0001680695999999,0.00020912463135
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.3.a,Civil Aviation,fossil,CH4,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.129950279e-06,1.129950279e-06,1.129950279e-06,1.129950279e-06,5.71951674e-07,5.71951674e-07,1.129950279e-06,1.129950279e-06,1.129950279e-06,1.129950279e-06,5.71951674e-07,5.71951674e-07,6.556488839999999e-07,6.89915943e-07
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CH4,MtCO2,0.0020640075156,0.0020613241773,0.0022139693711099,0.0025295076603,0.002072339181,0.0021526130051999,0.0023345202239999,0.0030278993103,0.0035630558504999,0.0039488488758,0.0043625481088499,0.0040073055417,0.0037306671650999,0.0032252237622,0.0039062213027999,0.0042808885000199,0.00429435351432,0.00478473009975,0.0051551488719,0.0051578296712999,0.0055215014840999,0.0053205315903,0.0060931813841999,0.0073114208504999,0.0086161606955999,0.0100863902276999,0.010170060291,0.0110737335905999,0.011561429385,0.0106557354279,0.0077814668538,0.00760401861579,0.0074758870538999,0.0080312587064999,0.0073449181484999,0.0067568369265,0.007286563206,0.0079525173456,0.0086672095209,0.0095555758203,0.0118899120716999,0.0129712848516,0.0133027980921,0.0135816057215999,0.0145131920505,0.0165189346847999,0.0194911905978,0.0230839851140999,0.0242903508146999
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.3.b_noRES,Road Transportation no resuspension,bio,CH4,MtCO2,,,,,,,,,,,,1.5735600837e-05,3.1387486608000005e-05,2.912763627e-05,4.260330837e-05,3.138748325999999e-05,2.469152232e-05,5.607895256999999e-05,5.833890558e-05,5.155918605e-05,5.381908326e-05,6.277489956e-05,6.277492467e-05,6.277494978e-05,4.260329163e-05,2.0171682423e-05,8.955890235e-06,1.1215806695999998e-05,8.955898047e-06,1.5735591629999997e-05,4.519796931e-06,2.259899163e-06,2.259899442e-06,2.259900279e-06,,5.607898884e-05,5.83389e-05,4.938307812e-05,9.868228047e-05,0.00018614864097,0.0002490075558,0.0002624832558,0.0002758751442,0.0003275181837,0.0003634255952999,0.0004328964279,0.0005069708163,0.0005268913605,0.0005268913605
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.3.c,Railways,bio,CH4,MtCO2,0.000465372,0.000465372,0.0004519799999999,0.0005022,0.000499689,0.000420174,0.0003515399999999,0.00036828,0.0003766499999999,0.000449469,0.000543213,0.0004804379999999,0.000511407,0.0004067819999999,0.0003733019999999,0.000333126,0.0003992489999999,0.0004854599999999,0.0004427729999999,0.000356562,0.000272862,0.000251937,0.000251937,0.0003414959999999,0.000262818,0.000274536,0.000251937,0.000256122,0.000252774,0.0002494259999999,0.0002494259999999,0.0002494259999999,,,,,,,,,,,,,,,,,
Non-Annex_I,Rest South America,PRY,Paraguay,1.A.3.d,Water-borne Navigation,fossil,CH4,MtCO2,5.858999999999999e-05,5.858999999999999e-05,4.17942e-05,4.17942e-05,4.17942e-05,3.33963e-05,3.33963e-05,3.33963e-05,3.33963e-05,3.33963e-05,2.51937e-05,2.51937e-05,1.67958e-05,2.51937e-05,1.67958e-05,4.17942e-05,8.222129999999999e-05,9.10098e-05,9.86265e-05,9.10098e-05,3.33963e-05,2.51937e-05,1.67958e-05,1.67958e-05,,,,,,,,,,,,,,,,,,,,,,,,,
