code,name,unit,sector,source,subsource,gas,year,value
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1990,1.2939603331908
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1991,1.33260764782495
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1992,1.37125496245909
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1993,1.40990227709324
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1994,1.44854959172738
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1995,1.48719690636153
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1996,1.53066952508922
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1997,1.57414214381692
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1998,1.61761476254461
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,1999,1.66108738127231
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2000,1.70456
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2001,1.71952892994075
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2002,1.73449785988149
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2003,1.74946678982224
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2004,1.76443571976299
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2005,1.77940464970373
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2006,1.84163105052119
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2007,1.90385745133865
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2008,1.9660838521561
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2009,2.02831025297356
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2010,2.09053665379101
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2011,2.11181651867618
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2012,2.13309638356135
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2013,2.15437624844652
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2014,2.17565611333169
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2015,2.19693597821686
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2016,2.23124289950952
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2017,2.26554982080218
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2018,2.29985674209485
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2019,2.33416366338751
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2020,2.36847058468017
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2021,2.4046965451642
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2022,2.44092250564823
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2023,2.47714846613227
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2024,2.5133744266163
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2025,2.54960038710033
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2026,2.5876028378897
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2027,2.62560528867907
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2028,2.66360773946844
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2029,2.7016101902578
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2030,2.73961264104717
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2031,2.78125285487679
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2032,2.8228930687064
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2033,2.86453328253601
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2034,2.90617349636562
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2035,2.94781371019523
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2036,2.99236905748082
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2037,3.03692440476641
SEN,Senegal,MtCO2eq,Agriculture,AgSoils,,N2O,2038,3.08147975205199
