code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SLE,Sierra Leone,CAIT,Total excluding LUCF,All GHG,4.031238348,4.022263749,4.134029251,4.221280152,4.205897054,3.872225556,3.128991419,3.079169383,3.062905547,2.81363641,3.006116974,3.601386389,4.029165504,4.87545702,5.279892335,5.28925095,6.691802024,6.012820599,5.282583374,5.608064448,5.364764123,5.995095981,7.106561739,7.071679398,7.534345356,7.462474714,7.63691496,7.471208005,7.19098155
SLE,Sierra Leone,CAIT,Total including LUCF,All GHG,7.467441313,7.458466715,7.570232216,7.657483118,7.642100019,7.308428521,6.556224492,6.542205835,6.670575179,6.343976089,6.521897205,6.948908556,7.376687671,8.307674731,8.73220805,8.703522425,10.15679915,9.427092074,8.655468367,9.001047444,8.734536059,9.365659608,10.48884549,10.44869832,10.97165829,11.22588842,11.03255852,10.88383651,10.56652711
SLE,Sierra Leone,CAIT,Energy ,All GHG,0.772524709,0.790649777,0.888774845,0.890899913,0.912024981,0.682150049,0.739024937,0.686899825,0.736774713,0.637649601,0.897524489,0.93353631,1.038548132,1.094559953,1.080571774,0.997583596,1.147812461,1.059041326,1.077270192,1.078499057,1.123727923,1.307048968,1.439370013,1.624691058,1.739012103,1.507333148,1.535425107,1.547517065,1.601609023
SLE,Sierra Leone,CAIT,Industrial Processes ,All GHG,0.001333524,0.002116577,0.00289963,0.003682683,0.004465736,0.005248789,0.008969987,0.012691186,0.016412384,0.020133582,0.02385478,0.025113924,0.026373068,0.027632212,0.028891356,0.0301505,0.035998582,0.041846663,0.047694744,0.053542825,0.059390906,0.070814617,0.082238328,0.093662038,0.105085749,0.116509459,0.12997814,0.14344682,0.156915501
SLE,Sierra Leone,CAIT,Agriculture ,All GHG,2.4846993,2.4502822,2.4566052,2.5344136,2.490588,2.379474,1.5661065,1.5551511,1.4757539,1.3123514,1.2316986,1.758089,2.0479891,2.8054016,3.1909579,3.2504375,4.4646101,3.8362502,3.0496345,3.3357371,3.0090583,3.4139413,4.3509582,4.088627,4.3948441,4.5125246,4.613704,4.3907362,4.0112489
SLE,Sierra Leone,CAIT,Waste ,All GHG,0.772680814,0.779215195,0.785749575,0.792283956,0.798818336,0.805352717,0.814889995,0.824427272,0.83396455,0.843501827,0.853039105,0.884647155,0.916255205,0.947863254,0.979471304,1.011079354,1.043380882,1.07568241,1.107983938,1.140285466,1.172586994,1.203291096,1.233995199,1.264699301,1.295403404,1.326107506,1.357807713,1.389507919,1.421208126
SLE,Sierra Leone,CAIT,Land-Use Change and Forestry ,All GHG,3.436202965,3.436202965,3.436202965,3.436202965,3.436202965,3.436202965,3.427233073,3.463036452,3.607669632,3.530339678,3.515780231,3.347522167,3.347522167,3.432217712,3.452315715,3.414271475,3.464997128,3.414271475,3.372884993,3.392982996,3.369771936,3.370563626,3.382283749,3.377018926,3.437312935,3.763413703,3.395643563,3.412628509,3.375545559
SLE,Sierra Leone,CAIT,Bunker Fuels ,All GHG,0.151,0.163,0.054,0.061,0.058,0.005,0.005,0.005,0.005,0.005,0.01,0.0,0.0,0.001,0.035,0.005,0.038,0.0,0.008,0.005,0.005,0.005,0.006,0.006,0.006,0.005,0.014,0.015,0.015
SLE,Sierra Leone,CAIT,Electricity/Heat ,All GHG,0.115,0.112,0.187,0.19,0.193,0.056,0.062,0.056,0.091,0.031,0.09,0.05,0.103,0.098,0.079,0.049,0.078,0.034,0.034,0.036,0.019,0.019,0.051,0.051,0.054,0.057,0.063,0.066,0.07
SLE,Sierra Leone,CAIT,Manufacturing/Construction ,All GHG,0.082,0.088,0.062,0.059,0.064,0.029,0.053,0.015,0.015,0.015,0.043,0.044,0.078,0.069,0.079,0.016,0.04,0.02,0.013,0.044,0.065,0.053,0.059,0.092,0.12,0.096,0.099,0.104,0.109
SLE,Sierra Leone,CAIT,Transportation ,All GHG,0.111,0.124,0.13,0.13,0.14,0.083,0.093,0.067,0.067,0.032,0.16,0.122,0.146,0.202,0.207,0.254,0.297,0.285,0.258,0.29,0.348,0.408,0.41,0.502,0.555,0.46,0.465,0.468,0.492
SLE,Sierra Leone,CAIT,Building,All GHG,0.031,0.035,0.079,0.082,0.085,0.085,0.089,0.092,0.092,0.073,0.102,0.212,0.204,0.215,0.201,0.161,0.212,0.079,0.072,0.047,0.041,0.041,0.045,0.042,0.045,0.036,0.036,0.032,0.033
SLE,Sierra Leone,CAIT,Other Fuel Combustion ,All GHG,0.432350324,0.431473124,0.430595924,0.429718725,0.428841525,0.427964325,0.442833648,0.457702972,0.472572295,0.487441619,0.502310943,0.505319389,0.508327836,0.511336282,0.514344728,0.517353175,0.520582676,0.639812178,0.699041679,0.662271181,0.649500682,0.786837486,0.87417429,0.938511093,0.964847897,0.858184701,0.872276589,0.877368477,0.913460365
SLE,Sierra Leone,CAIT,Fugitive Emissions ,All GHG,0.000174385,0.000176653,0.000178921,0.000181189,0.000183457,0.000185724,0.000191289,0.000196853,0.000202418,0.000207982,0.000213547,0.000216921,0.000220296,0.000223671,0.000227046,0.000230421,0.000229785,0.000229149,0.000228513,0.000227876,0.00022724,0.000211482,0.000195723,0.000179965,0.000164206,0.000148448,0.000148518,0.000148588,0.000148658
