code,name,region_ar6_6,region_ar6_10,region_ar6_22,region_ar6_dev,year,sector_title,subsector_title,gas,gwp100_ar5,gwp100_ar6,value_native,value_ar5,value_ar6
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",CH4,28,27.0,485.91958,13605.74824,13119.82866
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Biomass burning (CH4, N2O)",N2O,265,273.0,12.59791598,3338.4477347,3439.23106254
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,Enteric Fermentation (CH4),CH4,28,27.0,459538.4,12867075.2,12407536.8
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",CO2,1,1.0,425.473,425.473,425.473
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Managed soils and pasture (CO2, N2O)",N2O,265,273.0,13743.19173151,3641945.80885015,3751891.34270223
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",CH4,28,27.0,20007.9484134,560222.5555752,540214.6071618
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,"Manure management (N2O, CH4)",N2O,265,273.0,2.71916796,720.5795094,742.3328530800001
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,AFOLU,Rice cultivation (CH4),CH4,28,27.0,72.9946,2043.8488,1970.8542
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Non-CO2 (all buildings),HFC-152a,138,164.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Non-CO2 (all buildings),HFC-227ea,3350,3600.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Non-residential,CH4,28,27.0,37.0988,1038.7664,1001.6676
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Non-residential,N2O,265,273.0,0.185494,49.15591,50.639862
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Residential,CO2,1,1.0,6291.049,6291.049,6291.049
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Residential,CH4,28,27.0,10384.5622885,290767.744078,280383.1817895
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Buildings,Residential,N2O,265,273.0,138.50006551,36702.51736015001,37810.51788423
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Electricity & heat,CO2,1,1.0,3442.37,3442.37,3442.37
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Electricity & heat,CH4,28,27.0,0.0418102,1.1706856,1.1288754
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Electricity & heat,N2O,265,273.0,0.01858232,4.924314799999999,5.07297336
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Oil and gas fugitive emissions,CO2,1,1.0,0.180726,0.180726,0.180726
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Oil and gas fugitive emissions,CH4,30,29.8,105.60238,3168.0714,3146.950924
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Other (energy systems),CO2,1,1.0,235609.1,235609.1,235609.1
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Other (energy systems),CH4,28,27.0,1707.109645,47799.07006,46091.960415
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Other (energy systems),N2O,265,273.0,93.3868183,24747.5068495,25494.6013959
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Petroleum refining,CO2,1,1.0,31468.6,31468.6,31468.6
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Petroleum refining,CH4,28,27.0,0.325257,9.107196,8.781939000000001
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Energy systems,Petroleum refining,N2O,265,273.0,0.243943,64.64489499999999,66.596439
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Chemicals,CO2,1,1.0,13280.529,13280.529,13280.529
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Chemicals,N2O,265,273.0,0.03789005,10.04086325,10.34398365
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),CO2,1,1.0,236274.138,236274.138,236274.138
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),CH4,28,27.0,59.9161536,1677.6523008,1617.7361472
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),N2O,265,273.0,10.0685927,2668.1770655,2748.7258071
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),HCFC-141b,782,860.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),HCFC-142b,1980,2300.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),HFC-125,3170,3740.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),HFC-134a,1300,1530.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),HFC-143a,4800,5810.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),HFC-245fa,858,962.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),HFC-32,677,771.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Other (industry),HFC-365mfc,804,914.0,0.0,0.0,0.0
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Waste,CH4,28,27.0,20261.18743,567313.2480400001,547052.06061
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Industry,Waste,N2O,265,273.0,59.4361,15750.5665,16226.0553
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Transport,Domestic Aviation,CO2,1,1.0,60685.86,60685.86,60685.86
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Transport,Domestic Aviation,CH4,28,27.0,0.4258194,11.9229432,11.4971238
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Transport,Domestic Aviation,N2O,265,273.0,1.7032796,451.369094,464.9953308
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Transport,Other (transport),CO2,1,1.0,1376.95,1376.95,1376.95
SOM,Somalia,Africa,Africa,Eastern Africa,ldc,1970,Transport,Other (transport),CH4,28,27.0,0.0771165,2.159262,2.0821455
