code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
SVN,198,Slovenia,5058,Enteric Fermentation,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0423,42.6402,41.3484,41.4072,42.3877,40.631,39.0747,35.9958,37.0359,38.6092,37.3986,37.63,35.713,35.972,35.3397,35.0264,36.6773,35.8339,35.9774,35.5374,34.9268,34.716,34.629,34.9797,36.1365,36.1401,35.0699,35.2865,,34.0235,31.6029
SVN,198,Slovenia,5058,Enteric Fermentation,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9281,34.2806,34.5972,36.1701,35.4393,33.4879,34.1813,35.6696,37.9572,37.2649,38.4003,36.2707,35.9947,36.623,36.5017,38.0735,37.2007,36.6067,36.1022,36.1117,35.9602,35.5516,36.32,37.4228,38.0486,37.2748,37.098,37.5869,,,
SVN,198,Slovenia,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.185,1193.9245,1157.7544,1159.4013,1186.8559,1137.6678,1094.0918,1007.8827,1037.0046,1081.0579,1047.1608,1053.64,999.965,1007.2171,989.5115,980.7383,1026.9632,1003.3478,1007.3676,995.0477,977.9498,972.0488,969.6127,979.433,1011.822,1011.9228,981.9564,988.023,,952.6589,884.88
SVN,198,Slovenia,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.9862,959.8566,968.7229,1012.7628,992.2992,937.6612,957.0765,998.7479,1062.8015,1043.4174,1075.2081,1015.5799,1007.8518,1025.4443,1022.0477,1066.0586,1041.6199,1024.9881,1010.8612,1011.1267,1006.8842,995.4461,1016.9595,1047.8371,1065.3619,1043.6951,1038.743,1052.4328,,,
SVN,198,Slovenia,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.185,1193.9245,1157.7544,1159.4013,1186.8559,1137.6678,1094.0918,1007.8827,1037.0046,1081.0579,1047.1608,1053.64,999.965,1007.2171,989.5115,980.7383,1026.9632,1003.3478,1007.3676,995.0477,977.9498,972.0488,969.6127,979.433,1011.822,1011.9228,981.9564,988.023,,952.6589,884.88
SVN,198,Slovenia,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.9862,959.8566,968.7229,1012.7628,992.2992,937.6612,957.0765,998.7479,1062.8015,1043.4174,1075.2081,1015.5799,1007.8518,1025.4443,1022.0477,1066.0586,1041.6199,1024.9881,1010.8612,1011.1267,1006.8842,995.4461,1016.9595,1047.8371,1065.3619,1043.6951,1038.743,1052.4328,,,
SVN,198,Slovenia,5059,Manure Management,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1053,10.502,10.2671,10.1152,10.2886,9.7555,9.8193,9.0052,8.8722,9.246,9.0592,9.4332,8.8536,8.3552,8.2519,8.3517,8.3955,7.6162,7.5224,7.2968,6.8979,6.6432,6.5666,6.5696,6.678,6.645,6.4646,6.375,,8.2274,7.8528
SVN,198,Slovenia,5059,Manure Management,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8248,12.2275,12.1725,11.0908,10.4595,10.5164,10.7598,9.6907,10.3699,10.2919,10.9285,10.4231,9.8516,9.9051,9.842,10.2209,9.669,9.7362,9.4193,9.2037,8.9463,8.9705,9.1168,9.4355,9.6374,9.5003,9.4295,9.3991,,,
SVN,198,Slovenia,5059,Manure Management,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4113,0.4244,0.4068,0.4037,0.4079,0.3946,0.3843,0.3488,0.3496,0.3585,0.349,0.3575,0.3343,0.326,0.3191,0.3174,0.3316,0.3148,0.315,0.3079,0.2988,0.2979,0.2951,0.2984,0.3074,0.3074,0.2993,0.2996,,0.3119,0.2921
SVN,198,Slovenia,5059,Manure Management,7230,Emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2916,0.2744,0.2742,0.2816,0.2731,0.2674,0.2727,0.2753,0.284,0.282,0.2971,0.2799,0.2703,0.2747,0.2736,0.286,0.2743,0.2766,0.2719,0.2644,0.2629,0.2593,0.2655,0.2745,0.2788,0.2752,0.2722,0.2712,,,
SVN,198,Slovenia,5059,Manure Management,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.9485,294.0573,287.4775,283.2267,288.0798,273.1526,274.9392,252.1449,248.4211,258.8866,253.6577,264.1304,247.8998,233.945,231.0526,233.848,235.0737,213.2539,210.6285,204.3115,193.1414,186.0102,183.8661,183.9487,186.9844,186.0607,181.0086,178.5004,,230.3678,219.8787
SVN,198,Slovenia,5059,Manure Management,724413,Emissions (CO2eq) from CH4 (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.0954,342.3705,340.8288,310.5422,292.865,294.4591,301.2748,271.3393,290.3581,288.1727,305.9972,291.8481,275.8437,277.3439,275.577,286.1861,270.7325,272.6139,263.74,257.7023,250.4975,251.1737,255.2707,264.1937,269.8469,266.0098,264.0257,263.1747,,,
SVN,198,Slovenia,5059,Manure Management,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.9991,112.477,107.7944,106.9725,108.1011,104.5708,101.8443,92.4266,92.6427,95.0081,92.4883,94.7379,88.6016,86.3877,84.56,84.1147,87.8648,83.4275,83.4764,81.5828,79.1708,78.9326,78.2044,79.0816,81.4601,81.4618,79.3091,79.4007,,82.6406,77.405
SVN,198,Slovenia,5059,Manure Management,724313,Emissions (CO2eq) from N2O (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2766,72.7273,72.6728,74.6314,72.3815,70.8581,72.264,72.9512,75.2516,74.7251,78.7318,74.165,71.6183,72.7848,72.5165,75.8007,72.6922,73.3062,72.0547,70.0616,69.6578,68.7046,70.3572,72.7546,73.8756,72.9251,72.1414,71.8629,,,
SVN,198,Slovenia,5059,Manure Management,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.9476,406.5343,395.2719,390.1992,396.1809,377.7234,376.7835,344.5716,341.0638,353.8947,346.1459,358.8683,336.5014,320.3327,315.6126,317.9627,322.9385,296.6814,294.1049,285.8943,272.3123,264.9429,262.0704,263.0303,268.4445,267.5226,260.3178,257.9011,,313.0085,297.2837
SVN,198,Slovenia,5059,Manure Management,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.372,415.0978,413.5016,385.1736,365.2465,365.3172,373.5388,344.2905,365.6097,362.8978,384.729,366.0131,347.462,350.1287,348.0935,361.9868,343.4247,345.9201,335.7947,327.7639,320.1553,319.8783,325.6279,336.9483,343.7225,338.9349,336.1671,335.0376,,,
SVN,198,Slovenia,5061,Synthetic Fertilizers,7234,Direct emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7512,0.6097,0.7019,0.55,0.3803,0.5359,0.5471,0.5404,0.5476,0.5464,0.5186,0.5348,0.471,0.4536,0.4706,0.4592,0.391,0.4254,0.4294,0.4243,0.4133,0.4284,0.4496,0.445,0.4258,0.4256,0.4289,0.4268,,0.4511,0.4539
SVN,198,Slovenia,5061,Synthetic Fertilizers,7234,Direct emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6119,0.5245,0.5334,0.5065,0.4918,0.5343,0.5469,0.5403,0.5368,0.5463,0.525,0.5422,0.4756,0.4584,0.4774,0.4653,0.3935,0.4432,0.4319,0.4264,0.4133,0.4284,0.4496,0.445,0.4258,0.4256,0.4289,0.4408,,,
SVN,198,Slovenia,5061,Synthetic Fertilizers,7236,Indirect emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2442,0.1981,0.2281,0.1788,0.1236,0.1742,0.1778,0.1756,0.178,0.1776,0.1685,0.1738,0.1531,0.1474,0.1529,0.1492,0.1271,0.1382,0.1396,0.1379,0.1343,0.1392,0.1461,0.1446,0.1384,0.1383,0.1394,0.1387,,0.1466,0.1475
SVN,198,Slovenia,5061,Synthetic Fertilizers,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9954,0.8078,0.93,0.7288,0.5039,0.7101,0.7249,0.7161,0.7256,0.724,0.6871,0.7087,0.6241,0.601,0.6235,0.6084,0.5181,0.5636,0.569,0.5622,0.5476,0.5677,0.5957,0.5896,0.5642,0.5639,0.5683,0.5655,,0.5977,0.6014
SVN,198,Slovenia,5061,Synthetic Fertilizers,7230,Emissions (N2O),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6119,0.5245,0.5334,0.5065,0.4918,0.5343,0.5469,0.5403,0.5368,0.5463,0.525,0.5422,0.4756,0.4584,0.4774,0.4653,0.3935,0.4432,0.4319,0.4264,0.4133,0.4284,0.4496,0.445,0.4258,0.4256,0.4289,0.4408,,,
