code,name,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SWZ,Eswatini,CAIT,Total excluding LUCF,All GHG,2.700994589,2.738594516,2.687428543,2.416679071,2.771097398,2.771658625,2.594681092,2.953097358,2.995877425,3.072584891,3.009649758,2.861691229,2.908735001,2.923803572,2.934654143,2.990638615,2.892451407,2.9759342,2.922467993,2.915817586,2.924869478,2.943065163,3.013611548,3.521374532,2.948540617,2.999426402,3.199751253,3.047562004,3.123151155
SWZ,Eswatini,CAIT,Total including LUCF,All GHG,2.608800296,2.646400223,2.59523425,2.324484777,2.678903105,2.679464332,2.555230577,2.885215507,2.989620152,3.024298125,2.933160841,2.743812552,2.784401024,2.816454541,2.825153346,2.874911704,2.76715614,2.985098841,2.877564738,2.793635375,2.822785271,2.839033022,2.900011051,3.409925802,2.83397883,2.876257548,3.086651333,2.927045494,2.999521588
SWZ,Eswatini,CAIT,Energy ,All GHG,1.191767171,1.184392425,1.087017679,1.000642932,1.319268186,1.28589344,1.089682323,1.452471206,1.501260089,1.613048971,1.547837854,1.505223993,1.502610131,1.440996269,1.447382407,1.472768546,1.444223665,1.447678784,1.398133903,1.410589022,1.328044141,1.342830973,1.390617804,1.887404635,1.305191466,1.383978297,1.584735298,1.398492298,1.459249298
SWZ,Eswatini,CAIT,Industrial Processes ,All GHG,0.004991933,0.005197027,0.005402122,0.005607217,0.005812312,0.006017406,0.007937392,0.009857378,0.011777363,0.013697349,0.015617335,0.017085732,0.018554129,0.020022527,0.021490924,0.022959321,0.026044929,0.029130536,0.032216144,0.035301752,0.038387359,0.044440599,0.05049384,0.05654708,0.06260032,0.06865356,0.075653535,0.082653509,0.089653483
SWZ,Eswatini,CAIT,Agriculture ,All GHG,1.1287618,1.1642748,1.2010219,1.0071855,1.0335169,1.0579912,1.0661365,1.0506756,1.0335785,0.9874088,0.9785965,0.8676863,0.9117784,0.9828953,0.9817942,1.006827,0.9262133,0.9952696,0.9803769,0.9503,1.0309254,1.0197498,1.0279249,1.0243166,1.0191114,0.9766259,0.9616897,0.9812394,0.9815675
SWZ,Eswatini,CAIT,Waste ,All GHG,0.375473685,0.384730264,0.393986843,0.403243421,0.4125,0.421756579,0.430924877,0.440093175,0.449261473,0.458429771,0.467598069,0.471695204,0.47579234,0.479889476,0.483986612,0.488083747,0.495969514,0.50385528,0.511741046,0.519626812,0.527512578,0.536043791,0.544575004,0.553106217,0.561637431,0.570168644,0.577672721,0.585176798,0.592680874
SWZ,Eswatini,CAIT,Land-Use Change and Forestry ,All GHG,-0.092194293,-0.092194293,-0.092194293,-0.092194293,-0.092194293,-0.092194293,-0.039450514,-0.067881851,-0.006257273,-0.048286766,-0.076488917,-0.117878677,-0.124333977,-0.10734903,-0.109500797,-0.115726911,-0.125295267,0.009164641,-0.044903255,-0.12218221,-0.102084207,-0.104032141,-0.113600497,-0.11144873,-0.114561787,-0.123168853,-0.11309992,-0.12051651,-0.123629567
SWZ,Eswatini,CAIT,Bunker Fuels ,All GHG,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.005,0.005
SWZ,Eswatini,CAIT,Electricity/Heat ,All GHG,0.271,0.244,0.208,0.103,0.098,0.054,0.049,0.061,0.063,0.051,0.167,0.178,0.236,0.236,0.241,0.243,0.239,0.249,0.256,0.255,0.253,0.254,0.267,0.639,0.152,0.156,0.22,0.04,0.044
SWZ,Eswatini,CAIT,Manufacturing/Construction ,All GHG,0.12,0.12,0.073,0.076,0.337,0.338,0.283,0.411,0.412,0.446,0.26,0.318,0.265,0.193,0.187,0.182,0.182,0.19,0.195,0.162,0.152,0.156,0.157,0.207,0.129,0.174,0.316,0.26,0.273
