code,name,unit,sector,source,subsource,gas,year,value
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1990,4.3433129119085
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1991,3.9884023295268
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1992,3.6334917471451
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1993,3.2785811647634
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1994,2.9236705823817
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1995,2.56876
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1996,2.460288
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1997,2.351816
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1998,2.243344
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,1999,2.134872
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2000,2.0264
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2001,2.10365321116876
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2002,2.18090642233751
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2003,2.25815963350627
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2004,2.33541284467503
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2005,2.41266605584379
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2006,2.49281280084637
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2007,2.57295954584895
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2008,2.65310629085153
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2009,2.73325303585411
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2010,2.81339978085669
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2011,2.9079866502575
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2012,3.00257351965831
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2013,3.09716038905911
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2014,3.19174725845992
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2015,3.28633412786072
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2016,3.33993299561271
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2017,3.3935318633647
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2018,3.44713073111669
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2019,3.50072959886868
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2020,3.55432846662067
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2021,3.60762572968267
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2022,3.66092299274467
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2023,3.71422025580667
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2024,3.76751751886867
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2025,3.82081478193067
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2026,3.87543816102326
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2027,3.93006154011585
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2028,3.98468491920844
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2029,4.03930829830102
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2030,4.09393167739361
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2031,4.14859349407543
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2032,4.20325531075725
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2033,4.25791712743906
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2034,4.31257894412088
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2035,4.3672407608027
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2036,4.42384750437451
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2037,4.48045424794632
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2038,4.53706099151813
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2039,4.59366773508995
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2040,4.65027447866176
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2041,4.70664919362852
TGO,Togo,MtCO2eq,Agriculture,AgSoils,,N2O,2042,4.76302390859528
