code,name,Year,unit,Total CO2 emissions from fossil-fuels and cement production (MtCO2),Emissions from solid fuel consumption,Emissions from liquid fuel consumption,Emissions from gas fuel consumption,Emissions from cement production,Emissions from gas flaring,Per capita CO2 emissions (tCO2),Emissions from bunker fuels (not included in the totals)
THA,THAILAND,1931,MtCO2,0.0293333333333333,,,,0.0293333333333333,,,0.0
THA,THAILAND,1932,MtCO2,0.0256666666666666,,,,0.0256666666666666,,,0.0
THA,THAILAND,1933,MtCO2,0.022,,,,0.022,,,0.0
THA,THAILAND,1934,MtCO2,0.0256666666666666,,,,0.0256666666666666,,,0.0
THA,THAILAND,1935,MtCO2,0.0256666666666666,,,,0.0256666666666666,,,0.0
THA,THAILAND,1936,MtCO2,0.0293333333333333,,,,0.0293333333333333,,,0.0
THA,THAILAND,1937,MtCO2,0.0366666666666666,,,,0.0366666666666666,,,0.0
THA,THAILAND,1938,MtCO2,0.0403333333333333,,,,0.0403333333333333,,,0.0
THA,THAILAND,1939,MtCO2,0.0476666666666666,,,,0.0476666666666666,,,0.0
THA,THAILAND,1940,MtCO2,0.0586666666666666,,,,0.0586666666666666,,,0.0
THA,THAILAND,1941,MtCO2,0.0586666666666666,,,,0.0586666666666666,,,0.0
THA,THAILAND,1943,MtCO2,0.033,,,,0.033,,,0.0
THA,THAILAND,1944,MtCO2,0.0146666666666666,,,,0.0146666666666666,,,0.0
THA,THAILAND,1947,MtCO2,0.0293333333333333,,,,0.0293333333333333,,,0.0
THA,THAILAND,1948,MtCO2,0.0403333333333333,,,,0.0403333333333333,,,0.0
THA,THAILAND,1949,MtCO2,0.0623333333333333,,,,0.0623333333333333,,,0.0
THA,THAILAND,1950,MtCO2,0.957,0.044,0.825,0.0,0.0843333333333333,0.0,3.6666666666666666e-05,0.033
THA,THAILAND,1951,MtCO2,1.0926666666666665,0.0476666666666666,0.891,0.0,0.154,0.0,3.6666666666666666e-05,0.033
THA,THAILAND,1952,MtCO2,1.2796666666666665,0.055,1.1036666666666666,0.0,0.1246666666666666,0.0,7.333333333333333e-05,0.0403333333333333
THA,THAILAND,1953,MtCO2,1.6463333333333332,0.099,1.4043333333333332,0.0,0.143,0.0,7.333333333333333e-05,0.0403333333333333
THA,THAILAND,1954,MtCO2,2.053333333333333,0.2053333333333333,1.6536666666666666,0.0,0.1906666666666666,0.0,7.333333333333333e-05,0.0513333333333333
THA,THAILAND,1955,MtCO2,2.376,0.132,2.053333333333333,0.0,0.1906666666666666,0.0,0.0001099999999999,0.066
THA,THAILAND,1956,MtCO2,2.6216666666666666,0.1173333333333333,2.31,0.0,0.198,0.0,0.0001099999999999,0.0733333333333333
THA,THAILAND,1957,MtCO2,2.926,0.143,2.5776666666666666,0.0,0.2016666666666666,0.0,0.0001099999999999,0.099
THA,THAILAND,1958,MtCO2,3.021333333333333,0.143,2.651,0.0,0.2273333333333333,0.0,0.0001099999999999,0.1393333333333333
THA,THAILAND,1959,MtCO2,3.3256666666666663,0.1466666666666666,2.926,0.0,0.253,0.0,0.0001099999999999,0.1173333333333333
THA,THAILAND,1960,MtCO2,3.714333333333333,0.1466666666666666,3.3036666666666665,0.0,0.264,0.0,0.0001466666666666,0.1686666666666666
THA,THAILAND,1961,MtCO2,4.147,0.121,3.6226666666666665,0.0,0.4033333333333333,0.0,0.0001466666666666,0.2383333333333333
THA,THAILAND,1962,MtCO2,5.034333333333333,0.1503333333333333,4.403666666666666,0.0,0.4803333333333333,0.0,0.0001833333333333,0.4326666666666666
THA,THAILAND,1963,MtCO2,5.569666666666666,0.1503333333333333,4.924333333333333,0.0,0.495,0.0,0.0001833333333333,0.418
THA,THAILAND,1964,MtCO2,7.48,0.1173333333333333,6.838333333333333,0.0,0.528,0.0,0.0002566666666666,0.44
THA,THAILAND,1965,MtCO2,7.450666666666666,0.1466666666666666,6.684333333333333,0.0,0.6233333333333333,0.0,0.0002199999999999,0.1173333333333333
THA,THAILAND,1966,MtCO2,9.478333333333332,0.1943333333333333,8.543333333333333,0.0,0.7406666666666666,0.0,0.0002933333333333,0.0843333333333333
THA,THAILAND,1967,MtCO2,12.166,0.374,10.930333333333332,0.0,0.8653333333333333,0.0,0.0003666666666666,0.187
THA,THAILAND,1968,MtCO2,17.097666666666665,0.3483333333333333,15.568666666666664,0.0,1.1806666666666663,0.0,0.0004766666666666,0.132
THA,THAILAND,1969,MtCO2,14.560333333333332,0.3923333333333333,12.969,0.0,1.199,0.0,0.0004033333333333,0.143
THA,THAILAND,1970,MtCO2,15.374333333333333,0.462,13.603333333333332,0.0,1.309,0.0,0.0004033333333333,0.2493333333333333
THA,THAILAND,1971,MtCO2,19.24633333333333,0.528,17.328666666666663,0.0,1.386,0.0,0.0005133333333333,0.1173333333333333
THA,THAILAND,1972,MtCO2,21.835,0.4143333333333333,19.737666666666662,0.0,1.683,0.0,0.0005499999999999,0.2236666666666666
THA,THAILAND,1973,MtCO2,24.453,0.4436666666666666,22.16133333333333,0.0,1.848,0.0,0.0006233333333333,0.231
THA,THAILAND,1974,MtCO2,24.244,0.6123333333333333,21.681,0.0,1.9543333333333333,0.0,0.0005866666666666,0.1246666666666666
THA,THAILAND,1975,MtCO2,24.40533333333333,0.6306666666666666,21.794666666666664,0.0,1.9836666666666665,0.0,0.0005866666666666,0.1576666666666666
THA,THAILAND,1976,MtCO2,28.776,0.737,25.813333333333333,0.0,2.2256666666666667,0.0,0.0006599999999999,0.2016666666666666
THA,THAILAND,1977,MtCO2,32.156666666666666,0.6306666666666666,28.98133333333333,0.0,2.548333333333333,0.0,0.0007333333333333,0.22
THA,THAILAND,1978,MtCO2,35.06433333333333,0.7956666666666666,31.735,0.0,2.537333333333333,0.0,0.00077,0.407
THA,THAILAND,1979,MtCO2,36.73266666666667,1.54,32.571,0.0,2.6216666666666666,0.0,0.0008066666666666,0.3923333333333333
THA,THAILAND,1980,MtCO2,40.13166666666667,1.7306666666666666,35.739,0.0,2.662,0.0,0.0008433333333333,0.462
THA,THAILAND,1981,MtCO2,38.04533333333333,1.848,32.51233333333333,0.561,3.124,0.0,0.00077,0.44
THA,THAILAND,1982,MtCO2,37.906,2.5776666666666666,29.58633333333333,2.449333333333333,3.296333333333333,0.0,0.00077,0.44
THA,THAILAND,1983,MtCO2,42.449,2.453,33.429,2.948,3.6226666666666665,0.0,0.0008433333333333,0.5096666666666666
THA,THAILAND,1984,MtCO2,45.969,2.783,34.63533333333333,4.444,4.110333333333333,0.0,0.0008799999999999,0.4546666666666666
THA,THAILAND,1985,MtCO2,48.66766666666666,5.984,33.051333333333325,5.683333333333333,3.949,0.0,0.0009166666666666,0.0
THA,THAILAND,1986,MtCO2,49.698,6.112333333333333,34.22833333333333,5.412,3.945333333333333,0.0,0.0009166666666666,0.0
THA,THAILAND,1987,MtCO2,56.93966666666667,7.751333333333333,38.082,6.193,4.913333333333333,0.0,0.0010633333333333,0.0
THA,THAILAND,1988,MtCO2,66.99733333333333,8.283,42.658,10.314333333333332,5.742,0.0,0.00121,0.0
