code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
TJK,208,Tajikistan,5058,Enteric Fermentation,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1328,87.174,86.5684,83.068,79.0211,76.3483,73.2978,73.7608,72.9912,74.982,77.0392,80.4945,86.1011,92.2156,98.5963,102.6519,121.0707,128.8876,130.9808,135.7932,143.5379,149.1162,151.5692,157.8191,162.7046,165.6747,166.5125,168.8866,,118.4919,131.6274
TJK,208,Tajikistan,5058,Enteric Fermentation,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0,75.0,71.0,69.0,66.0,65.0,65.0,67.0,67.0,72.0,77.0,81.0,86.0,88.0,92.0,108.0,114.0,116.0,,,,,,,,,,,,
TJK,208,Tajikistan,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663.7176,2440.8731,2423.9154,2325.9032,2212.5911,2137.752,2052.3392,2065.3021,2043.7543,2099.4949,2157.0976,2253.8462,2410.8302,2582.036,2760.6978,2874.2536,3389.9809,3608.853,3667.4615,3802.2104,4019.0609,4175.2528,4243.9388,4418.9346,4555.7285,4638.8929,4662.3508,4728.8251,,3317.7722,3685.5685
TJK,208,Tajikistan,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.0,2184.0,2100.0,1988.0,1932.0,1848.0,1820.0,1820.0,1876.0,1876.0,2016.0,2156.0,2268.0,2408.0,2464.0,2576.0,3024.0,3192.0,3248.0,,,,,,,,,,,,
TJK,208,Tajikistan,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663.7176,2440.8731,2423.9154,2325.9032,2212.5911,2137.752,2052.3392,2065.3021,2043.7543,2099.4949,2157.0976,2253.8462,2410.8302,2582.036,2760.6978,2874.2536,3389.9809,3608.853,3667.4615,3802.2104,4019.0609,4175.2528,4243.9388,4418.9346,4555.7285,4638.8929,4662.3508,4728.8251,,3317.7722,3685.5685
TJK,208,Tajikistan,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.0,2184.0,2100.0,1988.0,1932.0,1848.0,1820.0,1820.0,1876.0,1876.0,2016.0,2156.0,2268.0,2408.0,2464.0,2576.0,3024.0,3192.0,3248.0,,,,,,,,,,,,
TJK,208,Tajikistan,5059,Manure Management,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1748,5.9133,5.9135,5.7493,5.4725,5.309,5.2146,5.6077,5.3334,5.5372,5.654,5.9249,6.3687,6.9376,7.6474,8.0341,9.2457,9.9363,10.1238,10.4825,11.0437,11.2031,11.4473,12.0594,12.4365,12.7072,12.8187,13.0441,,9.2126,10.1857
TJK,208,Tajikistan,5059,Manure Management,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,13.0,14.0,15.0,17.0,17.0,17.0,,,,,,,,,,,,
TJK,208,Tajikistan,5059,Manure Management,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8424,0.7268,0.724,0.6865,0.6471,0.6231,0.5891,0.5649,0.5745,0.5868,0.6053,0.6293,0.6727,0.7141,0.7397,0.7633,0.924,0.9721,0.9878,1.0248,1.0908,1.1484,1.162,1.1981,1.2346,1.2544,1.2611,1.2825,,0.9108,1.0302
TJK,208,Tajikistan,5059,Manure Management,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.8947,165.5719,165.5773,160.9796,153.229,148.6514,146.0096,157.0169,149.3355,155.0429,158.3133,165.897,178.3236,194.2519,214.127,224.9556,258.8798,278.2156,283.4654,293.511,309.223,313.6861,320.5258,337.6642,348.2209,355.8028,358.9235,365.2344,,257.9524,285.1998
