code,Area Code,name,Item Code,Item,Element Code,Element,Source Code,Source,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2030,2050
TKM,213,Turkmenistan,5058,Enteric Fermentation,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.626,92.771,98.934,104.685,106.522,89.408,99.24,111.885,124.145,139.23,158.75,180.03,189.83,197.1365,207.046,199.3398,221.2214,210.7886,211.7953,210.8613,213.6288,212.3494,212.7915,213.2454,213.843,213.563,213.7873,216.4106,,238.8152,261.8381
TKM,213,Turkmenistan,5058,Enteric Fermentation,7225,Emissions (CH4),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.15,,,,,,106.99,,,,260.68,,,,,,329.86,,,,,,,,,,,,
TKM,213,Turkmenistan,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173.528,2597.588,2770.152,2931.18,2982.616,2503.424,2778.72,3132.78,3476.06,3898.44,4445.0,5040.84,5315.24,5519.822,5797.288,5581.5144,6194.1992,5902.0808,5930.2684,5904.1177,5981.6074,5945.7846,5958.162,5970.8714,5987.6033,5979.7647,5986.0433,6059.4975,,6686.8256,7331.4668
TKM,213,Turkmenistan,5058,Enteric Fermentation,724413,Emissions (CO2eq) from CH4 (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3028.2,,,,,,2995.72,,,,7299.04,,,,,,9236.08,,,,,,,,,,,,
TKM,213,Turkmenistan,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173.528,2597.588,2770.152,2931.18,2982.616,2503.424,2778.72,3132.78,3476.06,3898.44,4445.0,5040.84,5315.24,5519.822,5797.288,5581.5144,6194.1992,5902.0808,5930.2684,5904.1177,5981.6074,5945.7846,5958.162,5970.8714,5987.6033,5979.7647,5986.0433,6059.4975,,6686.8256,7331.4668
TKM,213,Turkmenistan,5058,Enteric Fermentation,723113,Emissions (CO2eq) (AR5),3051,UNFCCC,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3028.2,,,,,,2995.72,,,,7299.04,,,,,,9236.08,,,,,,,,,,,,
TKM,213,Turkmenistan,5059,Manure Management,7225,Emissions (CH4),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0363,6.889,7.5559,8.2039,8.4826,7.1823,7.4204,8.3469,9.3386,10.496,11.6444,13.4653,14.7433,15.023,15.4831,14.7287,15.9346,15.4579,15.394,15.5085,15.5895,15.4869,15.5281,15.5381,15.5488,15.5548,15.1265,15.3746,,18.3986,20.3253
TKM,213,Turkmenistan,5059,Manure Management,7230,Emissions (N2O),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5296,0.6684,0.7099,0.738,0.7362,0.5916,0.6926,0.784,0.8735,0.993,1.1058,1.2003,1.2407,1.2711,1.3114,1.2528,1.4023,1.375,1.3932,1.4017,1.4207,1.4075,1.4112,1.4128,1.4133,1.4136,1.4401,1.4647,,1.565,1.7617
TKM,213,Turkmenistan,5059,Manure Management,724413,Emissions (CO2eq) from CH4 (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0165,192.8928,211.5659,229.7087,237.5117,201.1046,207.7705,233.7136,261.4805,293.889,326.0425,377.0291,412.813,420.6444,433.5263,412.4027,446.1678,432.821,431.0315,434.2374,436.5072,433.6321,434.7872,435.0654,435.3656,435.5348,423.5412,430.4885,,515.1618,569.1092
TKM,213,Turkmenistan,5059,Manure Management,724313,Emissions (CO2eq) from N2O (AR5),3050,FAO TIER 1,kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.3361,177.131,188.1131,195.5819,195.0898,156.7822,183.5291,207.7696,231.4707,263.1463,293.0302,318.0839,328.7935,336.8525,347.534,332.0027,371.6137,364.3871,369.1979,371.4447,376.4788,372.9784,373.9752,374.3998,374.5145,374.608,381.6375,388.1558,,414.7337,466.8464
