code,name,unit,sector,source,subsource,gas,year,value
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1990,0.0118156872759688
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1991,0.0118417654569766
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1992,0.0118678436379844
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1993,0.0118939218189922
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1994,0.01192
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1995,0.0144033333333333
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1996,0.0168866666666667
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1997,0.01937
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1998,0.0218533333333333
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,1999,0.0243366666666667
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2000,0.02682
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2001,0.0268346321830673
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2002,0.0268492643661347
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2003,0.026863896549202
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2004,0.0268785287322693
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2005,0.0268931609153366
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2006,0.0269295460242313
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2007,0.026965931133126
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2008,0.0270023162420207
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2009,0.0270387013509154
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2010,0.0270750864598101
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2011,0.0270442419120867
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2012,0.0270133973643634
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2013,0.0269825528166401
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2014,0.0269517082689168
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2015,0.0269208637211935
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2016,0.0267902019753809
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2017,0.0266595402295682
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2018,0.0265288784837555
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2019,0.0263982167379429
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2020,0.0262675549921302
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2021,0.0261443103160282
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2022,0.0260210656399263
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2023,0.0258978209638243
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2024,0.0257745762877223
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2025,0.0256513316116203
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2026,0.0255291324983489
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2027,0.0254069333850775
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2028,0.025284734271806
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2029,0.0251625351585346
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2030,0.0250403360452632
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2031,0.0249102204875258
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2032,0.0247801049297884
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2033,0.024649989372051
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2034,0.0245198738143136
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2035,0.0243897582565763
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2036,0.0242605183429812
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2037,0.0241312784293861
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2038,0.024002038515791
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2039,0.023872798602196
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2040,0.0237435586886009
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2041,0.0236184314474066
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2042,0.0234933042062123
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2043,0.023368176965018
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2044,0.0232430497238238
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2045,0.0231179224826295
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2046,0.0229936045112089
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2047,0.0228692865397884
TON,Tonga,MtCO2eq,Agriculture,AgSoils,,N2O,2048,0.0227449685683678
